index	effect
951	\Image\effect\sfx\其他\结婚特效2.3e
952	\Image\effect\sfx\其他\赤幕焰火.3e
953	\Image\effect\sfx\其他\蓝色焰火.3e
954	\Image\effect\sfx\其他\烛光.3e
955	\Image\effect\sfx\其他\金阵法.3e
956	\Image\effect\sfx\其他\水阵法.3e
957	\Image\effect\sfx\其他\木阵法.3e
958	\Image\effect\sfx\其他\火阵法.3e
959	\Image\effect\sfx\其他\土阵法.3e
960	\Image\effect\sfx\其他\攻击提高01.3e
961	\Image\effect\sfx\其他\防御增加01.3e
962	\Image\effect\sfx\其他\武功施展速度提高01.3e
963	\Image\effect\sfx\其他\移动速度提高01.3e
964	\Image\effect\sfx\其他\属性提高01.3e
965	\Image\effect\sfx\其他\虚弱无力01.3e
966	\image\effect\sfx\战场\隐身.3e
967	\image\effect\sfx\战场\武器.3e
968	\image\effect\sfx\战场\加速.3e
969	\image\effect\sfx\战场\护甲.3e
970	\image\effect\sfx\战场\火焰.3e
971	\image\effect\sfx\其他\红色火焰.3e
972	\image\effect\sfx\其他\黑色火焰.3e
973	\image\effect\sfx\其他\蓝色火焰.3e
974	\image\effect\sfx\其他\绿色火焰.3e
975	\image\effect\sfx\其他\五色火焰环.3e
978	\image\effect\SFX\npc特效\修罗化.3e
979	\image\effect\SFX\npc特效\无敌状态.3e
980	\image\effect\SFX\npc特效\玩家吃黑蘑菇.3e
981	\image\effect\SFX\npc特效\玩家吃绿蘑菇.3e
982	\image\effect\SFX\npc特效\玩家吃蓝蘑菇.3e
983	\image\effect\SFX\npc特效\玩家吃红蘑菇.3e
984	\image\effect\SFX\npc特效\驱散特效.3e
985	\image\effect\SFX\npc特效\辟邪变得虚弱.3e
986	\image\effect\SFX\npc特效\持续燃烧.3e
987	\image\effect\SFX\npc特效\辟邪无敌盾.3e
988	\image\effect\SFX\npc特效\辟邪放冰系魔法.3e
989	\image\effect\SFX\npc特效\603_a(NPC比例加血).3e
990	\image\effect\SFX\翠烟\806_a(蝶怨).3e
991	\image\effect\SFX\npc特效\烧开地面的火.3e
992	\image\effect\SFX\剑荡燕云\玩家与黑棺连线.3e
993	\image\effect\SFX\剑荡燕云\空蝉被击.3e
994	\image\effect\SFX\剑荡燕云\毒气光环7.3e
995	\image\effect\SFX\剑荡燕云\歼灭玩家.3e
996	\image\effect\SFX\剑荡燕云\不动明王盾.3e
997	\image\effect\SFX\剑荡燕云\嗅觉剥夺.3e
998	\image\effect\SFX\剑荡燕云\听觉剥夺.3e
999	\image\effect\SFX\剑荡燕云\视觉剥夺.3e
1000	\image\effect\SFX\剑荡燕云\味觉剥夺.3e
1001	\image\effect\SFX\剑荡燕云\触觉剥夺.3e
1002	\image\effect\SFX\剑荡燕云\天魔降伏线型子弹.3e
1003	\image\effect\SFX\剑荡燕云\阿鼻地狱.3e
1004	\image\effect\SFX\剑荡燕云\死亡宣告被击.3e
1005	\image\effect\SFX\剑荡燕云\火海风暴内圈.3e
1006	\image\effect\SFX\剑荡燕云\火海风暴外圈.3e
1007	\image\effect\SFX\剑荡燕云\火海风暴中心.3e
1008	\image\effect\SFX\剑荡燕云\复活.3e
1009	\image\effect\sfx\qy\羊驼金.3e
1010	\image\effect\sfx\qy\羊驼木.3e
1011	\image\effect\sfx\qy\羊驼土.3e
1012	\image\effect\sfx\qy\羊驼水.3e
1013	\image\effect\sfx\qy\羊驼火.3e
