 	ID1	ID2	ID3	ID4	ID5	ID6
D­¬ng Gia Tôc MÖnh QuyÕt	743	763	764			
D­¬ng Gia Anh Hïng KhÝ	728					
D­¬ng Gia ChiÕn §Þnh QuyÕt	725	750				
T©m Cæ	363					
§éc Cæ	354	388	389	390		
HuyÔn Cæ	362					
Linh cæ	436	1015	1452			
Ma cæ						
Thi Cæ	358	394	395	396		
H­¬ng Cæ	357					
T©m Cæ	360	397	398	399		
HuyÕt Cæ	356	391	392	393		
Yªu Cæ	359					
Ba S¬n D¹ Vò	867					
L«i TÕ	1018					
Phong TÕ	1019					
Canh Phong QuyÕt	1026	1041				
Kinh Phong ThuÊn L«i QuyÕt	1034	1047	1293	1294	1454	2728
V¹n L«i To¸i Tinh Phï	1030	1045	1050			
HuyÒn Phong TriÒn ý QuyÕt	1031	1046	1052			
Tiªn Phong L­u T¸n QuyÕt	1028	1043				
D­¬ng Sa QuyÕt						
Ngù Phong QuyÕt	1022	1037				
Kim L« Hé ThÓ	1055	1068				
Thiªn KiÕp PhÇn	1058	1072				
Ng­ng Háa BÝch	1059	1073				
KhÝ Hãa Du Long						
B¹o S¸t K×nh	1065	1079				
Cµn Kh«n §¹i Na Di	1066					
Håi Phong LiÖt DiÖm	1202	1205	1296	1297	1456	2729
Quang Minh Bót Ph¸p	1084	1097				
Kim Táa TrËn	1098	1113	1119	1124		
HuyÒn Thñy TrËn	1101	1114	1120	1125		
Phong Binh LÖnh	1088	1102				
Bµn Méc TrËn	1103	1115	1121	1126		
TÊn ¶nh LÖnh	1090	1104				
Cµn Kh«n NghÞch ChuyÓn	1091	1105				
NghiÖp Háa TrËn	1106	1116	1122	1127		
Thæ Lao TrËn	1107	1117	1123	1128		
Ngò Linh Quy Nguyªn	1095	1110				
Quang Minh Ngò Hµnh TrËn	1096					
§o¹n Cèt Tr¶o						
Hñ Th­¬ng Ên	1133	1146				
B¨ng HuyÕt Ên	1135	1148				
HÊp HuyÕt Ên						
Hµn HuyÕt Ên	1137	1150				
ThÝch Cèt Ên						
Truy Hån Ên	1139	1152				
ThÝ C¶nh Tr¶o						
Hµn B¨ng HuyÕt Ch­íng	1141	1154				
Hãa HuyÕt Ên						
VÉn Th­¬ng Ên	1143	1156				
Hµn B¨ng Miªn Ch­ëng	1213					
Hµn B¨ng Ng­ng HuyÕt Ên	1204	1207	1302	1303	1460	2731
Khëi Vò	1166	1183				
Linh Miªu VËn	1167	1177	1184			
MÞ Hoa	1169	1178	1185			
§o¹n V©n QuyÕt 						
Thu NguyÖt Phó	1171	1179	1187			
§iÖp O¸n	1173	1180	1188			
Thiªn Háa DiÔm D­¬ng	1174	1181	1189	1190		
Méng Xµ	1176	1182	1192	1193		
Loan Phông Cöu Thiªn	1196					
Tóy Méng Ng©m	1194	1195	1305	1306	1462	2732
L¹c Hoa QuyÕt	1232	1233				
§µo Hoa Ch­íng	1234	1235				
Táa T©m QuyÕt	1236	1237				
Linh §éng QuyÕt						
Mª X¶o QuyÕt						
Tiªn L­ H­¬ng	1226	1271				
§iÖp LuyÕn Hoa						
Cöu Vü Hoa Tiªn QuyÕt						
Phån Hoa MËu	1253	1254	1308	1309	1464	2733
T¨ng søc m¹nh	1316	1385				
T¨ng th©n ph¸p	1317	1386				
T¨ng néi c«ng	1318	1387				
T¨ng linh ho¹t	1319	1388				
T¨ng g©n cèt	1320	1389				
S¸t ý	1875					
Hçn §én §Êu Ph¸ch	1879					
LuyÖn KiÕm-SÝ Hµn	1888	1839				
LuyÖn KiÕm-Thiªn Minh	1889	1841				
LuyÖn KiÕm-Phong CËn	1890	1843				
KiÕm Thñ Kh«ng Minh-ChÝnh	1860	1896				
KiÕm Thñ Kh«ng Minh-Phô	1861					
Thiªn Phong Trôy	1898	1903	1904			
KiÕm ý Ph¶n X¹	1895					
Phån Hoa-H­ Nh­îc	1909				
Phong chiªu						
CÊm vËt						
Sö dông ThÕ Th©n Phï						
Bång Lai Tiªn Thñy						
Bång Lai Tiªn Lé						
Bång Lai Tiªn §¬n						
Bång Lai Lé Thñy						
Phi Hoµng Ch©m	2305					
DÉn §éc Sa	2306					
HuyÔn S¸t TrËn	2309					
Th¸i D­¬ng	2317					
ThiÕu ¢m	2319					
L­ìng Nghi Néi Lùc	2316					
Tiªu Dao Bót Ph¸p	2325					
TrÇm Tóy Ng©m	2326					
Ngù Long Ch­ëng ph¸p	2331					
Tóy B¸t Tiªn	2330					
Cïng §å C«n Ph¸p	2341					
Liªn Hoa TrËn	2338					
L¹c L«i	2347					
Toµn Phong	2349					
LuyÖn KiÕm-Mé HiÓu	2352	2357				
§å Ma §ao Ph¸p	2362					
Ch­ Ph¸p Kh«ng T­¬ng	2361					
§·ng Ma C­¬ng KhÝ	2369					
§¹i Bi Chó	2368					
Du Long Phi Bé	2378					
Nghªnh H­¬ng	2408					
Häa ¶nh	2409					
C­êng Cung	2419					
V·n NguyÖt Thiªn Lang TrËn	2417					
Ph¸ TrËn ThÕ	2425					
§an T©m QuyÕt	2424					
§¹i Giang L­u	2399					
Hoa T­ëng Dung	2400					
Hi T©m	2413					
Ngò §éc TÕ	2433	2434	2435	2436	2437	
KiÕp Háa	2448					
Hån DiÖt	2454					
TÝch Thi KhÝ	2430
§Êu PhËt ChiÕn Ph¸p	23					
Ch©n Vâ §Êu KhÝ	2628					
Tµn ¶nh QuyÕt	156	2620				
Kim Táa TrËn Phô Kú ChØ LÖnh	1261					
Bµn Méc TrËn Phô Kú ChØ LÖnh	1263					
HuyÒn Thñy TrËn Phô Kú ChØ LÖnh	1262					
NghiÖp Háa TrËn Phô Kú ChØ LÖnh	1264					
Thæ Lao TrËn Phô Kú ChØ LÖnh	1265					
