ItemIndex	BodyType	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Charm
88	1	S¬n Quû huyÕt y	0;108;17	7	200;600;1800	4			10
89	1		0;109;17	7	200;600;1800	4			10
90	1		0;110;17	7	200;600;1800	4			10
88	2	Long B¸ ¤ kim y	0;108;36	7	200;600;1800	4			10
89	2		0;109;36	7	200;600;1800	4			10
90	2		0;110;36	7	200;600;1800	4			10
88	3	Phi Thiªn Th¸i Th­êng	0;108;54	7	200;600;1800	4			10
89	3		0;109;54	7	200;600;1800	4			10
90	3		0;110;54	7	200;600;1800	4			10
88	4	Ngò S¾c Nghª Th­êng	0;108;72	7	200;600;1800	4			10
89	4		0;109;72	7	200;600;1800	4			10
90	4		0;110;72	7	200;600;1800	4			10
91	1	B¨ng Tµm Trï sam	0;108;16	7	200;600;1800	4			10
92	1		0;109;16	7	200;600;1800	4			10
93	1		0;110;16	7	200;600;1800	4			10
91	2	HuyÕt Hµ Quû V­¬ng gi¸p	0;108;35	7	200;600;1800	4			10
92	2		0;109;35	7	200;600;1800	4			10
93	2		0;110;35	7	200;600;1800	4			10
91	3	Thiªn y	0;108;53	7	200;600;1800	4			10
92	3		0;109;53	7	200;600;1800	4			10
93	3		0;110;53	7	200;600;1800	4			10
91	4	V« Song §Êu y	0;108;71	7	200;600;1800	4			10
92	4		0;109;71	7	200;600;1800	4			10
93	4		0;110;71	7	200;600;1800	4			10
94	1	Thiªn Lang y	0;108;15	7	200;600;1800	4			10
95	1		0;109;15	7	200;600;1800	4			10
96	1		0;110;15	7	200;600;1800	4			10
94	2	Tinh Cang HuyÒn Kim gi¸p	0;108;33	7	200;600;1800	4			10
95	2		0;109;33	7	200;600;1800	4			10
96	2		0;110;33	7	200;600;1800	4			10
94	3	Nghª Th­êng Vò y	0;108;52	7	200;600;1800	4			10
95	3		0;109;52	7	200;600;1800	4			10
96	3		0;110;52	7	200;600;1800	4			10
94	4	CÈm V©n Th­êng	0;108;70	7	200;600;1800	4			10
95	4		0;109;70	7	200;600;1800	4			10
96	4		0;110;70	7	200;600;1800	4			10
97	1	XÝch Long bµo	0;108;14	7	200;600;1800	4			10
98	1		0;109;14	7	200;600;1800	4			10
99	1		0;110;14	7	200;600;1800	4			10
97	2	L«i Ng©n Gi¸p	0;108;32	7	200;600;1800	4			10
98	2		0;109;32	7	200;600;1800	4			10
99	2		0;110;32	7	200;600;1800	4			10
97	3	Minh Quang gi¸p	0;108;51	7	200;600;1800	4			10
98	3		0;109;51	7	200;600;1800	4			10
99	3		0;110;51	7	200;600;1800	4			10
97	4	NghÞch V©n §Êu y	0;108;69	7	200;600;1800	4			10
98	4		0;109;69	7	200;600;1800	4			10
99	4		0;110;69	7	200;600;1800	4			10
100	1	Lam K×nh b× gi¸p	0;108;13	7	200;600;1800	4			10
101	1		0;109;13	7	200;600;1800	4			10
102	1		0;110;13	7	200;600;1800	4			10
100	2	ThÇn S¸ch Kim gi¸p	0;108;31	7	200;600;1800	4			10
101	2		0;109;31	7	200;600;1800	4			10
102	2		0;110;31	7	200;600;1800	4			10
100	3	L©n Quang gi¸p	0;108;49	7	200;600;1800	4			10
101	3		0;109;49	7	200;600;1800	4			10
102	3		0;110;49	7	200;600;1800	4			10
100	4	Th¸i Hoa Th­êng	0;108;68	7	200;600;1800	4			10
101	4		0;109;68	7	200;600;1800	4			10
102	4		0;110;68	7	200;600;1800	4			10
103	1	Th­¬ng  Lan y	0;108;12	7	200;600;1800	4			10
104	1		0;109;12	7	200;600;1800	4			10
105	1		0;110;12	7	200;600;1800	4			10
103	2	Thiªn NhÉn y	0;108;30	7	200;600;1800	4			10
104	2		0;109;30	7	200;600;1800	4			10
105	2		0;110;30	7	200;600;1800	4			10
103	3	Hång Nghª Th­êng	0;108;48	7	200;600;1800	4			10
104	3		0;109;48	7	200;600;1800	4			10
105	3		0;110;48	7	200;600;1800	4			10
103	4	Linh Lung Th­êng	0;108;66	7	200;600;1800	4			10
104	4		0;109;66	7	200;600;1800	4			10
105	4		0;110;66	7	200;600;1800	4			10
106	1	Gi¸ng Sinh Trang	0;108;109	7	200;600;1800	4			10
106	2		0;108;110	7	200;600;1800	4			10
106	3		0;108;112	7	200;600;1800	4			10
106	4		0;108;111	7	200;600;1800	4			10
107	1		0;109;109	7	200;600;1800	4			10
107	2		0;109;110	7	200;600;1800	4			10
107	3		0;109;112	7	200;600;1800	4			10
107	4		0;109;111	7	200;600;1800	4			10
108	1		0;110;73	7	200;600;1800	4			10
108	2		0;110;74	7	200;600;1800	4			10
108	3		0;110;76	7	200;600;1800	4			10
108	4		0;110;75	7	200;600;1800	4			10
109	1	NhuyÔn Kim y	0;108;11	7	200;600;1800	4			10
110	1		0;109;11	7	200;600;1800	4			10
111	1		0;110;11	7	200;600;1800	4			10
109	2	Di Nhiªm Kh¸ch y	0;108;29	7	200;600;1800	4			10
110	2		0;109;29	7	200;600;1800	4			10
111	2		0;110;29	7	200;600;1800	4			10
109	3	N÷ KiÖt Th­êng	0;108;46	7	200;600;1800	4			10
110	3		0;109;46	7	200;600;1800	4			10
111	3		0;110;46	7	200;600;1800	4			10
109	4	Thiªn C«ng §Êu y	0;108;65	7	200;600;1800	4			10
110	4		0;109;65	7	200;600;1800	4			10
111	4		0;110;65	7	200;600;1800	4			10
112	1	XÝch §ång trô	0;108;10	7	200;600;1800	4			10
113	1		0;109;10	7	200;600;1800	4			10
114	1		0;110;10	7	200;600;1800	4			10
112	2	Tö Thanh S­¬ng Hoa sam	0;108;28	7	200;600;1800	4			10
113	2		0;109;28	7	200;600;1800	4			10
114	2		0;110;28	7	200;600;1800	4			10
112	3	CÈm Anh Th­êng	0;108;45	7	200;600;1800	4			10
113	3		0;109;45	7	200;600;1800	4			10
114	3		0;110;45	7	200;600;1800	4			10
112	4	û La Th­êng	0;108;64	7	200;600;1800	4			10
113	4		0;109;64	7	200;600;1800	4			10
114	4		0;110;64	7	200;600;1800	4			10
115	1	Thanh S­¬ng bµo	0;108;8	7	200;600;1800	4			10
116	1		0;109;8	7	200;600;1800	4			10
117	1		0;110;8	7	200;600;1800	4			10
115	2	Hoµng Hæ y	0;108;26	7	200;600;1800	4			10
116	2		0;109;26	7	200;600;1800	4			10
117	2		0;110;26	7	200;600;1800	4			10
115	3	Ho¸n Hoa Th­êng	0;108;44	7	200;600;1800	4			10
116	3		0;109;44	7	200;600;1800	4			10
117	3		0;110;44	7	200;600;1800	4			10
115	4	Thiªn Tµm gi¸p y	0;108;63	7	200;600;1800	4			10
116	4		0;109;63	7	200;600;1800	4			10
117	4		0;110;63	7	200;600;1800	4			10
118	1	ThÇn Hµnh phôc	0;108;7	7	200;600;1800	4			10
119	1		0;109;7	7	200;600;1800	4			10
120	1		0;110;7	7	200;600;1800	4			10
118	2	Lôc L©m trang	0;108;25	7	200;600;1800	4			10
119	2		0;109;25	7	200;600;1800	4			10
120	2		0;110;25	7	200;600;1800	4			10
118	3	LuyÖn Gi¸p Th­êng	0;108;43	7	200;600;1800	4			10
119	3		0;109;43	7	200;600;1800	4			10
120	3		0;110;43	7	200;600;1800	4			10
118	4	MËt V©n Sam	0;108;61	7	200;600;1800	4			10
119	4		0;109;61	7	200;600;1800	4			10
120	4		0;110;61	7	200;600;1800	4			10
121	1	YÓm T©m gi¸p	0;108;6	7	200;600;1800	4			10
122	1		0;109;6	7	200;600;1800	4			10
123	1		0;110;6	7	200;600;1800	4			10
121	2	Kim Ngäc Trï sam	0;108;24	7	200;600;1800	4			10
122	2		0;109;24	7	200;600;1800	4			10
123	2		0;110;24	7	200;600;1800	4			10
121	3	Vò LuyÖn Th­êng	0;108;41	7	200;600;1800	4			10
122	3		0;109;41	7	200;600;1800	4			10
123	3		0;110;41	7	200;600;1800	4			10
121	4	Phong Vò Th­êng	0;108;60	7	200;600;1800	4			10
122	4		0;109;60	7	200;600;1800	4			10
123	4		0;110;60	7	200;600;1800	4			10
124	1	Tö C©m Bè Y	0;108;3	7	200;600;1800	4			10
125	1		0;109;3	7	200;600;1800	4			10
126	1		0;110;3	7	200;600;1800	4			10
124	2	Hµo HiÖp y	0;108;23	7	200;600;1800	4			10
125	2		0;109;23	7	200;600;1800	4			10
126	2		0;110;23	7	200;600;1800	4			10
124	3	T©m Ên Th­êng	0;108;40	7	200;600;1800	4			10
125	3		0;109;40	7	200;600;1800	4			10
126	3		0;110;40	7	200;600;1800	4			10
124	4	C©n Qu¾c sam	0;108;59	7	200;600;1800	4			10
125	4		0;109;59	7	200;600;1800	4			10
126	4		0;110;59	7	200;600;1800	4			10
127	1	Bé ThiÕu HiÖp [®Æc gi¸]	0;108;1	7	100;300;900	4			5
128	1		0;109;1	7	100;300;900	4			5
129	1		0;110;1	7	100;300;900	4			5
127	2	Bé ThiÕu HiÖp [®Æc gi¸]	0;108;19	7	100;300;900	4			5
128	2		0;109;19	7	100;300;900	4			5
129	2		0;110;19	7	100;300;900	4			5
127	3	Bé Th¸i Th­êng [®Æc gi¸]	0;108;37	7	100;300;900	4			5
128	3		0;109;37	7	100;300;900	4			5
129	3		0;110;37	7	100;300;900	4			5
127	4	Bé Vò Th­êng [®Æc gi¸]	0;108;55	7	100;300;900	4			5
128	4		0;109;55	7	100;300;900	4			5
129	4		0;110;55	7	100;300;900	4			5
130	1	Bé H¾c T¹o [®Æc gi¸]	0;108;2	7	100;300;900	4			5
131	1		0;109;2	7	100;300;900	4			5
132	1		0;110;2	7	100;300;900	4			5
130	2	Bé ThiÕt Hé [®Æc gi¸]	0;108;20	7	100;300;900	4			5
131	2		0;109;20	7	100;300;900	4			5
132	2		0;110;20	7	100;300;900	4			5
130	3	Bé Tö L¨ng [®Æc gi¸]	0;108;38	7	100;300;900	4			5
131	3		0;109;38	7	100;300;900	4			5
132	3		0;110;38	7	100;300;900	4			5
130	4	Bé Hång V©n [®Æc gi¸]	0;108;56	7	100;300;900	4			5
131	4		0;109;56	7	100;300;900	4			5
132	4		0;110;56	7	100;300;900	4			5
133	1	Bé Bµn Long [®Æc gi¸]	0;108;4	7	100;300;900	4			5
134	1		0;109;4	7	100;300;900	4			5
135	1		0;110;4	7	100;300;900	4			5
133	2	Bé Thó V­¬ng [®Æc gi¸]	0;108;21	7	100;300;900	4			5
134	2		0;109;21	7	100;300;900	4			5
135	2		0;110;21	7	100;300;900	4			5
133	3	Bé Tö Nhung [®Æc gi¸]	0;108;39	7	100;300;900	4			5
134	3		0;109;39	7	100;300;900	4			5
135	3		0;110;39	7	100;300;900	4			5
133	4	Bé Tö KÝnh [®Æc gi¸]	0;108;57	7	100;300;900	4			5
134	4		0;109;57	7	100;300;900	4			5
135	4		0;110;57	7	100;300;900	4			5
136	1	Bé Th­¬ng Lang [®Æc gi¸]	0;108;5	7	100;300;900	4			5
137	1		0;109;5	7	100;300;900	4			5
138	1		0;110;5	7	100;300;900	4			5
136	2	Bé CÈm Ti [®Æc gi¸]	0;108;22	7	100;300;900	4			5
137	2		0;109;22	7	100;300;900	4			5
138	2		0;110;22	7	100;300;900	4			5
136	3	Bé Thiªn Ma [®Æc gi¸]	0;108;42	7	100;300;900	4			5
137	3		0;109;42	7	100;300;900	4			5
138	3		0;110;42	7	100;300;900	4			5
136	4	Bé Linh VËn [®Æc gi¸]	0;108;58	7	100;300;900	4			5
137	4		0;109;58	7	100;300;900	4			5
138	4		0;110;58	7	100;300;900	4			5
139	1	Bé Tham Lang [®Æc gi¸]	0;108;9	7	100;300;900	4			5
140	1		0;109;9	7	100;300;900	4			5
141	1		0;110;9	7	100;300;900	4			5
139	2	Bé ThÇn Ng­u [®Æc gi¸]	0;108;27	7	100;300;900	4			5
140	2		0;109;27	7	100;300;900	4			5
