ItemIndex	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Position	Action	Charm
56	Hao Ng­u	0;105;30023		99999;99999;99999	50		1	8	0.3	0;40	®øng yªn b×nh th­êng	150
57	Hao Ng­u	0;105;30024		99999;99999;99999	50		1	8	0.3	0;40	®øng yªn b×nh th­êng	150
58	Hæ	0;105;30025		99999;99999;99999	50		1	9	0.3	0;40	®øng yªn b×nh th­êng	150
59	Hæ	0;105;30026		99999;99999;99999	50		1	9	0.3	0;40	®øng yªn b×nh th­êng	150
60	Hæ	0;105;30027		99999;99999;99999	50		1	9	0.3	0;40	®øng yªn b×nh th­êng	150
61	B¸o tö	0;105;30028		99999;99999;99999	50		1	10	0.3	0;40	®øng yªn b×nh th­êng	150
62	B¸o tö	0;105;30029		99999;99999;99999	50		1	10	0.3	0;40	®øng yªn b×nh th­êng	150
63	B¸o tö	0;105;30030		99999;99999;99999	50		1	10	0.3	0;40	®øng yªn b×nh th­êng	150
64	B¸o tö	0;105;30045		99999;99999;99999	50		1	10	0.3	0;40	®øng yªn b×nh th­êng	150
65	B¸o tö	0;105;30046		99999;99999;99999	50		1	10	0.3	0;40	®øng yªn b×nh th­êng	150
66	B¸o tö	0;105;30047		99999;99999;99999	50		1	10	0.3	0;40	®øng yªn b×nh th­êng	150
67	Thá	0;105;30038		99999;99999;99999	50		1	11	0.3	0;40	®øng yªn b×nh th­êng	500
68	Thá	0;105;30039		99999;99999;99999	50		1	11	0.3	0;40	®øng yªn b×nh th­êng	500
69	Thá	0;105;30040		99999;99999;99999	50		1	11	0.3	0;40	®øng yªn b×nh th­êng	500
70	Thá	0;105;30050		99999;99999;99999	50		1	11	0.3	0;40	®øng yªn b×nh th­êng	300
71	Voi	0;105;30033		99999;99999;99999	50		1	12	0.3	0;40	®øng yªn b×nh th­êng	500
72	L¹c §µ	0;105;148		99999;99999;99999	50		1	13	0.3	0;40	®øng yªn b×nh th­êng	500
73	L¹c §µ	0;105;149		99999;99999;99999	50		1	13	0.3	0;40	®øng yªn b×nh th­êng	500
74	Hå Ly	0;105;164		99999;99999;99999	50		1	14	0.3	0;40	®øng yªn b×nh th­êng	200
75	Hå Ly	0;105;160		99999;99999;99999	50		1	14	0.3	0;40	®øng yªn b×nh th­êng	300
76	Hå Ly	0;105;161		99999;99999;99999	50		1	14	0.3	0;40	®øng yªn b×nh th­êng	500
77	TuÇn Léc	0;105;35		99999;99999;99999	50		1	15	0.3	0;40	®øng yªn b×nh th­êng	300
78	TuÇn Léc	0;105;10120		99999;99999;99999	50		1	15	0.3	0;40	®øng yªn b×nh th­êng	300
79	TuÇn Léc	0;105;10122		99999;99999;99999	50		1	15	0.3	0;40	®øng yªn b×nh th­êng	300
80	Xe TuÇn Léc	0;105;30041		99999;99999;99999	100		1	16	0.3	0;40	®øng yªn b×nh th­êng	2000
81	Ngù KiÕm	0;105;10107		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
82	Ngù KiÕm	0;105;10108		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
83	Ngù KiÕm	0;105;10109		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
84	Ngù KiÕm	0;105;10110		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
85	Ngù KiÕm	0;105;10111		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
86	Ngù KiÕm	0;105;10112		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
87	Ngù KiÕm	0;105;181		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
88	Hoa sen	0;105;30051		99999;99999;99999	100		1	18	0.3	0;40	®øng yªn b×nh th­êng	2500
89	Hoa sen	0;105;30057		99999;99999;99999	100		1	18	0.3	0;40	®øng yªn b×nh th­êng	2500
90	ChiÕn Xa TÇn Thñy Hoµng	0;105;30052		99999;99999;99999	100		1	19	0.3	0;40	®øng yªn b×nh th­êng	2500
91	Long M·	0;105;30056		99999;99999;99999	100		1	20	0.3	0;40	®øng yªn b×nh th­êng	2500
92	B¹ch Tr¹ch Linh Thó	0;105;190		99999;99999;99999	50		1	21	0.3	0;40	®øng yªn b×nh th­êng	400
93	ChiÕn Xa TÇn Thñy Hoµng	0;105;183		99999;99999;99999	50		1	19	0.1	0;40	®øng yªn b×nh th­êng	2000
94	Hoa sen	0;105;30058		99999;99999;99999	100		1	18	0.3	0;40	®øng yªn b×nh th­êng	2500
95	Hoa sen	0;105;30059		99999;99999;99999	100		1	18	0.3	0;40	®øng yªn b×nh th­êng	2500
96	Ngù KiÕm	0;105;182		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
98	Xe TuÇn Léc	0;105;30042		99999;99999;99999	100		1	16	0.1	0;40	®øng yªn b×nh th­êng	2500
99	Toan Nghª	0;105;199		99999;99999;99999	100		1	22	0.5	0;40	®øng yªn b×nh th­êng	500
100	GÊu MÌo	0;105;150		99999;99999;99999	100		1	23	0.5	0;40	®øng yªn b×nh th­êng	500
101	Lõa Nhá	0;105;154		99999;99999;99999	100		1	24	0.2	0;40	®øng yªn b×nh th­êng	1000
102	Kú Thó (§Ñp)	0;105;30100		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
103	Kú Thó (§Ñp)	0;105;30101		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
104	Kú Thó (§Ñp)	0;105;30102		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
105	Kú Thó (§Ñp)	0;105;30103		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
106	Kú Thó (§Ñp)	0;105;30104		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
107	Tr©u (§Ñp)	0;105;30105		99999;99999;99999	100		1	34	0.3	0;40	®øng yªn b×nh th­êng	2500
108	Tr©u (§Ñp)	0;105;30106		99999;99999;99999	100		1	34	0.3	0;40	®øng yªn b×nh th­êng	2500
109	Tr©u (§Ñp)	0;105;30107		99999;99999;99999	100		1	34	0.3	0;40	®øng yªn b×nh th­êng	2500
110	Hæ (§Ñp)	0;105;30108		99999;99999;99999	100		1	35	0.3	0;40	®øng yªn b×nh th­êng	2500
111	Hæ (§Ñp)	0;105;30109		99999;99999;99999	100		1	35	0.3	0;40	®øng yªn b×nh th­êng	2500
112	Hæ (§Ñp)	0;105;30110		99999;99999;99999	100		1	35	0.3	0;40	®øng yªn b×nh th­êng	2500
113	B¸o (§Ñp)	0;105;30111		99999;99999;99999	100		1	36	0.3	0;40	®øng yªn b×nh th­êng	2500
114	B¸o (§Ñp)	0;105;30112		99999;99999;99999	100		1	36	0.3	0;40	®øng yªn b×nh th­êng	2500
115	B¸o (§Ñp)	0;105;30113		99999;99999;99999	100		1	36	0.3	0;40	®øng yªn b×nh th­êng	2500
116	Ngùa (§Ñp)	0;105;30114		99999;99999;99999	100		1	37	0.3	0;40	®øng yªn b×nh th­êng	2500
117	Ngùa (§Ñp)	0;105;30115		99999;99999;99999	100		1	37	0.3	0;40	®øng yªn b×nh th­êng	2500
118	Kú Thó (§Ñp)	0;105;30116		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
119	Kú Thó (§Ñp)	0;105;30117		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
120	Kú Thó (§Ñp)	0;105;30118		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
121	Kú Thó (§Ñp)	0;105;30119		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
122	Kú Thó (§Ñp)	0;105;30120		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
123	Tr©u (§Ñp)	0;105;30121		99999;99999;99999	100		1	34	0.3	0;40	®øng yªn b×nh th­êng	2500
124	Tr©u (§Ñp)	0;105;30122		99999;99999;99999	100		1	34	0.3	0;40	®øng yªn b×nh th­êng	2500
125	Tr©u (§Ñp)	0;105;30123		99999;99999;99999	100		1	34	0.3	0;40	®øng yªn b×nh th­êng	2500
126	Hæ (§Ñp)	0;105;30124		99999;99999;99999	100		1	35	0.3	0;40	®øng yªn b×nh th­êng	2500
127	Hæ (§Ñp)	0;105;30125		99999;99999;99999	100		1	35	0.3	0;40	®øng yªn b×nh th­êng	2500
128	Hæ (§Ñp)	0;105;30126		99999;99999;99999	100		1	35	0.3	0;40	®øng yªn b×nh th­êng	2500
129	B¸o (§Ñp)	0;105;30127		99999;99999;99999	100		1	36	0.3	0;40	®øng yªn b×nh th­êng	2500
130	B¸o (§Ñp)	0;105;30128		99999;99999;99999	100		1	36	0.3	0;40	®øng yªn b×nh th­êng	2500
131	B¸o (§Ñp)	0;105;30129		99999;99999;99999	100		1	36	0.3	0;40	®øng yªn b×nh th­êng	2500
132	Ngùa (§Ñp)	0;105;30130		99999;99999;99999	100		1	37	0.3	0;40	®øng yªn b×nh th­êng	2500
133	Ngùa (§Ñp)	0;105;30131		99999;99999;99999	100		1	37	0.3	0;40	®øng yªn b×nh th­êng	2500
134	Kú Thó (§Ñp)	0;105;30132		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
135	Thá (§Ñp)	0;105;30133		99999;99999;99999	100		1	38	0.3	0;40	®øng yªn b×nh th­êng	2500
136	Thá (§Ñp)	0;105;30134		99999;99999;99999	100		1	38	0.3	0;40	®øng yªn b×nh th­êng	2500
137	Thá (§Ñp)	0;105;30135		99999;99999;99999	100		1	38	0.3	0;40	®øng yªn b×nh th­êng	2500
138	Xe TuyÕt (§Ñp)	0;105;30136		99999;99999;99999	100		1	39	0.1	0;40	®øng yªn b×nh th­êng	2500
139	Xe TuyÕt (§Ñp)	0;105;30137		99999;99999;99999	100		1	39	0.1	0;40	®øng yªn b×nh th­êng	2500
140	Xe TuyÕt (§Ñp)	0;105;30138		99999;99999;99999	100		1	39	0.1	0;40	®øng yªn b×nh th­êng	2500
141	Kú Thó (§Ñp)	0;105;30139		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
142	B¸o (§Ñp)	0;105;30140		99999;99999;99999	100		1	36	0.3	0;40	®øng yªn b×nh th­êng	2500
143	B¸o (§Ñp)	0;105;30141		99999;99999;99999	100		1	36	0.3	0;40	®øng yªn b×nh th­êng	2500
144	B¸o (§Ñp)	0;105;30142		99999;99999;99999	100		1	36	0.3	0;40	®øng yªn b×nh th­êng	2500
145	Hoa Sen (Hoa LÖ)	0;105;30143		99999;99999;99999	100		1	29	0.3	0;40	®øng yªn b×nh th­êng	2500
146	ChiÕn Xa (Hoa LÖ)	0;105;30144		99999;99999;99999	100		1	30	0.3	0;40	®øng yªn b×nh th­êng	2500
147	DiÒu Bay-Rùc Rì	0;105;30145		99999;99999;99999	100		1	31	0.3	0;40	®øng yªn b×nh th­êng	2500
148	S¬n D­¬ng (§Ñp)	0;105;30146		99999;99999;99999	100		1	40	0.3	0;40	®øng yªn b×nh th­êng	2500
149	S¬n D­¬ng (§Ñp)	0;105;30147		99999;99999;99999	100		1	40	0.3	0;40	®øng yªn b×nh th­êng	2500
150	Ngùa (§Ñp)	0;105;30148		99999;99999;99999	100		1	37	0.3	0;40	®øng yªn b×nh th­êng	2500
151	Hoa Sen (Hoa LÖ)	0;105;30149		99999;99999;99999	100		1	29	0.3	0;40	®øng yªn b×nh th­êng	2500
152	Hoa Sen (Hoa LÖ)	0;105;30150		99999;99999;99999	100		1	29	0.3	0;40	®øng yªn b×nh th­êng	2500
153	Hoa Sen (Hoa LÖ)	0;105;30151		99999;99999;99999	100		1	29	0.3	0;40	®øng yªn b×nh th­êng	2500
154	Thá (§Ñp)	0;105;30152		99999;99999;99999	100		1	38	0.3	0;40	®øng yªn b×nh th­êng	2500
155	Thá (§Ñp)	0;105;30153		99999;99999;99999	100		1	38	0.3	0;40	®øng yªn b×nh th­êng	2500
156	Xe TuyÕt (§Ñp)	0;105;30154		99999;99999;99999	100		1	39	0.3	0;40	®øng yªn b×nh th­êng	2500
157	Tr©u (§Ñp)	0;105;30155		99999;99999;99999	100		1	34	0.3	0;40	®øng yªn b×nh th­êng	2500
158	Kú Thó (§Ñp)	0;105;30156		99999;99999;99999	100		1	33	0.3	0;40	®øng yªn b×nh th­êng	2500
159	L¹c §µ (§Ñp)	0;105;30157		99999;99999;99999	100		1	41	0.3	0;40	®øng yªn b×nh th­êng	2500
160	L¹c §µ (§Ñp)	0;105;30158		99999;99999;99999	100		1	41	0.3	0;40	®øng yªn b×nh th­êng	2500
161	GÊu MÌo (§Ñp)	0;105;30159		99999;99999;99999	100		1	42	0.5	0;40	®øng yªn b×nh th­êng	2500
162	Lõa (§Ñp)	0;105;30160		99999;99999;99999	100		1	43	0.2	0;40	®øng yªn b×nh th­êng	2500
163	Lõa (§Ñp)	0;105;30161		99999;99999;99999	100		1	43	0.2	0;40	®øng yªn b×nh th­êng	2500
164	Lõa (§Ñp)	0;105;30162		99999;99999;99999	100		1	43	0.2	0;40	®øng yªn b×nh th­êng	2500
165	Lõa (§Ñp)	0;105;30163		99999;99999;99999	100		1	43	0.2	0;40	®øng yªn b×nh th­êng	2500
166	Hå Ly (§Ñp)	0;105;30164		99999;99999;99999	100		1	44	0.3	0;40	®øng yªn b×nh th­êng	2500
167	Xe TuyÕt (§Ñp)	0;105;30165		99999;99999;99999	100		1	39	0.3	0;40	®øng yªn b×nh th­êng	2500
168	Xe TuyÕt (§Ñp)	0;105;30166		99999;99999;99999	100		1	39	0.3	0;40	®øng yªn b×nh th­êng	2500
169	Xe TuyÕt (§Ñp)	0;105;30167		99999;99999;99999	100		1	39	0.3	0;40	®øng yªn b×nh th­êng	2500
170	Xe TuyÕt (§Ñp)	0;105;30168		99999;99999;99999	100		1	39	0.3	0;40	®øng yªn b×nh th­êng	2500
171	S¬n D­¬ng (§Ñp)	0;105;30169		99999;99999;99999	100		1	40	0.3	0;40	®øng yªn b×nh th­êng	2500
172	L¹c §µ (§Ñp)	0;105;30170		99999;99999;99999	100		1	45	0.3	0;40	®øng yªn b×nh th­êng	2500
173	L¹c §µ (§Ñp)	0;105;30171		99999;99999;99999	100		1	45	0.3	0;40	®øng yªn b×nh th­êng	2500
174	L¹c §µ (§Ñp)	0;105;30172		99999;99999;99999	100		1	45	0.3	0;40	®øng yªn b×nh th­êng	2500
175	L¹c §µ (§Ñp)	0;105;30173		99999;99999;99999	100		1	45	0.3	0;40	®øng yªn b×nh th­êng	2500
176	GÊu (§Ñp)	0;105;30174		99999;99999;99999	100		1	46	0.3	0;40	®øng yªn b×nh th­êng	2500
177	GÊu (§Ñp)	0;105;30175		99999;99999;99999	100		1	46	0.3	0;40	®øng yªn b×nh th­êng	2500
178	GÊu (§Ñp)	0;105;30176		99999;99999;99999	100		1	46	0.3	0;40	®øng yªn b×nh th­êng	2500
179	Phi KiÕm (Hoa LÖ)	0;105;30177		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
180	Phi KiÕm (Hoa LÖ)	0;105;30178		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
181	Ngùa (§Ñp)	0;105;30179		99999;99999;99999	100		1	37	0.3	0;40	®øng yªn b×nh th­êng	2500
182	Sãi (§Ñp)	0;105;30180		99999;99999;99999	100		1	47	0.5	0;40	®øng yªn b×nh th­êng	2500
183	Sãi (§Ñp)	0;105;30181		99999;99999;99999	100		1	47	0.5	0;40	®øng yªn b×nh th­êng	2500
184	Sãi (§Ñp)	0;105;30182		99999;99999;99999	100		1	47	0.5	0;40	®øng yªn b×nh th­êng	2500
185	Sãi (§Ñp)	0;105;30183		99999;99999;99999	100		1	47	0.5	0;40	®øng yªn b×nh th­êng	2500
186	Sãi (§Ñp)	0;105;30184		99999;99999;99999	100		1	47	0.3	0;40	®øng yªn b×nh th­êng	2500
187	Sãi (§Ñp)	0;105;30185		99999;99999;99999	100		1	47	0.3	0;40	®øng yªn b×nh th­êng	2500
188	Sãi (§Ñp)	0;105;30186		99999;99999;99999	100		1	47	0.3	0;40	®øng yªn b×nh th­êng	2500
189	Tr©u (§Ñp)	0;105;30187		99999;99999;99999	100		1	34	0.3	0;40	®øng yªn b×nh th­êng	2500
190	Phi KiÕm (Hoa LÖ)	0;105;30188		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
191	Phi KiÕm (Hoa LÖ)	0;105;30189		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
192	MÌo (§Ñp)	0;105;30190		99999;99999;99999	100		1	49	0.3	0;40	®øng yªn b×nh th­êng	2500
193	Linh Thó	0;105;206		99999;99999;99999	100		1	7	0.3	0;40	®øng yªn b×nh th­êng	2500
194	Ngù KiÕm	0;105;209		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
195	Toan Nghª	0;105;201		99999;99999;99999	100		1	22	0.5	0;40	®øng yªn b×nh th­êng	500
196	Phi KiÕm (Hoa LÖ)	0;105;30191		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
197	Phi KiÕm (Hoa LÖ)	0;105;30192		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
198	Phi KiÕm (Hoa LÖ)	0;105;30193		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
199	Phi KiÕm (Hoa LÖ)	0;105;30194		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
200	Phi KiÕm (Hoa LÖ)	0;105;30195		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
201	Phi KiÕm (Hoa LÖ)	0;105;30196		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
202	Kú Thó	0;105;210		99999;99999;99999	100		1	25	0.3	0;40	®øng yªn b×nh th­êng	2500
203	Tiªn H¹c	0;105;192		99999;99999;99999	100		1	27	0.3	0;40	®øng yªn b×nh th­êng	2500
204	Tiªn H¹c	0;105;193		99999;99999;99999	100		1	27	0.3	0;40	®øng yªn b×nh th­êng	2500
205	Tiªn H¹c	0;105;194		99999;99999;99999	100		1	27	0.3	0;40	®øng yªn b×nh th­êng	2500
206	Tiªn H¹c	0;105;195		99999;99999;99999	100		1	27	0.3	0;40	®øng yªn b×nh th­êng	2500
207	Kú Thó	0;105;198		99999;99999;99999	100		1	25	0.3	0;40	®øng yªn b×nh th­êng	2500
208	Phi KiÕm (Hoa LÖ)	0;105;30196		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
209	Tiªn H¹c (§Ñp)	0;105;30197		99999;99999;99999	100		1	50	0.3	0;40	®øng yªn b×nh th­êng	2500
210	Tiªn H¹c (§Ñp)	0;105;30198		99999;99999;99999	100		1	50	0.3	0;40	®øng yªn b×nh th­êng	2500
211	Tiªn H¹c (§Ñp)	0;105;30199		99999;99999;99999	100		1	50	0.3	0;40	®øng yªn b×nh th­êng	2500
212	Tiªn H¹c (§Ñp)	0;105;30200		99999;99999;99999	100		1	50	0.3	0;40	®øng yªn b×nh th­êng	2500
213	UyÓn C©u Ký TuÊn	0;105;110		99999;99999;99999	100		1	2	0.3	0;40	®øng yªn b×nh th­êng	500
215	Ngùa (§Ñp)	0;105;30201		99999;99999;99999	100		1	37	0.3	0;40	®øng yªn b×nh th­êng	2500
216	Linh Thó	0;105;184		99999;99999;99999	100		1	7	0.3	0;40	®øng yªn b×nh th­êng	200
217	UyÓn C©u Ký TuÊn	0;105;30015		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	200
218	Ngù KiÕm	0;105;180		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
219	Phi KiÕm (Hoa LÖ)	0;105;30202		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
220	Sãi (§Ñp)	0;105;30203		99999;99999;99999	100		1	47	0.5	0;40	®øng yªn b×nh th­êng	500
221	UyÓn C©u Ký TuÊn	0;105;117		99999;99999;99999	100		1	2	0.3	0;40	®øng yªn b×nh th­êng	500
222	Ngùa (§Ñp)	0;105;30204		99999;99999;99999	100		1	37	0.3	0;40	®øng yªn b×nh th­êng	2500
223	Toan Nghª	0;105;203		99999;99999;99999	100		1	22	0.5	0;40	®øng yªn b×nh th­êng	500
224	Sãi (§Ñp)	0;105;30183		99999;99999;99999	100		1	47	0.5	0;40	®øng yªn b×nh th­êng	2500
225	Toan Nghª	0;105;202		99999;99999;99999	100		1	22	0.5	0;40	®øng yªn b×nh th­êng	2000
226	Sãi (§Ñp)	0;105;30182		99999;99999;99999	100		1	47	0.5	0;40	®øng yªn b×nh th­êng	4000
