ID	Title	AwrdItem	NeedSex	NeedBody	NeedRoute	AwardTimes	GlobalMsg	ExchangeMode	TimeLimitHours	StatKey
50134	ChiÕn Cuång Bµn V©n Bµo	0;100;32169;1	1	1	31			50134		
50135	ChiÕn Cuång Bµn V©n Bµo	0;100;32169;1	1	2	31			50135		
50136	ChiÕn Cuång Bµn V©n Bµo	0;100;32169;1	2	3	31			50136		
50137	ChiÕn Cuång Bµn V©n Bµo	0;100;32169;1	2	4	31			50137		
50138	ChiÕn Cuång Tr¶m Ma Bµo	0;100;32170;1	1	1	32			50138		
50139	ChiÕn Cuång Tr¶m Ma Bµo	0;100;32170;1	1	2	32			50139		
50140	ChiÕn Cuång Thiªn §Þa Trang	0;101;30143;1	1	1	2			50140		
50141	ChiÕn Cuång Thiªn §Þa Trang	0;101;30144;1	1	2	2			50141		
50142	ChiÕn Cuång Phæ TÕ Trang	0;101;30147;1	1	1	3			50142		
50143	ChiÕn Cuång Phæ TÕ Trang	0;101;30148;1	1	2	3			50143		
50144	ChiÕn Cuång Thiªn T«n Trang	0;101;30145;1	1	1	4			50144		
50145	ChiÕn Cuång Thiªn T«n Trang	0;101;30146;1	1	2	4			50145		
50146	ChiÕn Cuång TuyÖt MÖnh Trang	0;101;30149;1	1	1	6			50146		
50147	ChiÕn Cuång TuyÖt MÖnh Trang	0;101;30150;1	1	2	6			50147		
50148	ChiÕn Cuång TuyÖt MÖnh Trang	0;101;30151;1	2	3	6			50148		
50149	ChiÕn Cuång TuyÖt MÖnh Trang	0;101;30152;1	2	4	6			50149		
50150	ChiÕn Cuång Bå T¸t Khè	0;101;30153;1	2	3	8			50150		
50151	ChiÕn Cuång Bå T¸t Khè	0;101;30154;1	2	4	8			50151		
50152	ChiÕn Cuång L­u ThñyKhè	0;101;30155;1	2	3	9			50152		
50153	ChiÕn Cuång L­u ThñyKhè	0;101;30156;1	2	4	9			50153		
50154	ChiÕn Cuång ThÇn Du Trang	0;101;30157;1	1	1	11			50154		
50155	ChiÕn Cuång ThÇn Du Trang	0;101;30158;1	1	2	11			50155		
50156	ChiÕn Cuång ThÇn Du Trang	0;101;30159;1	2	3	11			50156		
50157	ChiÕn Cuång ThÇn Du Trang	0;101;30160;1	2	4	11			50157		
50158	ChiÕn Cuång Tiªu Dao Trang	0;101;30161;1	1	1	12			50158		
50159	ChiÕn Cuång Tiªu Dao Trang	0;101;30162;1	1	2	12			50159		
50160	ChiÕn Cuång Tiªu Dao Trang	0;101;30163;1	2	3	12			50160		
50161	ChiÕn Cuång Tiªu Dao Trang	0;101;30164;1	2	4	12			50161		
50162	ChiÕn Cuång V« Vi Trang	0;101;30165;1	1	1	14			50162		
50163	ChiÕn Cuång V« Vi Trang	0;101;30166;1	1	2	14			50163		
50164	ChiÕn Cuång V« Vi Trang	0;101;30167;1	2	3	14			50164		
50165	ChiÕn Cuång V« Vi Trang	0;101;30168;1	2	4	14			50165		
50166	ChiÕn Cuång Cµn Kh«n Trang	0;101;30169;1	1	1	15			50166		
50167	ChiÕn Cuång Cµn Kh«n Trang	0;101;30170;1	1	2	15			50167		
50168	ChiÕn Cuång Cµn Kh«n Trang	0;101;30171;1	2	3	15			50168		
50169	ChiÕn Cuång Cµn Kh«n Trang	0;101;30172;1	2	4	15			50169		
50170	ChiÕn Cuång Thiªn Tinh  Trang	0;101;30173;1	1	1	17			50170		
50171	ChiÕn Cuång Thiªn Tinh  Trang	0;101;30174;1	1	2	17			50171		
50172	ChiÕn Cuång Thiªn Tinh  Trang	0;101;30175;1	2	3	17			50172		
50173	ChiÕn Cuång Thiªn Tinh  Trang	0;101;30176;1	2	4	17			50173		
50174	ChiÕn Cuång Xuyªn V©n Trang	0;101;30177;1	1	1	18			50174		
50175	ChiÕn Cuång Xuyªn V©n Trang	0;101;30178;1	1	2	18			50175		
50176	ChiÕn Cuång Xuyªn V©n Trang	0;101;30179;1	2	3	18			50176		
50177	ChiÕn Cuång Xuyªn V©n Trang	0;101;30180;1	2	4	18			50177		
50178	ChiÕn Cuång Minh T«n Trang	0;101;30181;1	1	1	20			50178		
50179	ChiÕn Cuång Minh T«n Trang	0;101;30182;1	1	2	20			50179		
50180	ChiÕn Cuång Minh T«n Trang	0;101;30183;1	2	3	20			50180		
50181	ChiÕn Cuång Minh T«n Trang	0;101;30184;1	2	4	20			50181		
50182	ChiÕn Cuång Cæ T©m Trang	0;101;30185;1	1	1	21			50182		
50183	ChiÕn Cuång Cæ T©m Trang	0;101;30186;1	1	2	21			50183		
50184	ChiÕn Cuång Cæ T©m Trang	0;101;30187;1	2	3	21			50184		
50185	ChiÕn Cuång Cæ T©m Trang	0;101;30188;1	2	4	21			50185		
50186	ChiÕn Cuång Phong L«i Trang	0;101;30189;1	1	1	23			50186		
50187	ChiÕn Cuång Phong L«i Trang	0;101;30190;1	1	2	23			50187		
50188	ChiÕn Cuång §¹i §Þa Trang	0;101;30191;1	1	1	25			50188		
50189	ChiÕn Cuång §¹i §Þa Trang	0;101;30192;1	1	2	25			50189		
50190	ChiÕn Cuång §¹i §Þa Trang	0;101;30193;1	2	3	25			50190		
50191	ChiÕn Cuång §¹i §Þa Trang	0;101;30194;1	2	4	25			50191		
50192	ChiÕn Cuång Tóy Méng Trang	0;101;30195;1	1	1	26			50192		
50193	ChiÕn Cuång Tóy Méng Trang	0;101;30196;1	1	2	26			50193		
50194	ChiÕn Cuång Tóy Méng Trang	0;101;30197;1	2	3	26			50194		
50195	ChiÕn Cuång Tóy Méng Trang	0;101;30198;1	2	4	26			50195		
50196	ChiÕn Cuång Ma Vùc  Trang	0;101;30199;1	1	1	27			50196		
50197	ChiÕn Cuång Ma Vùc  Trang	0;101;30200;1	1	2	27			50197		
50198	ChiÕn Cuång Ma Vùc  Trang	0;101;30201;1	2	3	27			50198		
50199	ChiÕn Cuång Ma Vùc  Trang	0;101;30202;1	2	4	27			50199		
50200	ChiÕn Cuång Th¸nh N÷  Khè	0;101;30203;1	2	3	29			50200		
50201	ChiÕn Cuång Th¸nh N÷  Khè	0;101;30204;1	2	4	29			50201		
50202	ChiÕn Cuång Th¸nh Linh Khè	0;101;30205;1	2	3	30			50202		
50203	ChiÕn Cuång Th¸nh Linh Khè	0;101;30206;1	2	4	30			50203		
50204	ChiÕn Cuång Bµn V©n Trang	0;101;32169;1	1	1	31			50204		
50205	ChiÕn Cuång Bµn V©n Trang	0;101;32169;1	1	2	31			50205		
50206	ChiÕn Cuång Bµn V©n Trang	0;101;32169;1	2	3	31			50206		
50207	ChiÕn Cuång Bµn V©n Trang	0;101;32169;1	2	4	31			50207		
50208	ChiÕn Cuång Tr¶m Ma Trang	0;101;32170;1	1	1	32			50208		
50209	ChiÕn Cuång Tr¶m Ma Trang	0;101;32170;1	1	2	32			50209		
50210	ChiÕn Cuång B¨ng Thiªn §ao	0;3;30143;1	1	1	2			50210		
50211	ChiÕn Cuång B¨ng Thiªn §ao	0;3;30144;1	1	2	2			50210		
50212	ChiÕn Cuång ThiÒn §Þnh Tr­îng	0;8;30147;1	1	1	3			50212		
50213	ChiÕn Cuång ThiÒn §Þnh Tr­îng	0;8;30148;1	1	2	3			50212		
50214	ChiÕn Cuång Th¸nh ChiÕn Thñ	0;0;30145;1	1	1	4			50214		
50215	ChiÕn Cuång Th¸nh ChiÕn Thñ	0;0;30146;1	1	2	4			50214		
50216	ChiÕn Cuång §o¹t Hån Ch©m	0;1;30149;1	1	1	6			50216		
50217	ChiÕn Cuång §o¹t Hån Ch©m	0;1;30150;1	1	2	6			50216		
50218	ChiÕn Cuång §o¹t Hån Ch©m	0;1;30151;1	2	3	6			50216		
50219	ChiÕn Cuång §o¹t Hån Ch©m	0;1;30152;1	2	4	6			50216		
50220	ChiÕn Cuång PhËt Quang KiÕm	0;2;30153;1	2	3	8			50220		
50221	ChiÕn Cuång PhËt Quang KiÕm	0;2;30154;1	2	4	8			50220		
50222	ChiÕn Cuång Hé Bang CÇm	0;10;30155;1	2	3	9			50222		
50223	ChiÕn Cuång Hé Bang CÇm	0;10;30156;1	2	4	9			50222		
50224	ChiÕn Cuång Trõng ¸c Thñ	0;0;30157;1	1	1	11			50224		
50225	ChiÕn Cuång Trõng ¸c Thñ	0;0;30158;1	1	2	11			50224		
50226	ChiÕn Cuång Trõng ¸c Thñ	0;0;30159;1	2	3	11			50224		
50227	ChiÕn Cuång Trõng ¸c Thñ	0;0;30160;1	2	4	11			50224		
50228	ChiÕn Cuång V« Cùc C«n	0;5;30161;1	1	1	12			50228		
50229	ChiÕn Cuång V« Cùc C«n	0;5;30162;1	1	2	12			50228		
50230	ChiÕn Cuång V« Cùc C«n	0;5;30163;1	2	3	12			50228		
50231	ChiÕn Cuång V« Cùc C«n	0;5;30164;1	2	4	12			50228		
50232	ChiÕn Cuång Khu Ma KiÕm	0;2;30165;1	1	1	14			50232		
50233	ChiÕn Cuång Khu Ma KiÕm	0;2;30166;1	1	2	14			50232		
50234	ChiÕn Cuång Khu Ma KiÕm	0;2;30167;1	2	3	14			50232		
50235	ChiÕn Cuång Khu Ma KiÕm	0;2;30168;1	2	4	14			50232		
50236	ChiÕn Cuång Th­¬ng Khung Bót	0;9;30169;1	1	1	15			50236		
50237	ChiÕn Cuång Th­¬ng Khung Bót	0;9;30170;1	1	2	15			50236		
50238	ChiÕn Cuång Th­¬ng Khung Bót	0;9;30171;1	2	3	15			50236		
50239	ChiÕn Cuång Th­¬ng Khung Bót	0;9;30172;1	2	4	15			50236		
50240	ChiÕn Cuång ThÇn KÝch Th­¬ng	0;6;30173;1	1	1	17			50240		
50241	ChiÕn Cuång ThÇn KÝch Th­¬ng	0;6;30174;1	1	2	17			50240		
50242	ChiÕn Cuång ThÇn KÝch Th­¬ng	0;6;30175;1	2	3	17			50240		
50243	ChiÕn Cuång ThÇn KÝch Th­¬ng	0;6;30176;1	2	4	17			50240		
50244	ChiÕn Cuång Xung Thiªn Cung	0;4;30177;1	1	1	18			50244		
50245	ChiÕn Cuång Xung Thiªn Cung	0;4;30178;1	1	2	18			50244		
50246	ChiÕn Cuång Xung Thiªn Cung	0;4;30179;1	2	3	18			50244		
50247	ChiÕn Cuång Xung Thiªn Cung	0;4;30180;1	2	4	18			50244		
50248	ChiÕn Cuång LuyÖn Ngôc §ao	0;7;30181;1	1	1	20			50248		
50249	ChiÕn Cuång LuyÖn Ngôc §ao	0;7;30182;1	1	2	20			50248		
50250	ChiÕn Cuång LuyÖn Ngôc §ao	0;7;30183;1	2	3	20			50248		
50251	ChiÕn Cuång LuyÖn Ngôc §ao	0;7;30184;1	2	4	20			50248		
50252	ChiÕn Cuång NhiÕp Hån Tr¶o	0;11;30185;1	1	1	21			50252		
50253	ChiÕn Cuång NhiÕp Hån Tr¶o	0;11;30186;1	1	2	21			50252		
50254	ChiÕn Cuång NhiÕp Hån Tr¶o	0;11;30187;1	2	3	21			50252		
50255	ChiÕn Cuång NhiÕp Hån Tr¶o	0;11;30188;1	2	4	21			50252		
50256	ChiÕn Cuång Thiªn Ph¹t KiÕm	0;2;30189;1	1	1	23			50256		
50257	ChiÕn Cuång Thiªn Ph¹t KiÕm	0;2;30190;1	1	2	23			50256		
50258	ChiÕn Cuång Chóc Dung §ao	0;3;30191;1	1	1	25			50258		
50259	ChiÕn Cuång Chóc Dung §ao	0;3;30192;1	1	2	25			50258		
50260	ChiÕn Cuång Chóc Dung §ao	0;3;30193;1	2	3	25			50258		
50261	ChiÕn Cuång Chóc Dung §ao	0;3;30194;1	2	4	25			50258		
50262	ChiÕn Cuång Tö MÖnh Bót	0;9;30195;1	1	1	26			50262		
50263	ChiÕn Cuång Tö MÖnh Bót	0;9;30196;1	1	2	26			50262		
50264	ChiÕn Cuång Tö MÖnh Bót	0;9;30197;1	2	3	26			50262		
50265	ChiÕn Cuång Tö MÖnh Bót	0;9;30198;1	2	4	26			50262		
50266	ChiÕn Cuång Truy Hån Tr¶o	0;11;30199;1	1	1	27			50266		
50267	ChiÕn Cuång Truy Hån Tr¶o	0;11;30200;1	1	2	27			50266		
50268	ChiÕn Cuång Truy Hån Tr¶o	0;11;30201;1	2	3	27			50266		
50269	ChiÕn Cuång Truy Hån Tr¶o	0;11;30202;1	2	4	27			50266		
50270	ChiÕn Cuång Phong Linh PhiÕn	0;13;30203;1	2	3	29			50270		
50271	ChiÕn Cuång Phong Linh PhiÕn	0;13;30204;1	2	4	29			50270		
50272	ChiÕn Cuång Kh«ng Minh §Þch	0;12;30205;1	2	3	30			50272		
50273	ChiÕn Cuång Kh«ng Minh §Þch	0;12;30206;1	2	4	30			50272		
50274	ChiÕn Cuång Bµn V©n Chñy	0;14;32217;1	1	1	31			50274		
50275	ChiÕn Cuång Bµn V©n Chñy	0;14;32217;1	1	2	31			50274		
50276	ChiÕn Cuång Bµn V©n Chñy	0;14;32217;1	2	3	31			50274		
50277	ChiÕn Cuång Bµn V©n Chñy	0;14;32217;1	2	4	31			50274		
50278	ChiÕn Cuång Tr¶m Ma KiÕm	0;2;32218;1	1	1	32			50278		
50279	ChiÕn Cuång Tr¶m Ma KiÕm	0;2;32218;1	1	2	32			50278		
0										
50280	Hµo HiÖp §Çu	0;103;30568;1	1	1	2			50280		
50281	Hµo HiÖp §Çu	0;103;30568;1	1	2	2			50281		
50282	Hµo HiÖp §Çu	0;103;30568;1	1	1	3			50282		
50283	Hµo HiÖp §Çu	0;103;30568;1	1	2	3			50283		
50284	Hµo HiÖp §Çu	0;103;30568;1	1	1	4			50284		
50285	Hµo HiÖp §Çu	0;103;30568;1	1	2	4			50285		
50286	Hµo HiÖp §Çu	0;103;30568;1	1	1	6			50286		
50287	Hµo HiÖp §Çu	0;103;30568;1	1	2	6			50287		
50288	Hµo HiÖp §Çu	0;103;30568;1	2	3	6			50288		
50289	Hµo HiÖp §Çu	0;103;30568;1	2	4	6			50289		
50290	Hµo HiÖp §Çu	0;103;30568;1	2	3	8			50290		
50291	Hµo HiÖp §Çu	0;103;30568;1	2	4	8			50291		
50292	Hµo HiÖp §Çu	0;103;30568;1	2	3	9			50292		
50293	Hµo HiÖp §Çu	0;103;30568;1	2	4	9			50293		
50294	Hµo HiÖp §Çu	0;103;30568;1	1	1	11			50294		
50295	Hµo HiÖp §Çu	0;103;30568;1	1	2	11			50295		
50296	Hµo HiÖp §Çu	0;103;30568;1	2	3	11			50296		
50297	Hµo HiÖp §Çu	0;103;30568;1	2	4	11			50297		
50298	Hµo HiÖp §Çu	0;103;30568;1	1	1	12			50298		
50299	Hµo HiÖp §Çu	0;103;30568;1	1	2	12			50299		
50300	Hµo HiÖp §Çu	0;103;30568;1	2	3	12			50300		
50301	Hµo HiÖp §Çu	0;103;30568;1	2	4	12			50301		
50302	Hµo HiÖp §Çu	0;103;30568;1	1	1	14			50302		
50303	Hµo HiÖp §Çu	0;103;30568;1	1	2	14			50303		
50304	Hµo HiÖp §Çu	0;103;30568;1	2	3	14			50304		
50305	Hµo HiÖp §Çu	0;103;30568;1	2	4	14			50305		
50306	Hµo HiÖp §Çu	0;103;30568;1	1	1	15			50306		
50307	Hµo HiÖp §Çu	0;103;30568;1	1	2	15			50307		
50308	Hµo HiÖp §Çu	0;103;30568;1	2	3	15			50308		
50309	Hµo HiÖp §Çu	0;103;30568;1	2	4	15			50309		
50310	Hµo HiÖp §Çu	0;103;30568;1	1	1	17			50310		
50311	Hµo HiÖp §Çu	0;103;30568;1	1	2	17			50311		
50312	Hµo HiÖp §Çu	0;103;30568;1	2	3	17			50312		
50313	Hµo HiÖp §Çu	0;103;30568;1	2	4	17			50313		
50314	Hµo HiÖp §Çu	0;103;30568;1	1	1	18			50314		
50315	Hµo HiÖp §Çu	0;103;30568;1	1	2	18			50315		
