line_id	group_id	desc_cn	item_G	item_D	item_P	weight	desc_vn
131	10097	уф╬╜╣юхкж╝гЕ╧Б╫ё	0	2	1432	1	й╕це4нДфВ
132	10097	уф╬╜╣юхкж╝гЕ╧Б╫ё	0	2	1433	1	й╕це4нДфВ
133	10097	уф╬╜╣юхкж╝гЕ╧Б╫ё	0	2	1434	1	й╕це4нДфВ
134	10097	л╚рри╒хкж╝╨фх╩╠й	0	9	1531	1	й╕це4нДфВ
135	10097	л╚рри╒хкж╝╨фх╩╠й	0	9	1532	1	й╕це4нДфВ
136	10097	л╚рри╒хкж╝╨фх╩╠й	0	9	1533	1	й╕це4нДфВ
137	10097	л╚рри╒хкж╝╨фх╩╠й	0	9	1534	1	й╕це4нДфВ
138	10097	аЗФЬ╫╚╬Эж╝╟афЬг╧	0	6	1731	1	й╕це4нДфВ
139	10097	аЗФЬ╫╚╬Эж╝╟афЬг╧	0	6	1732	1	й╕це4нДфВ
140	10097	аЗФЬ╫╚╬Эж╝╟афЬг╧	0	6	1733	1	й╕це4нДфВ
141	10097	аЗФЬ╫╚╬Эж╝╟афЬг╧	0	6	1734	1	й╕це4нДфВ
142	10097	╩╒рМ╫╚╬Эж╝цмй©╧╜	0	4	1831	1	й╕це4нДфВ
143	10097	╩╒рМ╫╚╬Эж╝цмй©╧╜	0	4	1832	1	й╕це4нДфВ
144	10097	╩╒рМ╫╚╬Эж╝цмй©╧╜	0	4	1833	1	й╕це4нДфВ
145	10097	╩╒рМ╫╚╬Эж╝цмй©╧╜	0	4	1834	1	й╕це4нДфВ
146	10097	сдз╓╧Ми╥ж╝пчбчхп	0	7	2031	1	й╕це4нДфВ
147	10097	сдз╓╧Ми╥ж╝пчбчхп	0	7	2032	1	й╕це4нДфВ
148	10097	сдз╓╧Ми╥ж╝пчбчхп	0	7	2033	1	й╕це4нДфВ
149	10097	сдз╓╧Ми╥ж╝пчбчхп	0	7	2034	1	й╕це4нДфВ
150	10097	нчБЗбчи╡ж╝П╡я╙я╙в╕	0	11	2131	1	й╕це4нДфВ
151	10097	нчБЗбчи╡ж╝П╡я╙я╙в╕	0	11	2132	1	й╕це4нДфВ
152	10097	нчБЗбчи╡ж╝П╡я╙я╙в╕	0	11	2133	1	й╕це4нДфВ
153	10097	нчБЗбчи╡ж╝П╡я╙я╙в╕	0	11	2134	1	й╕це4нДфВ
154	10098	╟к╡©лЛаЗж╝лЛжзм╥©Ь	0	103	231	1	й╕це4лвм╥
155	10098	╟к╡©лЛаЗж╝лЛжзм╥©Ь	0	103	232	1	й╕це4лвм╥
156	10098	нча©╥╗вПж╝ЛЬ╤╗ц╠	0	103	331	1	й╕це4лвм╥
157	10098	нча©╥╗вПж╝ЛЬ╤╗ц╠	0	103	332	1	й╕це4лвм╥
158	10098	╟к╠╕бч╨╨ж╝╢СЁкм╥©Ь	0	103	431	1	й╕це4лвм╥
159	10098	╟к╠╕бч╨╨ж╝╢СЁкм╥©Ь	0	103	432	1	й╕це4лвм╥
160	10098	лЛ╩Зй╧уъж╝иЯувм╥╫М	0	103	631	1	й╕це4лвм╥
161	10098	лЛ╩Зй╧уъж╝иЯувм╥╫М	0	103	632	1	й╕це4лвм╥
162	10098	лЛ╩Зй╧уъж╝иЯувм╥╫М	0	103	633	1	й╕це4лвм╥
163	10098	лЛ╩Зй╧уъж╝иЯувм╥╫М	0	103	634	1	й╕це4лвм╥
164	10098	╟ва╚оивсж╝╠╕тлВы	0	103	831	1	й╕це4лвм╥
165	10098	╟ва╚оивсж╝╠╕тлВы	0	103	832	1	й╕це4лвм╥
166	10098	сЯтооивсж╝ор╩ЙВы	0	103	931	1	й╕це4лвм╥
167	10098	сЯтооивсж╝ор╩ЙВы	0	103	932	1	й╕це4лвм╥
168	10098	аЗм╥иЯь╓ж╝лзтфм╥╫М	0	103	1131	1	й╕це4лвм╥
169	10098	аЗм╥иЯь╓ж╝лзтфм╥╫М	0	103	1132	1	й╕це4лвм╥
170	10098	аЗм╥иЯь╓ж╝лзтфм╥╫М	0	103	1133	1	й╕це4лвм╥
171	10098	аЗм╥иЯь╓ж╝лзтфм╥╫М	0	103	1134	1	й╕це4лвм╥
172	10098	фРлЛиЯь╓ж╝тфснм╥╫М	0	103	1231	1	й╕це4лвм╥
173	10098	фРлЛиЯь╓ж╝тфснм╥╫М	0	103	1232	1	й╕це4лвм╥
174	10098	фРлЛиЯь╓ж╝тфснм╥╫М	0	103	1233	1	й╕це4лвм╥
175	10098	фРлЛиЯь╓ж╝тфснм╥╫М	0	103	1234	1	й╕це4лвм╥
176	10098	уф╬╜╣юхкж╝гЕ╧Б╥╗╫М	0	103	1431	1	й╕це4лвм╥
177	10098	уф╬╜╣юхкж╝гЕ╧Б╥╗╫М	0	103	1432	1	й╕це4лвм╥
178	10098	уф╬╜╣юхкж╝гЕ╧Б╥╗╫М	0	103	1433	1	й╕це4лвм╥
179	10098	уф╬╜╣юхкж╝гЕ╧Б╥╗╫М	0	103	1434	1	й╕це4лвм╥
180	10098	л╚рри╒хкж╝╨фх╩м╥╫М	0	103	1531	1	й╕це4лвм╥
181	10098	л╚рри╒хкж╝╨фх╩м╥╫М	0	103	1532	1	й╕це4лвм╥
182	10098	л╚рри╒хкж╝╨фх╩м╥╫М	0	103	1533	1	й╕це4лвм╥
183	10098	л╚рри╒хкж╝╨фх╩м╥╫М	0	103	1534	1	й╕це4лвм╥
184	10098	аЗФЬ╫╚╬Эж╝╟афЬу╫©Ь	0	103	1731	1	й╕це4лвм╥
185	10098	аЗФЬ╫╚╬Эж╝╟афЬу╫©Ь	0	103	1732	1	й╕це4лвм╥
186	10098	аЗФЬ╫╚╬Эж╝╟афЬу╫©Ь	0	103	1733	1	й╕це4лвм╥
187	10098	аЗФЬ╫╚╬Эж╝╟афЬу╫©Ь	0	103	1734	1	й╕це4лвм╥
188	10098	╩╒рМ╫╚╬Эж╝цмй©у╫©Ь	0	103	1831	1	й╕це4лвм╥
189	10098	╩╒рМ╫╚╬Эж╝цмй©у╫©Ь	0	103	1832	1	й╕це4лвм╥
190	10098	╩╒рМ╫╚╬Эж╝цмй©у╫©Ь	0	103	1833	1	й╕це4лвм╥
191	10098	╩╒рМ╫╚╬Эж╝цмй©у╫©Ь	0	103	1834	1	й╕це4лвм╥
192	10098	сдз╓╧Ми╥ж╝пчбчм╥╫М	0	103	2031	1	й╕це4лвм╥
193	10098	сдз╓╧Ми╥ж╝пчбчм╥╫М	0	103	2032	1	й╕це4лвм╥
194	10098	сдз╓╧Ми╥ж╝пчбчм╥╫М	0	103	2033	1	й╕це4лвм╥
195	10098	сдз╓╧Ми╥ж╝пчбчм╥╫М	0	103	2034	1	й╕це4лвм╥
196	10098	нчБЗбчи╡ж╝П╡я╙м╥╫М	0	103	2131	1	й╕це4лвм╥
197	10098	нчБЗбчи╡ж╝П╡я╙м╥╫М	0	103	2132	1	й╕це4лвм╥
198	10098	нчБЗбчи╡ж╝П╡я╙м╥╫М	0	103	2133	1	й╕це4лвм╥
199	10098	нчБЗбчи╡ж╝П╡я╙м╥╫М	0	103	2134	1	й╕це4лвм╥
200	10099	╟к╡©лЛаЗж╝лЛжзНЬ╪в	0	100	231	1	й╕це4рб
201	10099	╟к╡©лЛаЗж╝лЛжзНЬ╪в	0	100	232	1	й╕це4рб
202	10099	нча©╥╗вПж╝ЛЬ╤╗еш	0	100	331	1	й╕це4рб
203	10099	нча©╥╗вПж╝ЛЬ╤╗еш	0	100	332	1	й╕це4рб
204	10099	╟к╠╕бч╨╨ж╝╢СЁкНЬ╪в	0	100	431	1	й╕це4рб
205	10099	╟к╠╕бч╨╨ж╝╢СЁкНЬ╪в	0	100	432	1	й╕це4рб
206	10099	лЛ╩Зй╧уъж╝иЯувм╥╥Ч	0	100	631	1	й╕це4рб
207	10099	лЛ╩Зй╧уъж╝иЯувм╥╥Ч	0	100	632	1	й╕це4рб
208	10099	лЛ╩Зй╧уъж╝иЯувм╥╥Ч	0	100	633	1	й╕це4рб
209	10099	лЛ╩Зй╧уъж╝иЯувм╥╥Ч	0	100	634	1	й╕це4рб
210	10099	╟ва╚оивсж╝╠╕тлрб	0	100	831	1	й╕це4рб
211	10099	╟ва╚оивсж╝╠╕тлрб	0	100	832	1	й╕це4рб
212	10099	сЯтооивсж╝ор╩Йрб	0	100	931	1	й╕це4рб
213	10099	сЯтооивсж╝ор╩Йрб	0	100	932	1	й╕це4рб
214	10099	аЗм╥иЯь╓ж╝лзтфрб	0	100	1131	1	й╕це4рб
215	10099	аЗм╥иЯь╓ж╝лзтфрб	0	100	1132	1	й╕це4рб
216	10099	аЗм╥иЯь╓ж╝лзтфрб	0	100	1133	1	й╕це4рб
217	10099	аЗм╥иЯь╓ж╝лзтфрб	0	100	1134	1	й╕це4рб
218	10099	фРлЛиЯь╓ж╝тфснрб	0	100	1231	1	й╕це4рб
219	10099	фРлЛиЯь╓ж╝тфснрб	0	100	1232	1	й╕це4рб
220	10099	фРлЛиЯь╓ж╝тфснрб	0	100	1233	1	й╕це4рб
221	10099	фРлЛиЯь╓ж╝тфснрб	0	100	1234	1	й╕це4рб
222	10099	уф╬╜╣юхкж╝гЕ╧Б╥╗еш	0	100	1431	1	й╕це4рб
223	10099	уф╬╜╣юхкж╝гЕ╧Б╥╗еш	0	100	1432	1	й╕це4рб
224	10099	уф╬╜╣юхкж╝гЕ╧Б╥╗еш	0	100	1433	1	й╕це4рб
225	10099	уф╬╜╣юхкж╝гЕ╧Б╥╗еш	0	100	1434	1	й╕це4рб
226	10099	л╚рри╒хкж╝╨фх╩╥Ч	0	100	1531	1	й╕це4рб
227	10099	л╚рри╒хкж╝╨фх╩╥Ч	0	100	1532	1	й╕це4рб
228	10099	л╚рри╒хкж╝╨фх╩╥Ч	0	100	1533	1	й╕це4рб
229	10099	л╚рри╒хкж╝╨фх╩╥Ч	0	100	1534	1	й╕це4рб
230	10099	аЗФЬ╫╚╬Эж╝╟афЬу╫НЬ	0	100	1731	1	й╕це4рб
231	10099	аЗФЬ╫╚╬Эж╝╟афЬу╫НЬ	0	100	1732	1	й╕це4рб
232	10099	аЗФЬ╫╚╬Эж╝╟афЬу╫НЬ	0	100	1733	1	й╕це4рб
233	10099	аЗФЬ╫╚╬Эж╝╟афЬу╫НЬ	0	100	1734	1	й╕це4рб
234	10099	╩╒рМ╫╚╬Эж╝цмй©у╫НЬ	0	100	1831	1	й╕це4рб
235	10099	╩╒рМ╫╚╬Эж╝цмй©у╫НЬ	0	100	1832	1	й╕це4рб
236	10099	╩╒рМ╫╚╬Эж╝цмй©у╫НЬ	0	100	1833	1	й╕це4рб
237	10099	╩╒рМ╫╚╬Эж╝цмй©у╫НЬ	0	100	1834	1	й╕це4рб
238	10099	сдз╓╧Ми╥ж╝пчбчя╙рб	0	100	2031	1	й╕це4рб
239	10099	сдз╓╧Ми╥ж╝пчбчя╙рб	0	100	2032	1	й╕це4рб
240	10099	сдз╓╧Ми╥ж╝пчбчя╙рб	0	100	2033	1	й╕це4рб
241	10099	сдз╓╧Ми╥ж╝пчбчя╙рб	0	100	2034	1	й╕це4рб
242	10099	нчБЗбчи╡ж╝П╡я╙я╙рб	0	100	2131	1	й╕це4рб
243	10099	нчБЗбчи╡ж╝П╡я╙я╙рб	0	100	2132	1	й╕це4рб
244	10099	нчБЗбчи╡ж╝П╡я╙я╙рб	0	100	2133	1	й╕це4рб
245	10099	нчБЗбчи╡ж╝П╡я╙я╙рб	0	100	2134	1	й╕це4рб
246	10100	╟к╡©лЛаЗж╝лЛжзв╟	0	101	231	1	й╕це4©Ц
247	10100	╟к╡©лЛаЗж╝лЛжзв╟	0	101	232	1	й╕це4©Ц
248	10100	нча©╥╗вПж╝ЛЬ╤╗в╟	0	101	331	1	й╕це4©Ц
249	10100	нча©╥╗вПж╝ЛЬ╤╗в╟	0	101	332	1	й╕це4©Ц
250	10100	╟к╠╕бч╨╨ж╝╢СЁкв╟	0	101	431	1	й╕це4©Ц
251	10100	╟к╠╕бч╨╨ж╝╢СЁкв╟	0	101	432	1	й╕це4©Ц
252	10100	лЛ╩Зй╧уъж╝иЯувв╟	0	101	631	1	й╕це4©Ц
253	10100	лЛ╩Зй╧уъж╝иЯувв╟	0	101	632	1	й╕це4©Ц
254	10100	лЛ╩Зй╧уъж╝иЯувв╟	0	101	633	1	й╕це4©Ц
255	10100	лЛ╩Зй╧уъж╝иЯувв╟	0	101	634	1	й╕це4©Ц
256	10100	╟ва╚оивсж╝╠╕тлв╟	0	101	831	1	й╕це4©Ц
257	10100	╟ва╚оивсж╝╠╕тлв╟	0	101	832	1	й╕це4©Ц
258	10100	сЯтооивсж╝ор╩Йв╟	0	101	931	1	й╕це4©Ц
259	10100	сЯтооивсж╝ор╩Йв╟	0	101	932	1	й╕це4©Ц
260	10100	аЗм╥иЯь╓ж╝лзтфв╟	0	101	1131	1	й╕це4©Ц
261	10100	аЗм╥иЯь╓ж╝лзтфв╟	0	101	1132	1	й╕це4©Ц
262	10100	аЗм╥иЯь╓ж╝лзтфв╟	0	101	1133	1	й╕це4©Ц
263	10100	аЗм╥иЯь╓ж╝лзтфв╟	0	101	1134	1	й╕це4©Ц
264	10100	фРлЛиЯь╓ж╝тфснв╟	0	101	1231	1	й╕це4©Ц
265	10100	фРлЛиЯь╓ж╝тфснв╟	0	101	1232	1	й╕це4©Ц
266	10100	фРлЛиЯь╓ж╝тфснв╟	0	101	1233	1	й╕це4©Ц
267	10100	фРлЛиЯь╓ж╝тфснв╟	0	101	1234	1	й╕це4©Ц
268	10100	уф╬╜╣юхкж╝гЕ╧Бв╟	0	101	1431	1	й╕це4©Ц
269	10100	уф╬╜╣юхкж╝гЕ╧Бв╟	0	101	1432	1	й╕це4©Ц
270	10100	уф╬╜╣юхкж╝гЕ╧Бв╟	0	101	1433	1	й╕це4©Ц
271	10100	уф╬╜╣юхкж╝гЕ╧Бв╟	0	101	1434	1	й╕це4©Ц
272	10100	л╚рри╒хкж╝╨фх╩в╟	0	101	1531	1	й╕це4©Ц
273	10100	л╚рри╒хкж╝╨фх╩в╟	0	101	1532	1	й╕це4©Ц
274	10100	л╚рри╒хкж╝╨фх╩в╟	0	101	1533	1	й╕це4©Ц
275	10100	л╚рри╒хкж╝╨фх╩в╟	0	101	1534	1	й╕це4©Ц
276	10100	аЗФЬ╫╚╬Эж╝╟афЬв╟	0	101	1731	1	й╕це4©Ц
277	10100	аЗФЬ╫╚╬Эж╝╟афЬв╟	0	101	1732	1	й╕це4©Ц
278	10100	аЗФЬ╫╚╬Эж╝╟афЬв╟	0	101	1733	1	й╕це4©Ц
279	10100	аЗФЬ╫╚╬Эж╝╟афЬв╟	0	101	1734	1	й╕це4©Ц
280	10100	╩╒рМ╫╚╬Эж╝цмй©в╟	0	101	1831	1	й╕це4©Ц
281	10100	╩╒рМ╫╚╬Эж╝цмй©в╟	0	101	1832	1	й╕це4©Ц
282	10100	╩╒рМ╫╚╬Эж╝цмй©в╟	0	101	1833	1	й╕це4©Ц
283	10100	╩╒рМ╫╚╬Эж╝цмй©в╟	0	101	1834	1	й╕це4©Ц
284	10100	сдз╓╧Ми╥ж╝пчбчя╙в╟	0	101	2031	1	й╕це4©Ц
285	10100	сдз╓╧Ми╥ж╝пчбчя╙в╟	0	101	2032	1	й╕це4©Ц
286	10100	сдз╓╧Ми╥ж╝пчбчя╙в╟	0	101	2033	1	й╕це4©Ц
287	10100	сдз╓╧Ми╥ж╝пчбчя╙в╟	0	101	2034	1	й╕це4©Ц
288	10100	нчБЗбчи╡ж╝П╡я╙я╙в╟	0	101	2131	1	й╕це4©Ц
289	10100	нчБЗбчи╡ж╝П╡я╙я╙в╟	0	101	2132	1	й╕це4©Ц
290	10100	нчБЗбчи╡ж╝П╡я╙я╙в╟	0	101	2133	1	й╕це4©Ц
291	10100	нчБЗбчи╡ж╝П╡я╙я╙в╟	0	101	2134	1	й╕це4©Ц
292	10101	╟к╡©лЛаЗж╝лЛжз╟Бж╦	0	102	231	1	й╕це4йвйн
293	10101	╟к╡©лЛаЗж╝лЛжз╟Бж╦	0	102	232	1	й╕це4йвйн
294	10101	нча©╥╗вПж╝ЛЬ╤╗╟Бж╦	0	102	331	1	й╕це4йвйн
295	10101	нча©╥╗вПж╝ЛЬ╤╗╟Бж╦	0	102	332	1	й╕це4йвйн
296	10101	╟к╠╕бч╨╨ж╝╢СЁк╟Бж╦	0	102	431	1	й╕це4йвйн
297	10101	╟к╠╕бч╨╨ж╝╢СЁк╟Бж╦	0	102	432	1	й╕це4йвйн
298	10101	лЛ╩Зй╧уъж╝иЯувеЕ	0	102	631	1	й╕це4йвйн
299	10101	лЛ╩Зй╧уъж╝иЯувеЕ	0	102	632	1	й╕це4йвйн
300	10101	лЛ╩Зй╧уъж╝иЯувеЕ	0	102	633	1	й╕це4йвйн
301	10101	лЛ╩Зй╧уъж╝иЯувеЕ	0	102	634	1	й╕це4йвйн
302	10101	╟ва╚оивсж╝╠╕тлсЯ╫Д	0	102	831	1	й╕це4йвйн
303	10101	╟ва╚оивсж╝╠╕тлсЯ╫Д	0	102	832	1	й╕це4йвйн
304	10101	╟ва╚оивсж╝╠╕тл╢Д╫Д	0	102	835	1	й╕це4йвйн
305	10101	╟ва╚оивсж╝╠╕тл╢Д╫Д	0	102	836	1	й╕це4йвйн
306	10101	аЗм╥иЯь╓ж╝лзтфеЕ	0	102	1131	1	й╕це4йвйн
307	10101	аЗм╥иЯь╓ж╝лзтфеЕ	0	102	1132	1	й╕це4йвйн
308	10101	аЗм╥иЯь╓ж╝лзтфеЕ	0	102	1133	1	й╕це4йвйн
