line_id	group_id	desc_cn	condition_ids	type	type_val	pretreatment_type	min_val	max_val	stat_type	desc_vn
8	30005	½ÇÉ«ÕæÆøÊı=Æøº£+¾­Âö1-4		GROUP	30003	NONE	0	2000000000	SUM	
9	30005	½ÇÉ«ÕæÆøÊı=Æøº£+¾­Âö1-4		GROUP	30004	NONE	0	2000000000	SUM	
10	30006	¾ü¹¦		TASK	701	ABS	0	2000000000	SUM	
11	30007	¾üÏÎ		TASK	704	ABS	0	2000000000	SUM	
12	30008	°×¾ÔÍèÊ±¼ä		TASK	2501	NONE	0	2000000000	SUM	
13	30009	´ó°×¾ÔÍèÊ±¼ä		TASK	2507	NONE	0	2000000000	SUM	
14	30010	°×¾ÔÏÉµ¤Ê±¼ä		TASK	2508	NONE	0	2000000000	SUM	
15	30011	Ğ¡°×¾ÔÍèÊ±¼ä		TASK	2511	NONE	0	2000000000	SUM	
16	30012	¾ÛÁéÍèÊ±¼ä		TASK	3105	NONE	0	2000000000	SUM	
17	30013	´ó¾ÛÁéÍèÊ±¼ä		TASK	3106	NONE	0	2000000000	SUM	
18	30014	¾ÛÁéÏÉµ¤Ê±¼ä		TASK	3107	NONE	0	2000000000	SUM	
19	30015	×ªÉú1-5ÃÅ»á		TASK	1538	BYTE2	0	2000000000	SUM	
20	30016	VIPµÈ¼¶		TASK	3135	NONE	0	2000000000	SUM	
21	30017	³èÎïLv1 Num		TASK	2907	NONE	24	26	COUNT	
22	30017	³èÎïLv1 Num		TASK	2908	NONE	24	26	COUNT	
23	30017	³èÎïLv1 Num		TASK	2909	NONE	24	26	COUNT	
24	30017	³èÎïLv1 Num		TASK	2910	NONE	24	26	COUNT	
25	30017	³èÎïLv1 Num		TASK	2911	NONE	24	26	COUNT	
26	30018	³èÎïLv2 Num		TASK	2907	NONE	1	3	COUNT	
27	30018	³èÎïLv2 Num		TASK	2908	NONE	1	3	COUNT	
28	30018	³èÎïLv2 Num		TASK	2909	NONE	1	3	COUNT	
29	30018	³èÎïLv2 Num		TASK	2910	NONE	1	3	COUNT	
30	30018	³èÎïLv2 Num		TASK	2911	NONE	1	3	COUNT	
31	30019	³èÎïLv3 Num		TASK	2907	NONE	4	15	COUNT	
32	30019	³èÎïLv3 Num		TASK	2908	NONE	4	15	COUNT	
33	30019	³èÎïLv3 Num		TASK	2909	NONE	4	15	COUNT	
34	30019	³èÎïLv3 Num		TASK	2910	NONE	4	15	COUNT	
35	30019	³èÎïLv3 Num		TASK	2911	NONE	4	15	COUNT	
36	30020	³èÎïLv4 Num		TASK	2907	NONE	16	25	COUNT	
37	30020	³èÎïLv4 Num		TASK	2908	NONE	16	25	COUNT	
38	30020	³èÎïLv4 Num		TASK	2909	NONE	16	25	COUNT	
39	30020	³èÎïLv4 Num		TASK	2910	NONE	16	25	COUNT	
40	30020	³èÎïLv4 Num		TASK	2911	NONE	16	25	COUNT	
41	30021	Òø„» Num		TASK	3139	NONE	0	2100000000	SUM	
42	30022	ÉÏÔÂÏû·Ñ		TASK	3197	NONE	0	2100000000	SUM	
43	30023	1¼¶ÑªµÎÊ¯ÊıÁ¿		TASK	3245	BYTE1	0	2000000000	SUM	
44	30024	2¼¶ÑªµÎÊ¯ÊıÁ¿		TASK	3246	BYTE1	0	2000000000	SUM	
45	30025	3¼¶ÑªµÎÊ¯ÊıÁ¿		TASK	3247	BYTE1	0	2000000000	SUM	
46	30026	4¼¶ÑªµÎÊ¯ÊıÁ¿		TASK	3248	BYTE1	0	2000000000	SUM	
47	30027	5¼¶ÑªµÎÊ¯ÊıÁ¿		TASK	3249	BYTE1	0	2000000000	SUM	
48	30028	6¼¶ÑªµÎÊ¯ÊıÁ¿		TASK	3250	BYTE1	0	2000000000	SUM	
49	30029	1¼¶ÔÂ°×Ê¯ÊıÁ¿		TASK	3245	BYTE2	0	2000000000	SUM	
50	30030	2¼¶ÔÂ°×Ê¯ÊıÁ¿		TASK	3246	BYTE2	0	2000000000	SUM	
51	30031	3¼¶ÔÂ°×Ê¯ÊıÁ¿		TASK	3247	BYTE2	0	2000000000	SUM	
52	30032	4¼¶ÔÂ°×Ê¯ÊıÁ¿		TASK	3248	BYTE2	0	2000000000	SUM	
53	30033	5¼¶ÔÂ°×Ê¯ÊıÁ¿		TASK	3249	BYTE2	0	2000000000	SUM	
54	30034	6¼¶ÔÂ°×Ê¯ÊıÁ¿		TASK	3250	BYTE2	0	2000000000	SUM	
55	30035	1¼¶çúçêÊ¯ÊıÁ¿		TASK	3245	BYTE3	0	2000000000	SUM	
56	30036	2¼¶çúçêÊ¯ÊıÁ¿		TASK	3246	BYTE3	0	2000000000	SUM	
57	30037	3¼¶çúçêÊ¯ÊıÁ¿		TASK	3247	BYTE3	0	2000000000	SUM	
58	30038	4¼¶çúçêÊ¯ÊıÁ¿		TASK	3248	BYTE3	0	2000000000	SUM	
59	30039	5¼¶çúçêÊ¯ÊıÁ¿		TASK	3249	BYTE3	0	2000000000	SUM	
60	30040	6¼¶çúçêÊ¯ÊıÁ¿		TASK	3250	BYTE3	0	2000000000	SUM	
61	30041	1¼¶ºÚê×Ê¯ÊıÁ¿		TASK	3245	BYTE4	0	2000000000	SUM	
62	30042	2¼¶ºÚê×Ê¯ÊıÁ¿		TASK	3246	BYTE4	0	2000000000	SUM	
63	30043	3¼¶ºÚê×Ê¯ÊıÁ¿		TASK	3247	BYTE4	0	2000000000	SUM	
64	30044	4¼¶ºÚê×Ê¯ÊıÁ¿		TASK	3248	BYTE4	0	2000000000	SUM	
65	30045	5¼¶ºÚê×Ê¯ÊıÁ¿		TASK	3249	BYTE4	0	2000000000	SUM	
66	30046	6¼¶ºÚê×Ê¯ÊıÁ¿		TASK	3250	BYTE4	0	2000000000	SUM	
67	30047	³èÎïLv5 Num		TASK	2907	NONE	27	39	COUNT	
68	30047	³èÎïLv5 Num		TASK	2908	NONE	27	39	COUNT	
69	30047	³èÎïLv5 Num		TASK	2909	NONE	27	39	COUNT	
70	30047	³èÎïLv5 Num		TASK	2910	NONE	27	39	COUNT	
71	30047	³èÎïLv5 Num		TASK	2911	NONE	27	39	COUNT	
72	30048	Î÷ÏÄÊÆÁ¦×ÜÈËÊı		TASK	3286	NONE	3	3	COUNT	
73	30049	ÍÂŞ¬ÊÆÁ¦×ÜÈËÊı		TASK	3286	NONE	2	2	COUNT	
74	30050	´óÀíÊÆÁ¦×ÜÈËÊı		TASK	3286	NONE	1	1	COUNT	
75	30051	Õ¸Â¶Í·½ÇÈËÊı		TASK	3324	NONE	0	2000	COUNT	
76	30051	Õ¸Â¶Í·½ÇÈËÊı		TASK	3325	NONE	0	2000	COUNT	
77	30051	Õ¸Â¶Í·½ÇÈËÊı		TASK	3326	NONE	0	2000	COUNT	
78	30052	ÉùÃûÈµÆğÈËÊı		TASK	3324	NONE	2001	6000	COUNT	
79	30052	ÉùÃûÈµÆğÈËÊı		TASK	3325	NONE	2001	6000	COUNT	
80	30052	ÉùÃûÈµÆğÈËÊı		TASK	3326	NONE	2001	6000	COUNT	
81	30053	Ñ«¼¨×¿ÖøÈËÊı		TASK	3324	NONE	6001	12000	COUNT	
82	30053	Ñ«¼¨×¿ÖøÈËÊı		TASK	3325	NONE	6001	12000	COUNT	
83	30053	Ñ«¼¨×¿ÖøÈËÊı		TASK	3326	NONE	6001	12000	COUNT	
84	30054	¾Ã¸ºÊ¢ÃûÈËÊı		TASK	3324	NONE	12001	20000	COUNT	
85	30054	¾Ã¸ºÊ¢ÃûÈËÊı		TASK	3325	NONE	12001	20000	COUNT	
86	30054	¾Ã¸ºÊ¢ÃûÈËÊı		TASK	3326	NONE	12001	20000	COUNT	
87	30055	ÍòÈË¾°ÑöÈËÊı		TASK	3324	NONE	20001	99999	COUNT	
88	30055	ÍòÈË¾°ÑöÈËÊı		TASK	3325	NONE	20001	99999	COUNT	
89	30055	ÍòÈË¾°ÑöÈËÊı		TASK	3326	NONE	20001	99999	COUNT	
90	30056	Õ¸Â¶Í·½ÇÈËÊı		GROUP	30051	NONE	0	2000000000	SUM	
91	30057	ÉùÃûÈµÆğÈËÊı		GROUP	30052	NONE	0	2000000000	SUM	
92	30058	Ñ«¼¨×¿ÖøÈËÊı		GROUP	30053	NONE	0	2000000000	SUM	
93	30059	¾Ã¸ºÊ¢ÃûÈËÊı		GROUP	30054	NONE	0	2000000000	SUM	
94	30060	ÍòÈË¾°ÑöÈËÊı		GROUP	30055	NONE	0	2000000000	SUM	
95	30061	°ï»á³ÆºÅÊ¹ÓÃµÈ¼¶		TASK	3377	BYTE1	0	2000000000	SUM	
96	30062	14-ÓñÌÃ		TASK	2936	HALFBYTE6	0	2000000000	SUM	
97	30063	22-ÃüÃÅ		TASK	2937	HALFBYTE6	0	2000000000	SUM	
98	30064	25-ÖĞÊà		TASK	2938	HALFBYTE1	0	2000000000	SUM	
99	30065	34-ÒõÁê		TASK	2939	HALFBYTE2	0	2000000000	SUM	
100	30066	35-ÄÔ»§		TASK	2939	HALFBYTE3	0	2000000000	SUM	
101	30067	43-±¾Éñ		TASK	2940	HALFBYTE3	0	2000000000	SUM	
102	30068	45-Ìì³å		TASK	2940	HALFBYTE5	0	2000000000	SUM	
103	30069	49-ĞüÖÓ		TASK	2941	HALFBYTE1	0	2000000000	SUM	
104	30070	50-ÎåÊà		TASK	2941	HALFBYTE2	0	2000000000	SUM	
105	30071	55-ÓÄÃÅ		TASK	2941	HALFBYTE7	0	2000000000	SUM	
106	30072	58-Ã¤Óá		TASK	2942	HALFBYTE2	0	2000000000	SUM	
107	30073	63-Í¨¹È		TASK	2942	HALFBYTE7	0	2000000000	SUM	
108	30074	64-¹ØÃÅ		TASK	2942	HALFBYTE8	0	2000000000	SUM	
109	30075	·ç»ª»ı·Ö		TASK	3407	NONE	1	2000000000	SUM	
110	30076	Õ¸Â¶Í·½ÇÈËÊı		TASK	3327	NONE	2001	6000	COUNT	
111	30077	Õ¸Â¶Í·½ÇÈËÊı		TASK	3328	NONE	2001	6000	COUNT	
112	30078	Õ¸Â¶Í·½ÇÈËÊı		TASK	3329	NONE	2001	6000	COUNT	
113	30079	ÉùÃûÈµÆğÈËÊı		TASK	3327	NONE	6001	13000	COUNT	
114	30080	ÉùÃûÈµÆğÈËÊı		TASK	3328	NONE	6001	13000	COUNT	
115	30081	ÉùÃûÈµÆğÈËÊı		TASK	3329	NONE	6001	13000	COUNT	
116	30082	Ñ«¼¨×¿ÖøÈËÊı		TASK	3327	NONE	13001	24000	COUNT	
117	30083	Ñ«¼¨×¿ÖøÈËÊı		TASK	3328	NONE	13001	24000	COUNT	
118	30084	Ñ«¼¨×¿ÖøÈËÊı		TASK	3329	NONE	13001	24000	COUNT	
119	30085	¾Ã¸ºÊ¢ÃûÈËÊı		TASK	3327	NONE	24001	40000	COUNT	
120	30086	¾Ã¸ºÊ¢ÃûÈËÊı		TASK	3328	NONE	24001	40000	COUNT	
121	30087	¾Ã¸ºÊ¢ÃûÈËÊı		TASK	3329	NONE	24001	40000	COUNT	
122	30088	ÍòÈË¾°ÑöÈËÊı		TASK	3327	NONE	40001	99999	COUNT	
123	30089	ÍòÈË¾°ÑöÈËÊı		TASK	3328	NONE	40001	99999	COUNT	
124	30090	ÍòÈË¾°ÑöÈËÊı		TASK	3329	NONE	40001	99999	COUNT	
125	30091	Õ¸Â¶Í·½ÇÈËÊı£¨ïÚ¾Ö£©		GROUP	30076	NONE	0	2000000000	SUM	
126	30092	ÉùÃûÈµÆğÈËÊı£¨ïÚ¾Ö£©		GROUP	30079	NONE	0	2000000000	SUM	
127	30093	Ñ«¼¨×¿ÖøÈËÊı£¨ïÚ¾Ö£©		GROUP	30082	NONE	0	2000000000	SUM	
128	30094	¾Ã¸ºÊ¢ÃûÈËÊı£¨ïÚ¾Ö£©		GROUP	30085	NONE	0	2000000000	SUM	
129	30095	ÍòÈË¾°ÑöÈËÊı£¨ïÚ¾Ö£©		GROUP	30088	NONE	0	2000000000	SUM	
130	30096	Õ¸Â¶Í·½ÇÈËÊı£¨ÁùÉÈÃÅ£©		GROUP	30077	NONE	0	2000000000	SUM	
131	30097	ÉùÃûÈµÆğÈËÊı£¨ÁùÉÈÃÅ£©		GROUP	30080	NONE	0	2000000000	SUM	
132	30098	Ñ«¼¨×¿ÖøÈËÊı£¨ÁùÉÈÃÅ£©		GROUP	30083	NONE	0	2000000000	SUM	
133	30099	¾Ã¸ºÊ¢ÃûÈËÊı£¨ÁùÉÈÃÅ£©		GROUP	30086	NONE	0	2000000000	SUM	
134	30100	ÍòÈË¾°ÑöÈËÊı£¨ÁùÉÈÃÅ£©		GROUP	30089	NONE	0	2000000000	SUM	
135	30101	Õ¸Â¶Í·½ÇÈËÊı£¨¾Û±¦Õ«£©		GROUP	30078	NONE	0	2000000000	SUM	
136	30102	ÉùÃûÈµÆğÈËÊı£¨¾Û±¦Õ«£©		GROUP	30081	NONE	0	2000000000	SUM	
137	30103	Ñ«¼¨×¿ÖøÈËÊı£¨¾Û±¦Õ«£©		GROUP	30084	NONE	0	2000000000	SUM	
138	30104	¾Ã¸ºÊ¢ÃûÈËÊı£¨¾Û±¦Õ«£©		GROUP	30087	NONE	0	2000000000	SUM	
139	30105	ÍòÈË¾°ÑöÈËÊı£¨¾Û±¦Õ«£©		GROUP	30090	NONE	0	2000000000	SUM	
140	30106	×Ü½ÇÉÙÄê/¶¹Ş¢Äê»ª×ÜÈËÊı		TASK	3461	NONE	0	4999	COUNT	
141	30107	ôæôæ¾ı×Ó/ñºñ»ÊçÅ®×ÜÈËÊı		TASK	3461	NONE	5000	14999	COUNT	
142	30108	º×Á¢¼¦Èº/Ó¯Ó¯ÇïË®×ÜÈËÊı		TASK	3461	NONE	15000	29999	COUNT	
143	30109	ÓñÊ÷ÁÙ·ç/Á÷·ç»ØÑ©×ÜÈËÊı		TASK	3461	NONE	30000	54999	COUNT	
144	30110	Ã²Ê¤ÅË°²/³ÁÓãÂäÑã×ÜÈËÊı		TASK	3461	NONE	55000	94999	COUNT	
145	30111	¾øÊÀ·çÁ÷/Çã¹úÇã³Ç×ÜÈËÊı		TASK	3461	NONE	95000	149999	COUNT	
146	30112	×íÓñÍÇÉ½/¹úÉ«ÌìÏã×ÜÈËÊı		TASK	3461	NONE	150000	219999	COUNT	
147	30113	ÒÅÊÀ¶ÀÁ¢×ÜÈËÊı		TASK	3461	NONE	220000	304999	COUNT	
148	30114	Î¨ÎÒ¶À×ğ×ÜÈËÊı		TASK	3461	NONE	305000	999999	COUNT	
149	30115	Õ¸Â¶Í·½ÇÈËÊı(ÕÛ³åÉç)		TASK	3330	NONE	2001	6000	COUNT	
150	30116	ÉùÃûÈµÆğÈËÊı(ÕÛ³åÉç)		TASK	3330	NONE	6001	13000	COUNT	
151	30117	Ñ«¼¨×¿ÖøÈËÊı(ÕÛ³åÉç)		TASK	3330	NONE	13001	24000	COUNT	
152	30118	¾Ã¸ºÊ¢ÃûÈËÊı(ÕÛ³åÉç)		TASK	3330	NONE	24001	40000	COUNT	
153	30119	ÍòÈË¾°ÑöÈËÊı(ÕÛ³åÉç)		TASK	3330	NONE	40001	100000	COUNT	
154	30120	³èÎïĞ¡ä½ĞÜ		TASK	2907	NONE	37	37	COUNT	
155	30120	³èÎïĞ¡ä½ĞÜ		TASK	2908	NONE	37	37	COUNT	
156	30120	³èÎïĞ¡ä½ĞÜ		TASK	2909	NONE	37	37	COUNT	
157	30120	³èÎïĞ¡ä½ĞÜ		TASK	2910	NONE	37	37	COUNT	
158	30120	³èÎïĞ¡ä½ĞÜ		TASK	2911	NONE	37	37	COUNT	
159	30121	³èÎï°ÔÍõöù		TASK	2907	NONE	38	38	COUNT	
160	30121	³èÎï°ÔÍõöù		TASK	2908	NONE	38	38	COUNT	
161	30121	³èÎï°ÔÍõöù		TASK	2909	NONE	38	38	COUNT	
162	30121	³èÎï°ÔÍõöù		TASK	2910	NONE	38	38	COUNT	
163	30121	³èÎï°ÔÍõöù		TASK	2911	NONE	38	38	COUNT	
164	30122	³èÎïÉµÄñ		TASK	2907	NONE	39	39	COUNT	
165	30122	³èÎïÉµÄñ		TASK	2908	NONE	39	39	COUNT	
166	30122	³èÎïÉµÄñ		TASK	2909	NONE	39	39	COUNT	
167	30122	³èÎïÉµÄñ		TASK	2910	NONE	39	39	COUNT	
168	30122	³èÎïÉµÄñ		TASK	2911	NONE	39	39	COUNT	
169	30123	³èÎïÂ¡êÀ		TASK	2907	NONE	53	53	COUNT	
170	30123	³èÎïÂ¡êÀ		TASK	2908	NONE	53	53	COUNT	
171	30123	³èÎïÂ¡êÀ		TASK	2909	NONE	53	53	COUNT	
172	30123	³èÎïÂ¡êÀ		TASK	2910	NONE	53	53	COUNT	
173	30123	³èÎïÂ¡êÀ		TASK	2911	NONE	53	53	COUNT	
174	30124	³èÎï³ÂÀÚ		TASK	2907	NONE	54	54	COUNT	
175	30124	³èÎï³ÂÀÚ		TASK	2908	NONE	54	54	COUNT	
176	30124	³èÎï³ÂÀÚ		TASK	2909	NONE	54	54	COUNT	
177	30124	³èÎï³ÂÀÚ		TASK	2910	NONE	54	54	COUNT	
178	30124	³èÎï³ÂÀÚ		TASK	2911	NONE	54	54	COUNT	
179	30125	³èÎïºì±³ĞÜÃ¨		TASK	2907	NONE	55	55	COUNT	
180	30125	³èÎïºì±³ĞÜÃ¨		TASK	2908	NONE	55	55	COUNT	
181	30125	³èÎïºì±³ĞÜÃ¨		TASK	2909	NONE	55	55	COUNT	
182	30125	³èÎïºì±³ĞÜÃ¨		TASK	2910	NONE	55	55	COUNT	
183	30125	³èÎïºì±³ĞÜÃ¨		TASK	2911	NONE	55	55	COUNT	
184	30126	°ï»á¹±Ï×¶È		TASK	3375	NONE	1	2000000000	SUM	
185	30127	°ï»á»îÔ¾¶È		TASK	3472	NONE	1	2000000000	SUM	
186	30128	7¼¶ÑªµÎÊ¯ÊıÁ¿		TASK	3480	BYTE1	0	2000000000	SUM	
187	30129	7¼¶ÔÂ°×Ê¯ÊıÁ¿		TASK	3480	BYTE2	0	2000000000	SUM	
188	30130	7¼¶çúçêÊ¯ÊıÁ¿		TASK	3480	BYTE3	0	2000000000	SUM	
189	30131	7¼¶ºÚê×Ê¯ÊıÁ¿		TASK	3480	BYTE4	0	2000000000	SUM	
190	30132	»¯¾³(ĞÇÊı)		TASK	3510	NONE	1	2000000000	SUM	
191	30133	³èÎïLv7		TASK	2907	NONE	56	62	COUNT	
192	30133	³èÎïLv7		TASK	2908	NONE	56	62	COUNT	
193	30133	³èÎïLv7		TASK	2909	NONE	56	62	COUNT	
194	30133	³èÎïLv7		TASK	2910	NONE	56	62	COUNT	
195	30133	³èÎïLv7		TASK	2911	NONE	56	62	COUNT	
196	30134	³èÎïÃÈºü		TASK	2907	NONE	63	63	COUNT	
197	30134	³èÎïÃÈºü		TASK	2908	NONE	63	63	COUNT	
198	30134	³èÎïÃÈºü		TASK	2909	NONE	63	63	COUNT	
199	30134	³èÎïÃÈºü		TASK	2910	NONE	63	63	COUNT	
200	30134	³èÎïÃÈºü		TASK	2911	NONE	63	63	COUNT	
201	30135	À¶±³ĞÜÃ¨		TASK	2907	NONE	64	64	COUNT	
202	30135	À¶±³ĞÜÃ¨		TASK	2908	NONE	64	64	COUNT	
203	30135	À¶±³ĞÜÃ¨		TASK	2909	NONE	64	64	COUNT	
204	30135	À¶±³ĞÜÃ¨		TASK	2910	NONE	64	64	COUNT	
205	30135	À¶±³ĞÜÃ¨		TASK	2911	NONE	64	64	COUNT	
206	30136	ÎäÏÀ¼¦		TASK	2907	NONE	65	65	COUNT	
207	30136	ÎäÏÀ¼¦		TASK	2908	NONE	65	65	COUNT	
208	30136	ÎäÏÀ¼¦		TASK	2909	NONE	65	65	COUNT	
209	30136	ÎäÏÀ¼¦		TASK	2910	NONE	65	65	COUNT	
210	30136	ÎäÏÀ¼¦		TASK	2911	NONE	65	65	COUNT	
211	30137	ÁúÃÅÉùÍû		TASK	3581	NONE	1	2000000000	SUM	
212	30138	ÊÇ·ñÍê³É¿ªÆôÁúÃÅ¿ÍÕ»ÉùÍûÈÎÎñÁ´		TASK	3583	NONE	1	2000000000	COUNT	
213	30139	Kim PhiÕu		TASK	3138	NONE	1	2100000000	SUM	
214	30140	R­¬ng Ho¹t §éng ®· sö dông		TASK	4031	NONE	1	2100000000	SUM	
