ID	ConditionDes	Comment	Type	Value1	Value2	Value3	Value4	Value5						
184	a§iÓm n¨ng ®éng ®¹t 3500	cdkey	1	3054	9	1								
185	a§iÓm n¨ng ®éng ®¹t 4000	cdkey	1	3054	10	1								
186	a§iÓm n¨ng ®éng ®¹t 5000	cdkey	1	3054	11	1								
187	a§iÓm n¨ng ®éng ®¹t 6000	cdkey	1	3054	12	1								
188	a§iÓm n¨ng ®éng ®¹t 7000	cdkey	1	3054	13	1								
189	a§iÓm n¨ng ®éng ®¹t 8500	cdkey	1	3054	14	1								
190	a§iÓm n¨ng ®éng ®¹t 9500	cdkey	1	3054	15	1								
191	a§iÓm n¨ng ®éng ®¹t 13000	cdkey	1	3054	16	1								
192	a§iÓm n¨ng ®éng ®¹t 15000	cdkey	1	3054	17	1								
193	a§iÓm n¨ng ®éng ®¹t 16000	cdkey	1	3054	18	1								
194	a§iÓm n¨ng ®éng ®¹t 17000	cdkey	1	3054	19	1								
195	a§iÓm n¨ng ®éng ®¹t 20000	cdkey	1	3054	20	1								
196	a§iÓm n¨ng ®éng ®¹t 22000	cdkey	1	3054	21	1								
197	a§iÓm n¨ng ®éng ®¹t 24000	cdkey	1	3054	22	1								
198	a§iÓm n¨ng ®éng ®¹t 25500	cdkey	1	3054	23	1								
199	a§iÓm n¨ng ®éng ®¹t 26000	cdkey	1	3054	24	1								
200	a§iÓm n¨ng ®éng ®¹t 27000	cdkey	1	3054	25	1								
201	a§iÓm n¨ng ®éng ®¹t 28000	cdkey	1	3054	26	1								
202	§¹t cÊp 90	cdkey	4	1	0	90								
203	§¹t chuyÓn sinh 7 cÊp 90	cdkey	4	1	7	90
204	§¹t chuyÓn sinh 8 cÊp 90	cdkey	4	1	8	90
205	§¹t chuyÓn sinh 9 cÊp 90	cdkey	4	1	9	90
206	§¹t chuyÓn sinh 10 cÊp 90	cdkey	4	1	10	90
207	§¹t chuyÓn sinh 10 cÊp 91	cdkey	4	1	10	91
208	gH«m nay sö dông 50 Ph¸o ChiÕn Th¾ng	cdkey	1	2853	4	1								
209	H«m nay sö dông 50 Ph¸o ChiÕn Th¾ng	cdkey	1	2853	5	1								
210	aH«m nay sö dông 50 Ph¸o ChiÕn Th¾ng	cdkey	1	2853	6	1								
211	aNhËn th­ëng ®¨ng nhËp ngµy	cdkey	1	2853	7	1								
212	Sö dông 50 Ph¸o ChiÕn Th¾ng	cdkey	1	3057	25	1								
213	aSö dông 50 Ph¸o ChiÕn Th¾ng	cdkey	1	3057	26	1								
214	§iÓm n¨ng ®éng ®¹t ®Õn 32000	cdkey	0	3053	1	32000								
215	§iÓm n¨ng ®éng ®¹t ®Õn 35000	cdkey	0	3053	1	35000								
216	a§iÓm n¨ng ®éng ®¹t ®Õn 32000	cdkey	1	3054	27	1								
217	a§iÓm n¨ng ®éng ®¹t ®Õn 35000	cdkey	1	3054	28	1								
218	§¹t chuyÓn sinh 10 cÊp 92	cdkey	4	1	10	92
219	§¹t chuyÓn sinh 10 cÊp 96	cdkey	4	1	10	96
220	§· kÝch ho¹t danh hiÖu Vâ L©m T©n Tó	cdkey	1	2840	1	1								
221	§· kÝch ho¹t danh hiÖu Ng­êi N¨ng §éng	cdkey	1	2840	3	1								
222	Hoµn thµnh nhiÖm vô [Khiªu ChiÕn L­¬ng S¬n S¬ DiÔn]	HiÖp Kh¸ch Hµnh	1	3610	1	1								
223	Hoµn thµnh nhiÖm vô [Khiªu ChiÕn L­¬ng S¬n Trung Dòng]	HiÖp Kh¸ch Hµnh	1	3610	2	1								
224	V­ît phã b¶n §Þa HuyÒn Cung-¶i 3	HiÖp Kh¸ch Hµnh	1	3610	3	1								
225	Sö dông %d/50 Ph¸o ChiÕn Th¾ng	HiÖp Kh¸ch Hµnh	0	3611	1	50								
226	§Þa HuyÒn Cung-LËt Bµi Tr¶ PhÝ	HiÖp Kh¸ch Hµnh	1	3610	4	1								
227	Hoµn thµnh nhiÖm vô V¹n KiÕm Tròng h»ng ngµy	HiÖp Kh¸ch Hµnh	1	3610	5	1								
228	V­ît phã b¶n KiÕm §·ng YÕn V©n	HiÖp Kh¸ch Hµnh	1	3610	6	1								
229	KiÕm §·ng YÕn V©n-LËt Bµi Tr¶ PhÝ	HiÖp Kh¸ch Hµnh	1	3610	7	1								
230	V­ît ¶i Th¸i H­ 25	HiÖp Kh¸ch Hµnh	1	3610	8	1								
231	Trång 1 C©y Tø Linh	HiÖp Kh¸ch Hµnh	1	3610	9	1								
232	Trång 1 C©y B¸t Nh·-Nhá	HiÖp Kh¸ch Hµnh	1	3610	10	1								
233	Hoµn thµnh 1 lÇn VËn Tiªu	HiÖp Kh¸ch Hµnh	1	3610	11	1								
234	Hoµn thµnh 1 lÇn ChiÕn Tr­êng Nh¹n M«n Quan (NhËn th­ëng)	HiÖp Kh¸ch Hµnh	1	3610	12	1								
235	Hoµn thµnh 1 lÇn Thiªn M«n TrËn Liªn Server (NhËn th­ëng)	HiÖp Kh¸ch Hµnh	1	3610	13	1								
236	KÝch ho¹t danh hiÖu bang héi [QuÇn Hïng]	HiÖp Kh¸ch Hµnh	8	72	7	1								
237	[Hîp M­u]	HiÖp Kh¸ch Hµnh	8	72	8	1								
238	[Tr¸ng ChÝ]	HiÖp Kh¸ch Hµnh	8	72	9	1								
239	[§ång Cõu]	HiÖp Kh¸ch Hµnh	8	72	10	1								
240	Hoµn thµnh nhiÖm vô ngµy bang héi %d/10 lÇn	HiÖp Kh¸ch Hµnh	0	3612	1	10								
241	TiÕn CÊp Ch©n Vâ MËt TÞch 1 lÇn	HiÖp Kh¸ch Hµnh	1	3615	10	1								
242	Hoµn thµnh nhiÖm vô [Khiªu ChiÕn L­¬ng S¬n §o¹t Qu©n]	HiÖp Kh¸ch Hµnh	1	3615	1	1								
243	DiÖt CËp Thêi Vò Tèng Giang	HiÖp Kh¸ch Hµnh	1	3613	1	1								
244	DiÖt Tri §a Tinh Ng« Dông	HiÖp Kh¸ch Hµnh	1	3613	2	1								
245	DiÖt Cöu V¨n Long Sö TiÕn	HiÖp Kh¸ch Hµnh	1	3613	3	1								
246	DiÖt TiÓu TuyÒn Phong Sµi TiÕn	HiÖp Kh¸ch Hµnh	1	3613	4	1								
247	DiÖt §¹i §ao Quan Th¾ng	HiÖp Kh¸ch Hµnh	1	3613	5	1								
248	DiÖt NhËp V©n Long C«ng T«n Th¾ng	HiÖp Kh¸ch Hµnh	1	3613	6	1								
249	DiÖt B¸o Tö §Çu L©m Xung	HiÖp Kh¸ch Hµnh	1	3613	7	1								
250	DiÖt Hoa Hßa Th­îng Lç TrÝ Th©m	HiÖp Kh¸ch Hµnh	1	3613	8	1								
251	DiÖt H¾c Toµn Phong Lý Quú	HiÖp Kh¸ch Hµnh	1	3613	9	1								
252	DiÖt Hµnh Gi¶ Vâ Tßng	HiÖp Kh¸ch Hµnh	1	3613	10	1								
253	DiÖt BÖnh Quan S¸c D­¬ng Hïng	HiÖp Kh¸ch Hµnh	1	3613	11	1								
254	DiÖt Phanh MÖnh Tam Lang Th¹ch Tó	HiÖp Kh¸ch Hµnh	1	3613	12	1								
255	DiÖt NhÊt Tr­îng Thanh Hæ Tam N­¬ng	HiÖp Kh¸ch Hµnh	1	3613	13	1								
256	DiÖt Song Th­¬ng T­íng §æng B×nh	HiÖp Kh¸ch Hµnh	1	3613	14	1								
257	DiÖt Thanh DiÖn Thó D­¬ng TrÝ	HiÖp Kh¸ch Hµnh	1	3613	15	1								
258	DiÖt TÝch LÞch Háa TÇn Minh	HiÖp Kh¸ch Hµnh	1	3613	16	1								
259	DiÖt Tóy B¸n Tiªn Phong NhÊt Phµm	HiÖp Kh¸ch Hµnh	1	3613	17	1								
260	DiÖt Song Tiªn H« Diªn Ch­íc	HiÖp Kh¸ch Hµnh	1	3613	18	1								
261	Hoµn thµnh tÊt c¶ nhiÖm vô Khiªu ChiÕn Anh Hïng L­¬ng S¬n	HiÖp Kh¸ch Hµnh	0	3613	0	262143								
262	DiÖt §Þa HuyÒn Cung-S¸t Thñ Tinh Anh	HiÖp Kh¸ch Hµnh	1	3614	1	1								
263	DiÖt §Þa HuyÒn Cung-ThÝch Kh¸ch Tinh Anh	HiÖp Kh¸ch Hµnh	1	3614	2	1								
264	DiÖt §Þa HuyÒn Cung-TÝn Sø Tinh Anh	HiÖp Kh¸ch Hµnh	1	3614	3	1								
265	DiÖt §Þa HuyÒn Cung-MËt Th¸m Tinh Anh	HiÖp Kh¸ch Hµnh	1	3614	4	1								
266	DiÖt §Þa HuyÒn Cung-B¹ch Kú Tinh Anh	HiÖp Kh¸ch Hµnh	1	3614	5	1								
267	DiÖt §Þa HuyÒn Cung-Hång Kú Chñ-Hång Tr­êng Tinh	HiÖp Kh¸ch Hµnh	1	3614	6	1								
268	DiÖt §Þa HuyÒn Cung-H¾c Kú Chñ-¤ Mai Vò	HiÖp Kh¸ch Hµnh	1	3614	7	1								
269	DiÖt §Þa HuyÒn Cung-Lam Kú Chñ-Lam Ân H¹c	HiÖp Kh¸ch Hµnh	1	3614	8	1								
270	DiÖt §Þa HuyÒn Cung Chñ-Hoµng Siªu	HiÖp Kh¸ch Hµnh	1	3614	9	1								
271	DiÖt §Þa HuyÒn Cung-B¹ch Kú Chñ-B¹ch L¨ng Tiªu	HiÖp Kh¸ch Hµnh	1	3614	10	1								
272	DiÖt §Þa HuyÒn Cung-L«i §­êng Chñ-Ph­¬ng §øc Ch©u	HiÖp Kh¸ch Hµnh	1	3614	11	1								
273	DiÖt §Þa HuyÒn Cung-Háa §­êng Chñ-TiÒn Ch¸	HiÖp Kh¸ch Hµnh	1	3614	12	1								
274	DiÖt §Þa HuyÒn Cung-Phong §­êng Chñ-Phong M·n TrÇn	HiÖp Kh¸ch Hµnh	1	3614	13	1								
275	DiÖt §Þa HuyÒn Cung-UyÓn Nhu V©n	HiÖp Kh¸ch Hµnh	1	3614	14	1								
276	DiÖt §Þa HuyÒn Cung-UyÓn Thanh Nhi	HiÖp Kh¸ch Hµnh	1	3614	15	1								
277	Hoµn thµnh tÊt c¶ nhiÖm vô DiÖt §Þch §Þa HuyÒn Cung	HiÖp Kh¸ch Hµnh	0	3614	0	32767								
278	Hoµn thµnh nhiÖm vô tuÇn V¹n KiÕm Tròng	HiÖp Kh¸ch Hµnh	0	3616	1	1								
279	Hoµn thµnh nhiÖm vô tuÇn V¹n KiÕm Tròng %d/4 lÇn	HiÖp Kh¸ch Hµnh	0	3616	1	4								
280	KiÕm §·ng YÕn V©n-LËt Bµi Tr¶ PhÝ %d/30 lÇn	HiÖp Kh¸ch Hµnh	0	3617	1	30								
281	V­ît Th¸i NhÊt Th¸p %d/30 lÇn (Th­êng/Anh hïng)	HiÖp Kh¸ch Hµnh	0	3618	1	30								
282	NhËn ®­îc danh hiÖu [NhÞ S­ Huynh]	HiÖp Kh¸ch Hµnh	8	67	12	1								
283	NhËn ®­îc danh hiÖu [§¹i S­ Huynh]	HiÖp Kh¸ch Hµnh	8	67	11	1								
284	NhËn ®­îc danh hiÖu [NhÞ S­ Tû]	HiÖp Kh¸ch Hµnh	8	67	2	1								
285	NhËn ®­îc danh hiÖu [§¹i S­ Tû]	HiÖp Kh¸ch Hµnh	8	67	1	1								
286	KÝch ho¹t danh hiÖu [Thiªn Xu]	HiÖp Kh¸ch Hµnh	8	74	1	1								
287	KÝch ho¹t danh hiÖu [Thiªn Toµn]	HiÖp Kh¸ch Hµnh	8	74	2	1								
288	KÝch ho¹t danh hiÖu [Thiªn C¬]	HiÖp Kh¸ch Hµnh	8	74	3	1								
289	LuyÖn Linh Ph¸ch §¬n %d/1	HiÖp Kh¸ch Hµnh	0	3619	1	1								
290	Sö dông %d/20 Xu ThÇn Kú	HiÖp Kh¸ch Hµnh	0	3620	1	20								
291	10 B­íc DiÖt 1	HiÖp Kh¸ch Hµnh	1	3615	2	1								
292	KÎ Trém §øng L¹i	HiÖp Kh¸ch Hµnh	1	3615	3	1								
293	T­íng DiÖt PhØ	HiÖp Kh¸ch Hµnh	1	3615	4	1								
294	Cao Thñ Hñy Th¸p	HiÖp Kh¸ch Hµnh	1	3615	5	1								
295	Dïng ®¹o cô UÈn Linh hoÆc Hép Thiªn BiÕn ®Ó UÈn Linh 1 lÇn	HiÖp Kh¸ch Hµnh	1	3615	6	1								
