Task_ID	dialog_diff	dialog_1	dialog_2	dialog_3	dialog_4	dialog_5	dialog_6	dialog_7	dialog_8	dialog_9	dialog_10	dialog_11	dialog_12	dialog_13	dialog_14	dialog_15	dialog_16	dialog_17	dialog_18	dialog_19	dialog_20	Description	Task_Tip	Unfinish_Talk
5	finish_talk	PlayerName: B¹ch gi¸o chñ, ®©y chİnh lµ vËt ngµi cÇn t×m.																						
6	get_talk	NpcName: hahaha ®©y qu¶ lµ nguyªn liÖu quı hiÕm, ®a t¹i <sex> t­¬ng trî, kh«ng biÕt <sex> cÇn t×m hiÓu vÒ lo¹i ®éc d­îc g×? Thiªn h¹ kú ®éc kh«ng g× cã thÓ lµm khã ®­îc ta c¶.	PlayerName: Vèn lµ t¹i h¹ ph¸t hiÖn b¸ t¸nh t¹i Ph­îng T­êng Phñ ®· tróng mét lo¹i mª d­îc, chØ biÕt lËp ®i lËp l¹i mét ‘NhËt NguyÖt ThÇn Gi¸o, nhÊt thèng giang hå, nhËt xuÊt ®«ng ph­¬ng, nhÊt thÕ bÊt b¹i’. v·n bèi muèn biÕt ph¶i ch¨ng hä ®· tróng ®éc cña NhËt NguyÖt ThÇn Gi¸o?	NpcName: kh«ng sai, nh÷ng b¸ t¸nh nµy nhÊt ®Şnh ®· bŞ bän ng­êi cña NhËt NguyÖt ThÇn Gi¸o b¾t uèng Tam Thi N·o ThÇn §¬n, lo¹i ®éc d­îng nµy cã thÓ khiÕn con ng­êi thÇn trİ bÊt tØnh, hoµn toµn nghe theo lÖnh cña chóng. §ång thêi c«ng cô ®Ó bän NhËt NguyÖt ThÇn Gi¸o dïng ®Ó khiÓn hä chİnh lµ DÉn Hån Linh, uy lùc v« cïng ®¸ng sî.	PlayerName: bän NhËt NguyÖt ThÇn Gi¸o nµy qu¶ thËt ®¸ng chÕt, h¹i bao nhiªu b¸ t¸nh hiÒn lµnh v« téi, kh«ng biÕt B¹ch gi¸o chñ cã thuèc gi¶i ®éc nµy ch¨ng?	NpcName:  <sex> mong muèn gi¶i cøu nh÷ng b¸ t¸nh nµy, tr­íc tiªn cÇn tiªu hñy  DÉn Hån Linh cña  NhËt NguyÖt ThÇn Gi¸o. NhÊt ®Şnh ph¶i ®Õn tËn n¬i t¹i Ph­îng T­êng Phñ ®Ó tiªu hñy	PlayerName: thÕ hiÖn t¹i ai ®ang cÊt gi÷ DÉn Hån Linh?	NpcName: rÊt tiÕc, n¨ng lùc cña ta cã h¹n, kh«ng thÓ ®iÒu tra ®­îc DÉn Hån Linh ®ang ë ®©u, nghe ®ån r»ng Tö H¹c Ch©n Nh©n cña Vâ §ang ®· tõng chøng kiÕn uy lùc cña DÉn Hån Linh, c¸c h¹ ®Õn hái th¨m «ng ta xem sao.	PlayerName: ®a t¹ B¹ch Gi¸o Chñ chØ dÉn, t¹i h¹ nhÊt ®Şnh sÏ ph¸ hñy ®­îc DÉn Hån Linh.													§Õn Vâ §ang t×m Tö H¹c Ch©n Nh©n		
6	finish_talk	PlayerName: B¸i kiÕn tö H¹c Ch©n Nh©n, v·n bèi nghe nãi ch©n nh©n ®· tõng ®ông ®é víi DÉn Hån Linh, thÕ tiÒn bèi cã biÕt ai ®ang canh gi÷ vËt nµy kh«ng?																						
7	get_talk	NpcName: µ, DÉn Hån Linh lµ mét tµ vËt v« cïng nguy hiÓm, ph¶i ch¨ng l¹i cã ng­êi bŞ chóng h·m h¹i?	PlayerName: ®óng vËy, hiÖn t¹i b¸ t¸nh Ph­îng T­êng Phñ ®Òu bŞ DÉn Hån Linh khèng chÕ, thÇn trİ thÊt th­êng, v« cïng hç lo¹n.	NpcName: l¹i lµ bän NhËt NguyÖt ThÇn Gi¸o, tr­íc ®©y ta ®· tõng giao ®Êu víi tªn Bao Tr­ëng L·o cña chóng, biÕt r»ng h¾n chİnh lµ ng­êi canh gi÷ DÉn Hån Linh. H¾n ta vâ c«ng cao c­êng, tİnh t×nh cao ng¹o, th­êng niªn c­ tró trªn H¾c Phong §éng t¹i nói L­¬ng S¬n. <sex> nÕu muèn ®o¹t lÊy DÉn Hån Linh qu¶ thËt kh«ng ph¶i lµ viÖc dÔ dµng g×.	PlayerName: ®a t¹ tiÒn bèi. V·n bèi kh«ng thÓ khoanh tay lµm ng¬ phã mÆc b¸ t¸nh chŞu khæ, t¹i h¹ nhÊt ®Şnh ph¶i ®o¹t lÊy DÉn Hån Linh cho b»ng ®­îc.	NpcName: hahaha, tù cæ thiÕu niªn xuÊt anh hïng, ta hi väng c¸c h¹ cã thÓ b×nh an trë vÒ.	PlayerName: t¹i h¹ sÏ kh«ng lµm tiÒn bèi thÊt väng.															Tiªu diÖt Bao tr­ëng l·o, ®o¹t lÊy DÉn Hån Linh mang vÒ cho Tö H¹c Ch©n Nh©n t×m c¸ch tiªu hñy.		
7	finish_talk	PlayerName: Bao tr­ëng l·o, h·y nhanh chãng giao nép DÉn Hån Linh.																						
8	get_talk	NpcName: tiÓu tö tõ ®©u xuÊt hiÖn mµ khÈu khİ to thÕ, c¶ gan ra lÖnh cho l·o phu µ..	PlayerName: gi¸o ®å NhËt NguyÖt ThÇn Gi¸o c¸c ng­¬i h·m h¹i b¸ t¸nh l­¬ng thiÖn, téi ¸c tµi trêi. Ta nhÊt ®Şnh ph¶i ®o¹t lÊy DÉn Hån Linh gi¶i cøu b¸ t¸nh.	NpcName: NhËt NguyÖt ThÇn Gi¸o ®©u ph¶i lµ tªn gäi ®Ó ng­¬i to tiÕng xóc ph¹m, h·y xem ta trõng trŞ ng­¬i thÕ nµo.																				
8	finish_talk	NpcName: A, <sex> ®· quay vÒ råi, ®· ®o¹t lÊy DÉn Hån Linh ch­a?																						
9	get_talk	PlayerName: §óng thÕ, t¹i h¹ ®· ®o¹t ®­îc DÉn Hån Linh, tªn Bao Tr­ëng L·o vâ c«ng cao c­êng, t¹i h¹ ph¶i chiÕn ®Êu víi h¾n rÊt l©u míi cã thÓ chÕ ngù ®­îc h¾n.	NpcName: <sex> qu¶ lµ anh dòng, tªn Bao Tr­ëng L·o qu¶ thËt ®¸ng chÕt. <sex> ®· trõ h¹i cho d©n, ta ph¶i c¶m t¹ ngµi míi ph¶i.	PlayerName: kh«ng d¸m, Ch©n Nh©n qu¸ khen råi. T¹i h¹ cã mét viÖc cÇn thØnh gi¸o tiÒn bèi.	NpcName: <sex> cø nãi.	PlayerName: DÉn Hån Linh nµy ®­îc lµm tõ vËt liÖu nµo thÕ, cÇm trªn tay kh¸ nÆng. Cã vÎ nh­ rÊt khã tiªu hñy nã.	NpcName: chiÕn DÉn Hån Linh nµy kh«ng ph¶i lµ mét lo¹i chu«ng th«ng th­êng, mµ ®­îc rÌn tõ mét lo¹i nguyªn liÖu huyÒn bİ cæ ®¹i. C¸c h¹ cã thÓ ®Õn t×m vŞ thî rÌn thñ c«ng ®Ö nhÊt T­¬ng D­¬ng hái th¨m xem, cã thÓ «ng ta biÕt ®­îc manh mèi nµo ®ã.	PlayerName: Th× ra lµ thÕ, xem ra ph¶i lËp tøc ®Õn T­¬ng D­¬ng ngay, ®a t¹ tiÒn bèi t­¬ng trî, t¹i h¹ c¸o tõ.	NpcName: chóc <sex> thuËn lîi tiªu hñy DÉn Hån Linh, hÑn ngµy gÆp l¹i.															
9	finish_talk	PlayerName: L­u l·o b¸, ®· l©u kh«ng gÆp. L·o b¸ cã thÓ gióp ta xem vËt nµy cã thÓ t×m c¸ch nµo tiªu hñy ®­îc kh«ng?																						
10	get_talk	NpcName: å, chiÕc chu«ng nµy chİnh lµ mét b¸u vËt ®Êy, nã ®­îc rÌn tõ kim lo¹i ngh×n n¨m quı hiÕm, kim lo¹i nµy cho dï cã dïng lùc m¹nh bao nhiªu còng kh«ng thÓ ph¸ hñy.	PlayerName: vËy ph¶i lµm thÕ nµo ®©y? ChiÕc chu«ng nµy ch¼ng ph¶i lµ lo¹i b¸u vËt g× mµ lµ tµ vËt cña NhËt NguyÖt ThÇn Gi¸o dïng ®Ó khèng chÕ nh÷ng ng­êi d©n th«ng th­êng ®· tróng ph¶i ®éc cña chóng. V× thÕ L­u l·o b¸ nhÊt ®Şnh ph¶i gióp t¹i h¹ t×m c¸ch tiªu hñy nã	NpcName: th× ra lµ tµ vËt cña NhËt NguyÖt ThÇn Gi¸o, ®­îc råi vËt nµy h·y ®Ó ta thö xem sao.	PlayerName: vËy lµm phiÒn l·o b¸ gióp ®ì	NpcName# lo¹i kim lo¹i nµy trªn thÕ gian chØ cã thÓ dïng mét thø dung dŞch gäi lµ T¸n Hãa Tiªu Linh DŞch ®Ó lµm tan ch¶y nã. §Ó ®iÒu chÕ ®­îc lo¹i dung dŞch nµy cÇn dïng Ngäc Linh T¸n, Lé Thñy vµ MËt Cãc lµm nguyªn liÖu sau ®ã ®iÒu chÕ trong 3 giê.	PlayerName: nh÷ng nguyªn liÖu nµy cã thÓ t×m ®­îc ë ®©u?	NpcName: ng­¬i cã thÓ ®Õn tiÖm d­îc ®Ó mua Ngäc Linh T¸n vµ Lé Thñy, MËt Cãc chØ cÇn ®Õn V©n Méng Tr¹ch tiªu diÖt 10 con Cãc, sau ®ã thu thËp mËt cña chóng lµ ®­îc.	PlayerName: ®­îc, t¹i h¹ sÏ ®i thu thËp nh÷ng nguyªn liÖu nµy vÒ.													Chê ®îi mét canh r­ìi giê sau ®Õn t×m Thî rÌn L­u ®èi tho¹i		
10	finish_talk	NpcName: <sex> quay l¹i råi sao, Nguyªn liÖu ®· thu thËp ®Çy ®ñ ch­a?	PlayerName: v©ng, L­u l·o b¸, l·o b¸ xem nh÷ng thø nµy cã ph¶i lµ vËt liÖu «ng cÇn.																					
11	get_talk	NpcName: tèt, lo¹i dung dŞch nµy ®iÒu chÕ cÇn mét kho¶n thêi gian, <sex> h·y nghÜ ng¬i tr­íc, 3 canh giê sau quay l¹i nhËn nhĞ.	PlayerName: ®a t¹ l·o b¸ gióp ®ì.																					
11	finish_talk	NpcName#<sex>, dung dŞch ®· ®iÒu chÕ hoµn tÊt, h·y nhËn lÊy.																						
12	get_talk	PlayerName: ®­îc, t¹i h¹ sÏ mang vÒ Long M«n TrÊn tiªu hñy DÉn Hån Linh, b¸ t¸nh nhÊt ®Şnh sÏ ®­îc thøc tØnh.	NpcName: nÕu nh­ vËy, <sex> h·y nhanh chãng lªn ®­êng ®Õn Long M«n TrÊn ngay, chËm trÔ thªm mét gi©y th× b¸ t¸nh sÏ ph¶i chŞu khæ thªm mét gi©y.	PlayerName: L­u l·o b¸, ®a t¹ gióp ®ì b¸ t¸nh t¹i Long M«n TrÊn sÏ kh«ng quªn ¬n cøu m¹ng cña ng­êi	NpcName: <sex> kh¸ch khİ qu¸, nh÷ng viÖc nhá nhÆt nµy cã ®¸ng lµ bao.	PlayerName: l·o b¸ b¶o träng.	NpcName: <sex> b¶o träng.																	
12	finish_talk	PlayerName: L·o b¸, hiÖn «ng thÊy kháe h¬n ch­a? Ng­êi cña bän NhËt NguyÖt ThÇn Gi¸o ®· tõng ®Õn ®©y ®óng kh«ng?																						
13	get_talk	NpcName: ¤i ®Çu ta ®au qu¸, ta ®· nhí ra råi, tr­íc ®©y Bao tr­ëng l·o cña NhËt NguyÖt ThÇn gi¸o dÉn theo mét nhãm gi¸o ®å ®Õn ®©y Ğp chóng t«i uèng mét lo¹i thuèc viªn, nÕu kh«ng uèng chóng sÏ kh«ng tha cho chóng t«i. B¶o r»ng nÕu uèng viªn thuèc ®ã råi chóng t«i sÏ ®­îc trë thµnh gi¸o ®å cña NhËt NguyÖt Thµn gi¸o lµm viÖc cho §«ng Ph­¬ng gi¸o chñ, kh«ng biÕt gia ®×nh cña ta nh­ thÕ nµo ®©y	PlayerName: nÕu qu¶ thËt nh­ vËy, l·o b¸ kh«ng cÇn lo l¾ng, c¶ c¸i Long M«n TrÊn nµy kh«ng sao n÷a råi. ThÊt ®¹i m«n ph¸i sÏ b¶o vÖ mäi ng­êi, kh«ng ®Ó cho bän NhËt NguyÖt ThÇn Gi¸o h·m h¹i mäi ng­êi n÷a.	NpcName: ®a t¹ ®¹i hiÖp, nÕu kh«ng cã ngµi, chóng t«i nhÊt ®Şnh sÏ bŞ §«ng Ph­¬ng BÊt B¹i hµnh h¹ ®Õn chÕt, chóng t«i nhÊt ®Şnh ph¶i hËu t¹ ngµi.	PlayerName: ®a t¹ l·o b¸ h¶o ı, nh­ng t¹i h¹ vÉn cßn viÖc quan träng ph¶i gi¶i quyÕt kh«ng tiÖn ë l©u.	NpcName: Hahaha, b¸ t¸nh vïng t©y b¾c ®©y rÊt hiÕu kh¸ch, lóc nµo còng hoang nghªnh ngµi quay .	PlayerName: l·o b¸ c¸o tõ.	NpcName: <sex> ®i ®­êng cÈn thËn, hÑn ngµy gÆp l¹i.	PlayerName#cuèi cïng ®· lµm s¸ng tá sù viÖc, kh«ng thÓ tiÕp tôc ®Ó cho NhËt NguyÖt ThÇn Gi¸o lµm lo¹n n÷a,Nh¹c tr­ëng m«n cã dÆn sau khi hoµn thµnh c«ng viÖc, quay l¹i t×m «ng ta bµn kÕ ho¹ch ®èi phã NhËt NguyÖt ThÇn Gi¸o.															
13	finish_talk	PlayerName: Nh¹c tr­ëng m«n, v·n bèi ®· quay l¹i.																						
14	get_talk	NpcName: <sex> quay vÒ råi, mäi viÖc thuËn lîi chø? B¸ t¸nh t¹i Long M«n TrÊn thÕ nµo råi?	PlayerName: Sù t×nh nh­ thÕ nµy.... råi sau ®ã thÕ nµy...	NpcName: <sex> qu¶ lµ anh hïng hµo kiÖt, Kh«ng ngê <sex> cã thÓ ®¬n th­¬ng ®éc m· tiªu diÖt ¸c ®å NhËt NguyÖt ThÇn Gi¸o, gi¶i cøu b¸ t¸nh khái khæ ¶i, t¹i h¹ thËt kh©m phôc.	PlayerName:Nh¹c tr­ëng m«n qu¸ lêi, thùc ra trªn ®­êng gÆp ph¶i rÊt nhiÒu khã kh¨n, nh­ng ®­îc sù t­¬ng trî cña nhiÒu ng­êi h¶o t©m, cuèi cïng còng ®· gi¶i quyÕt ®­îc vÊn ®Ò, nÕu kh«ng mét m×nh t¹i h¹ kh«ng thÓ gi¶i cøu hÕt mäi ng­êi	NpcName: <sex> kh«ng nh÷ng vâ c«ng cao c­êng, tİnh t×nh l­¬ng thiÖn, ®­îc kÕt gi¸o víi <sex> qu¶ thËt vinh h¹nh. <sex> dù tİnh sÏ lµm g× tiÕp theo?	PlayerName: Nh¹c tr­ëng m«n ®­îc vâ l©m x­ng tông lµ qu©n tö kiÕm, ®­îc quen biÕt ngµi lµ vinh h¹nh cña t¹i h¹ míi ®óng. Môc tiªu kÕ tiÕp cña t¹i h¹ chİnh lµ tiªu diÖt §«ng Ph­¬ng BÊt B¹i trõ h¹i vâ l©m,, kh«ng biÕt Nh¹c tr­ëng m«n cã gîi ı g× kh«ng?	NpcName: nh÷ng n¨m gÇn ®©y  hµo kiÖt kh¾p n¬i lÇn l­ît v©y ®¸nh H¾c Méc Nhai th¶o ph¹t §«ng Ph­¬ng BÊt B¹i, thÕ nh­ng h¾n ®· luyÖn ®­îc Quú Hoa B¶o §iÓn vâ c«ng c¸i thÕ, c¸c vŞ hµo kiÖt ®Òu kh«ng ph¶i lµ ®èi thñ cña h¾n. nªn <sex> chí lç m·ng hµnh sù.	PlayerName: Quú Hoa B¶o §iÓn, quyÓn vâ c«ng mËt tŞch ®­îc t­¬ng truyÒn trªn giang hå sao? VËy ph¶i lµm thÕ nµo ®©y? Chóng ta kh«ng thÓ ®Ó cho bän NhËt NguyÖt ThÇn Gi¸o lµm lo¹n thÕ nµy ®­îc.	NpcName: <sex> ®Õn thËt ®óng lóc, s¾p ®Õn cã mét cuéc §¹i Héi Vâ L©m ®­îc cö hµnh, ng­êi chñ tr×nh chİnh lµ vŞ V« Danh T¨ng bİ Èn. ThÊt ®¹i m«n ph¸i ®Òu tËp hîp t¹i ®Êy ®Ó bµn kÕ s¸ch th¶o ph¹t §«ng Ph­¬ng BÊt B¹i, <sex> cã thÓ ®¹i diÖn ph¸i Hoa S¬n cña ta ®Õn tham gia, kh«ng biÕt ı cña <sex> thÕ nµo?	PlayerName: ®­îc Nh¹c tr­ëng m«n tİn nhiÖm, v·n bèi thËt c¶m kİch. T¹i h¹ nhÊt ®Şnh sÏ kh«ng lµm ngµi thÊt väng.	NpcName: <sex> trİ dòng song toµn, ta rÊt tin t­ëng. H·y mang lÖnh kú nµy trªn tay ®Õn gÆp V« Danh T¨ng t¹i ThiÕu L©m. ¤ng Êy sÏ tin <sex> chİnh lµ ®¹i diÖn cña Hoa S¬n	PlayerName: t¹i h¹ ®· râ, t¹i h¹ lËp tøc ®i ngay.	NpcName: nªn nhí, chí hµnh sù lç m·ng. 	PlayerName: c¸o tõ!									
14	finish_talk	NpcName:<sex> ®Õn t×m l·o n¹p cã viÖc chi?																						
15	get_talk	PlayerName#xin chµo ph­¬ng tr­îng, t¹i h¹ phông lÖnh tr­ëng m«n ph¸i Hoa S¬n ®Õn tham gia ®¹i héi vâ l©m lÇn nµy, ®©y chİnh lµ tİn vËt Hoa S¬n LÖnh Kú.	NpcName:  ®­îc , h·y ®Ó ta xem. Qu¶ thËt lµ Hoa S¬n LÖnh Kú, Nh¹c tr­ëng m«n ph¶i ch¨ng ®ang cã sù viÖc hÖ träng kh«ng thÓ ®Õn tham dù ®¹i héi lÇn nµy? 	PlayerName: Sù t×nh nh­ thÕ nµy.... råi sau ®ã thÕ nµy...	NpcName#th× ra lµ thÕ, l·o n¹p hiÓu råi. Kh«ng ngê <sex> tuæi trÎ tµi cao, l·o n¹p kh©m phôc. §¹i héi cã sù tham gia cña <sex> nhÊt ®Şnh sÏ t×m ra ph­¬ng ph¸p ®¸nh b¹i §«ng Ph­¬ng BÊt B¹i.	PlayerName#®a t¹ ®¹i s­. Chóng ta cïng nhau nç lùc, nhÊt ®Şnh sÏ tiªu diÖt ®­îc tªn §«ng Ph­¬ng BÊt B¹i#	NpcName: thÕ th× <sex> nghÜ l¹i t¹i ThiÕu L©m Tù tèi nay, ngµy mai chóng sÏ b¾t ®Çu cuéc ®¹i héi t¹i ThiÕu L©m NghŞ Sù §­êng vµo ngµy mai.	PlayerName#th«i ®­îc, ®a t¹ ph­¬ng tr­îng.														Mang Hoa S¬n LÖnh Kú trong hµnh trang giao cho V« Danh T¨ng, nghÜ l¹i mét ®ªm t¹i ThiÕu L©m Tù.		
15	finish_talk	NpcName#Hoan nghªn ch­ vŞ anh hïng ®Õn tham dù ®¹i héi vâ l©m lÇn nµy, xin giíi thiÖu ®Õn c¸c vŞ, <sex> trİ dòng song toµn, tr­íc ®©y ®· gi¶i cøu tÊt c¶ b¸ t¸nh t¹i Long M«n TrÊn khái bän NhËt NguyÖt ThÇn Gi¸o																						
