Tªn m« pháng	C«ng-Kim	C«ng-Méc	C«ng-Thñy	C«ng-Háa	C«ng-Thæ	Phßng-Kim	Phßng-Méc	Phßng-Thñy	Phßng-Háa	Phßng-Thæ
B¶n t¨ng c­êng-Th¸i H­ Hoa Th¸nh			410			120	120	120	120	120
B¶n t¨ng c­êng-Th¸i H­ Tè Tiªn				415		120	120	120	120	120
B¶n t¨ng c­êng-Th¸i H­ KhØ mËp					420	120	120	120	120	120
B¶n cuèi-Th¸i H­ NguyÖt L­îng Thè	425					120	120	120	120	120
B¶n cuèi-Th¸i H­ Viªn Nh©n V­¬ng		430				120	120	120	120	120
B¶n cuèi-Th¸i H­ Hæ tr¾ng			435			120	120	120	120	120
B¶n cuèi-Th¸i H­ B¹ch §iªu				440		120	120	120	120	120
B¶n cuèi-Th¸i H­ H¹o Vò KiÕm					445	120	120	120	120	120
B¶n cuèi-Th¸i H­ Thô Yªu	450					120	120	120	120	120
B¶n cuèi-Th¸i H­ HáaYªu Hå		455				120	120	120	120	120
B¶n cuèi-Th¸i H­ ThÇn N÷			460			120	120	120	120	120
B¶n cuèi-Th¸i H­ Tr­ V­¬ng				465		120	120	120	120	120
B¶n cuèi-Th¸i H­Tr× §«ng					470	120	120	120	120	120
B¶n cuèi-Th¸i H­ Du Hån	475					120	120	120	120	120
B¶n cuèi-Th¸i H­ Oan Hån		480				120	120	120	120	120
B¶n cuèi-Th¸i H­ L·nh H­¬ng Ng­ng			485			120	120	120	120	120
B¶n cuèi-Th¸i H­ HuyÒn Vâ KiÕm				490		120	120	120	120	120
B¶n cuèi-Th¸i H­ Nguy ChÊn Thiªn					495	120	120	120	120	120
B¶n cuèi-Th¸i H­ T¨ng ¸c	500					120	120	120	120	120
B¶n cuèi-Th¸i H­ KiÕm Ma		505				120	120	120	120	120
B¶n cuèi-Th¸i H­ L­u Quang			515			120	120	120	120	120
B¶n cuèi-Th¸i H­ HáaPhông hoµng				520		120	120	120	120	120
B¶n cuèi-Th¸i H­ Phong NhÊt Phµm					525	120	120	120	120	120
B¶n cuèi-Th¸i H­ L©m Xung	530					120	120	120	120	120
B¶n cuèi-Th¸i H­ Ng­u §Çu Qu¸i		535				120	120	120	120	120
B¶n cuèi-Th¸i H­ Hoa Th¸nh			540			120	120	120	120	120
B¶n cuèi-Th¸i H­ Tè Tiªn				545		120	120	120	120	120
Thanh Thanh C« N­¬ng					550	120	120	120	120	120
Hé Tèng H¾c DÇu Thiªn ¢m Gi¸o								10		
Háa ThÇn Chóc Dung				200				10		
ThuÊn ThÇn D¹ Oanh			200							10
NiÕt Bµn T«n Gi¶ T« Y Y					200		10			
T« TuÖ Nhµn				200				10		
Ph­¬ng Th¾ng			200							10
KiÕn §en		200								
V« L­îng Minh V­¬ng Sa La	200								10	
Hång Ên Gi¸o Chñ		200				10				
Háa ThÇn Chóc Dung-Th­êng				200				10		
Hé Tèng H¾c DÇu Thiªn ¢m Gi¸o-Th­êng								10		
ThuÊn ThÇn D¹ Oanh-Th­êng			200							10
NiÕt Bµn T«n Gi¶ T« Y Y-Th­êng					200		10			
T« TuÖ Nhµn-Th­êng				200				10		
Ph­¬ng Th¾ng-Th­êng			200							10
V« L­îng Minh V­¬ng Sa La-Th­êng	200								10	
Hång Än Gi¸o Chñ-Th­êng		200				10				
Háa ThÇn Chóc Dung-Sao chÐp				200				10		
ThuÊn ThÇn D¹ Oanh-Sao chÐp			200							10
NiÕt Bµn T«n Gi¶ T« Y Y-Sao chÐp					200		10			
V« L­îng Minh V­¬ng Sa La-Sao chÐp	200								10	
Hång Än Gi¸o Chñ-Sao chÐp		200				10				
Hé VÖ Nguyªn So¸i				200		170	170	170	170	170
Hé VÖ T­íng qu©n		180				160	160	160	160	160
Hé VÖ B¸ch Phu Tr­ëng			160			150	150	150	150	150
Hé VÖ C©n Ban 1	200					170	170	170	170	170
Hé VÖ C©n Ban 2					200	170	170	170	170	170
Hé VÖ C©n Ban 3			180			160	160	160	160	160
Hé VÖ C©n Ban 4				180		160	160	160	160	160
Hé VÖ C©n Ban 5		160				150	150	150	150	150
Hé VÖ C©n Ban 6					160	150	150	150	150	150
Xe chë tµi nguyªn						150	150	150	150	150
