SourceMapId	SourceMapString	TargetMapId	TargetMapString	Type	SourceScriptFile	ScrollType	NpcName_0	Position_0	NpcName_1	Position_1	NpcName_2	Position_2	NpcName_3	Position_3	SelIndexs_0	SelIndexs_1	SelIndexs_2	SelIndexs_3	SelIndexs_4	SelIndexs_5	SelIndexs_6	SelIndexs_7	SelIndexs_8	SelIndexs_9	SelIndexs_10
100	TuyÒn Ch©u	108	B¾c TuyÒn Ch©u	3	\script\½­ÄÏÇø\ÈªÖİ\trap\ÈªÖİtoÈªÖİ¸®±±.lua			1579;2808																	
102	§µo Hoa ®¶o	109	Thanh ¢m ®éng_1	3	\script\½­ÄÏÇø\ÌÒ»¨µº\trap\ÌÒ»¨µºtoÇåÒô¶´.lua			1392;2783																	
102	§µo Hoa ®¶o	104	§«ng H¶i H¶i T©n 2	2	\script\½­ÄÏÇø\ÌÒ»¨µº\npc\ÌÒ»¨µº´¬·ò.lua		ThuyÒn Phu §µo Hoa ®¶o	1459;3163							1;										
102	§µo Hoa ®¶o	6009	#§µo Hoa TiÓu S¹n	2	\script\ÊÀ½çµØÍ¼\ÌÒ»¨Ğ¡Õ»\Í¯×Ó3.lua		M«n §ång	1456;3066							1;										
103	§«ng H¶i H¶i T©n 1	108	B¾c TuyÒn Ch©u	3	\script\½­ÄÏÇø\¶«º£º£±õÒ»\trap\¶«º£º£±õÒ»toÁ½Ë®¶´.lua			1651;3032																	
103	§«ng H¶i H¶i T©n 1	104	§«ng H¶i H¶i T©n 2	3	\script\½­ÄÏÇø\¶«º£º£±õÒ»\trap\¶«º£º£±õÒ»to¶«º£º£±õ¶ş.lua			1871;3155																	
104	§«ng H¶i H¶i T©n 2	103	§«ng H¶i H¶i T©n 1	3	\script\½­ÄÏÇø\¶«º£º£±õ¶ş\trap\¶«º£º£±õ¶şto¶«º£º£±õÒ».lua			1285;3122																	
104	§«ng H¶i H¶i T©n 2	102	§µo Hoa ®¶o	2	\script\½­ÄÏÇø\¶«º£º£±õ¶ş\npc\¶«º£º£±õ2´¬·ò.lua		ThuyÒn phu H¶i T©n	1568;2975							1;										
105	T©y TuyÒn Ch©u	100	TuyÒn Ch©u	3	\script\½­ÄÏÇø\ÈªÖİ¸®Î÷\trap\ÈªÖİ¸®Î÷toÈªÖİ.lua			1593;3204																	
105	T©y TuyÒn Ch©u	407	Ngò §éc Gi¸o	3	\script\½­ÄÏÇø\ÈªÖİ¸®Î÷\trap\ÈªÖİ¸®Î÷toÎå¶¾.lua			1395;2872	
105	T©y TuyÒn Ch©u	152	Minh gi¸o	3	\script\½­ÄÏÇø\ÈªÖİ¸®Î÷\trap\ÈªÖİ¸®Î÷toÃ÷½Ì.lua			1402;3186													
106	Long TuyÒn Th«n	108	B¾c TuyÒn Ch©u	3	\script\½­ÄÏÇø\ÁúÈª´å\trap\ÁúÈª´åtoÈªÖİ¸®±±.lua			1580;3144																	
106	Long TuyÒn Th«n	150	D­¬ng Ch©u	3	\script\½­ÄÏÇø\ÁúÈª´å\trap\ÁúÈª´åtoÑïÖİ.lua			1564;2874																	
106	Long TuyÒn Th«n	111	Thanh Khª ®éng	3	\script\½­ÄÏÇø\ÁúÈª´å\trap\ÁúÈª´åtoÇåÏª¶´.lua			1557;2959																	
106	Long TuyÒn Th«n	118	Dao Tiªn ®éng	2	\script\½­ÄÏÇø\ÁúÈª´å\npc\linxi_npc.lua		L©m TŞch	1557;3069							1;										
106	Long TuyÒn Th«n	6016	Mai Trang	2	\script\Î÷ÄÏÇø\Ã·×¯\Ã·×¯ÊéÍ¯1.lua		Mai Trang Th­ §ång	1300;3100							1;										
107	Vò Di s¬n	112	L­ìng Thñy ®éng_1	3	\script\½­ÄÏÇø\ÎäÒÄÉ½\trap\ÎäÒÄÉ½toÁ½Ë®¶´.lua			1582;2950																	
107	Vò Di s¬n	108	B¾c TuyÒn Ch©u	3	\script\½­ÄÏÇø\ÎäÒÄÉ½\trap\ÎäÒÄÉ½toÈªÖİ¸®±±.lua			1282;3162																	
108	B¾c TuyÒn Ch©u	103	§«ng H¶i H¶i T©n 1	3	\script\½­ÄÏÇø\ÈªÖİ¸®±±\trap\ÈªÖİ¸®±±to¶«º£º£±õ1.lua			1599;3201																	
108	B¾c TuyÒn Ch©u	107	Vò Di s¬n	3	\script\½­ÄÏÇø\ÈªÖİ¸®±±\trap\ÈªÖİ¸®±±toÎäÒÄÉ½.lua			1599;2871																	
108	B¾c TuyÒn Ch©u	100	TuyÒn Ch©u	3	\script\½­ÄÏÇø\ÈªÖİ¸®±±\trap\ÈªÖİ¸®±±toÈªÖİ.lua			1397;3211																	
108	B¾c TuyÒn Ch©u	106	Long TuyÒn Th«n	3	\script\½­ÄÏÇø\ÈªÖİ¸®±±\trap\ÈªÖİ¸®±±toÁúÈª´å.lua			1391;2875																	
109	Thanh ¢m ®éng_1	102	§µo Hoa ®¶o	3	\script\½­ÄÏÇø\ÇåÒô¶´Ò»²ã\trap\ÇåÒô¶´Ò»²ãtoÁúÈª´å.lua			1590;2739																	
109	Thanh ¢m ®éng_1	110	Thanh ¢m ®éng_2	3	\script\½­ÄÏÇø\ÇåÒô¶´Ò»²ã\trap\ÇåÒô¶´Ò»²ãtoÇåÒô¶´¶ş²ã.lua			1319;3166																	
110	Thanh ¢m ®éng_2	109	Thanh ¢m ®éng_1	3	\script\½­ÄÏÇø\ÇåÒô¶´¶ş²ã\trap\ÇåÒô¶´¶ş²ãtoÇåÒô¶´Ò»²ã.lua			1596;2687																	
111	Thanh Khª ®éng	106	Long TuyÒn Th«n	3	\script\½­ÄÏÇø\ÇåÏª¶´\trap\ÇåÏª¶´toÁúÈª´å.lua			1599;3200																	
112	L­ìng Thñy ®éng_1	107	Vò Di s¬n	3	\script\½­ÄÏÇø\Á½Ë®¶´Ò»²ã\trap\Á½Ë®¶´Ò»²ãtoÎäÒÄÉ½.lua			1558;2700																	
112	L­ìng Thñy ®éng_1	113	L­ìng Thñy ®éng_2	3	\script\½­ÄÏÇø\Á½Ë®¶´Ò»²ã\trap\Á½Ë®¶´Ò»²ãtoÁ½Ë®¶´¶ş²ã.lua			1688;2968																	
113	L­ìng Thñy ®éng_2	112	L­ìng Thñy ®éng_1	3	\script\½­ÄÏÇø\Á½Ë®¶´¶ş²ã\trap\Á½Ë®¶´¶ş²ãtoÁ½Ë®¶´Ò»²ã.lua			1537;3317																	
114	V­¬ng MÉu ®éng_1	151	V©n Méng Tr¹ch	3	\script\½­ÄÏÇø\ÍõÄ¸¶´Ò»²ã\trap\ÍõÄ¸¶´toÔÆÃÎÔó.lua			1594;3493																	
114	V­¬ng MÉu ®éng_1	115	V­¬ng MÉu ®éng_2	3	\script\½­ÄÏÇø\ÍõÄ¸¶´Ò»²ã\trap\ÍõÄ¸¶´Ò»²ãtoÍõÄ¸¶´¶ş²ã.lua			1682;3657																	
115	V­¬ng MÉu ®éng_2	114	V­¬ng MÉu ®éng_1	3	\script\½­ÄÏÇø\ÍõÄ¸¶´¶ş²ã\trap\ÍõÄ¸¶´¶ş²ãtoÍõÄ¸¶´Ò»²ã.lua			1674;3219																	
115	V­¬ng MÉu ®éng_2	116	V­¬ng MÉu ®éng-3	3	\script\½­ÄÏÇø\ÍõÄ¸¶´¶ş²ã\trap\ÍõÄ¸¶´¶ş²ãtoÍõÄ¸¶´Èı²ã.lua			1761;3358																	
116	V­¬ng MÉu ®éng-3	115	V­¬ng MÉu ®éng_2	3	\script\½­ÄÏÇø\ÍõÄ¸¶´Èı²ã\trap\ÍõÄ¸¶´Èı²ãtoÍõÄ¸¶´¶ş²ã.lua			1727;3058																	
118	Dao Tiªn ®éng	106	Long TuyÒn Th«n	3	\script\½­ÄÏÇø\Ò£ÏÉ¶´\trap\Ò£ÏÉ¶´toÁúÈª´å.lua			1615;3208																	
150	D­¬ng Ch©u	200	BiÖn Kinh	2	\script\½­ÄÏÇø\ÑïÖİ\npc\ÑïÖİ³µ·ò.lua		Xa phu	1628;3045	Xa phu	1625;3173	Xa phu	1717;3075	Xa phu	1761;3181	3;										
150	D­¬ng Ch©u	300	Thµnh §«	2	\script\½­ÄÏÇø\ÑïÖİ\npc\ÑïÖİ³µ·ò.lua		Xa phu	1628;3045	Xa phu	1625;3173	Xa phu	1717;3075	Xa phu	1761;3181	1;										
150	D­¬ng Ch©u	400	§¹i Lı phñ	2	\script\½­ÄÏÇø\ÑïÖİ\npc\ÑïÖİ³µ·ò.lua		Xa phu	1628;3045	Xa phu	1625;3173	Xa phu	1717;3075	Xa phu	1761;3181	5;										
150	D­¬ng Ch©u	500	Phông T­êng phñ	2	\script\½­ÄÏÇø\ÑïÖİ\npc\ÑïÖİ³µ·ò.lua		Xa phu	1628;3045	Xa phu	1625;3173	Xa phu	1717;3075	Xa phu	1761;3181	6;										
150	D­¬ng Ch©u	100	TuyÒn Ch©u	2	\script\½­ÄÏÇø\ÑïÖİ\npc\ÑïÖİ³µ·ò.lua		Xa phu	1628;3045	Xa phu	1625;3173	Xa phu	1717;3075	Xa phu	1761;3181	2;										
150	D­¬ng Ch©u	350	T­¬ng D­¬ng	2	\script\½­ÄÏÇø\ÑïÖİ\npc\ÑïÖİ³µ·ò.lua		Xa phu	1628;3045	Xa phu	1625;3173	Xa phu	1717;3075	Xa phu	1761;3181	4;										
150	D­¬ng Ch©u	202	H¹nh Hoa th«n	3	\script\½­ÄÏÇø\ÑïÖİ\trap\ÑïÖİtoĞÓ»¨´å.lua			1765;3028																	
150	D­¬ng Ch©u	209	C¸i Bang	3	\script\½­ÄÏÇø\ÑïÖİ\trap\ÑïÖİtoØ¤°ï.lua			1807;3240																	
150	D­¬ng Ch©u	151	V©n Méng Tr¹ch	3	\script\½­ÄÏÇø\ÑïÖİ\trap\ÑïÖİtoÔÆÃÎÔó.lua			1583;3001																	
150	D­¬ng Ch©u	106	Long TuyÒn Th«n	3	\script\½­ÄÏÇø\ÑïÖİ\trap\ÑïÖİtoÁúÈª´å.lua			1559;3250																	
150	D­¬ng Ch©u	204	ThiÕu L©m	1	\script\Î÷ÄÏÇø\´óÀí¸®\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1723;3143							1;	1;	2;	2;	2;	2;	2;	2;	2;	2;	2;
150	D­¬ng Ch©u	312	Vâ §ang	1	\script\Î÷ÄÏÇø\´óÀí¸®\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1723;3143							2;	2;	1;	3;	3;	3;	3;	3;	3;	3;	3;
150	D­¬ng Ch©u	303	Nga My	1	\script\Î÷ÄÏÇø\´óÀí¸®\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1723;3143							3;	3;	3;	1;	4;	4;	4;	4;	4;	4;	4;
150	D­¬ng Ch©u	209	C¸i Bang	1	\script\Î÷ÄÏÇø\´óÀí¸®\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1723;3143							4;	4;	4;	4;	1;	5;	5;	5;	5;	5;	5;
150	D­¬ng Ch©u	305	§­êng M«n	1	\script\Î÷ÄÏÇø\´óÀí¸®\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1723;3143							5;	5;	5;	5;	5;	1;	6;1;	6;1;	6;1;	6;1;	6;1;
150	D­¬ng Ch©u	219	Thiªn Ba D­¬ng phñ	1	\script\Î÷ÄÏÇø\´óÀí¸®\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1723;3143							6;1;	6;1;	6;1;	6;1;	6;1;	6;1;	1;	6;2;	6;2;	6;2;	6;2;
150	D­¬ng Ch©u	407	Ngò §éc Gi¸o	1	\script\Î÷ÄÏÇø\´óÀí¸®\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1723;3143							6;2;	6;2;	6;2;	6;2;	6;2;	6;2;	6;2;	1;	6;3;	6;3;	6;3;
150	D­¬ng Ch©u	509	C«n L«n	1	\script\Î÷ÄÏÇø\´óÀí¸®\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1723;3143							6;3;	6;3;	6;3;	6;3;	6;3;	6;3;	6;3;	6;3;	1;	6;4;	
150	D­¬ng Ch©u	404	Thóy Yªn	1	\script\Î÷ÄÏÇø\´óÀí¸®\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1723;3143							6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	1;	6;5
150	D­¬ng Ch©u	152	Minh gi¸o	1	\script\Î÷ÄÏÇø\´óÀí¸®\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1723;3143							6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	1;	6;5;
151	V©n Méng Tr¹ch	114	V­¬ng MÉu ®éng_1	3	\script\½­ÄÏÇø\ÔÆÃÎÔó\trap\ÔÆÃÎÔótoÍõÄ¸¶´.lua			1359;2708																	
151	V©n Méng Tr¹ch	150	D­¬ng Ch©u	3	\script\½­ÄÏÇø\ÔÆÃÎÔó\trap\ÔÆÃÎÔótoÑïÖİ.lua			1581;3095																	
152	Minh gi¸o	105	T©y TuyÒn Ch©u	3	\script\½­ÄÏÇø\Ã÷½Ì\trap\Ã÷½ÌtoÃ÷½ÌÍâ.lua			1727;3312
152	Minh gi¸o	100	TuyÒn Ch©u	2	\script\½­ÄÏÇø\Ã÷½Ì\npc\·½°Ù»¨.lua		Ph­¬ng B¸ch Hoa	1686;3283							1;
200	BiÖn Kinh	204	ThiÕu L©m	1	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1402;2824							1;	1;	2;	2;	2;	2;	2;	2;	2;	2;	2;
200	BiÖn Kinh	312	Vâ §ang	1	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1402;2824							2;	2;	1;	3;	3;	3;	3;	3;	3;	3;	3;
200	BiÖn Kinh	303	Nga My	1	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1402;2824							3;	3;	3;	1;	4;	4;	4;	4;	4;	4;	4;
200	BiÖn Kinh	209	C¸i Bang	1	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1402;2824							4;	4;	4;	4;	1;	5;	5;	5;	5;	5;	5;
200	BiÖn Kinh	305	§­êng M«n	1	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1402;2824							5;	5;	5;	5;	5;	1;	6;1;	6;1;	6;1;	6;1;	6;1;
200	BiÖn Kinh	219	Thiªn Ba D­¬ng phñ	1	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1402;2824							6;1;	6;1;	6;1;	6;1;	6;1;	6;1;	1;	6;2;	6;2;	6;2;	6;2;
200	BiÖn Kinh	407	Ngò §éc Gi¸o	1	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1402;2824							6;2;	6;2;	6;2;	6;2;	6;2;	6;2;	6;2;	1;	6;3;	6;3;	6;3;
200	BiÖn Kinh	509	C«n L«n	1	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1402;2824							6;3;	6;3;	6;3;	6;3;	6;3;	6;3;	6;3;	6;3;	1;	6;4;	
200	BiÖn Kinh	404	Thóy Yªn	1	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1402;2824							6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	1;	6;5
200	BiÖn Kinh	152	Minh gi¸o	1	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1402;2824							6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	1;	6;5;
200	BiÖn Kinh	300	Thµnh §«	2	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ãê¾©³µ·ò.lua		Xa phu	1260;2953	Xa phu	1268;2720	Xa phu	1469;2984			1;										
200	BiÖn Kinh	400	§¹i Lı phñ	2	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ãê¾©³µ·ò.lua		Xa phu	1260;2953	Xa phu	1268;2720	Xa phu	1469;2984			6;										
200	BiÖn Kinh	500	Phông T­êng phñ	2	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ãê¾©³µ·ò.lua		Xa phu	1260;2953	Xa phu	1268;2720	Xa phu	1469;2984			5;										
200	BiÖn Kinh	100	TuyÒn Ch©u	2	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ãê¾©³µ·ò.lua		Xa phu	1260;2953	Xa phu	1268;2720	Xa phu	1469;2984			2;										
200	BiÖn Kinh	350	T­¬ng D­¬ng	2	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ãê¾©³µ·ò.lua		Xa phu	1260;2953	Xa phu	1268;2720	Xa phu	1469;2984			3;										
200	BiÖn Kinh	150	D­¬ng Ch©u	2	\script\ÖĞÔ­Ò»Çø\ãê¾©\npc\ãê¾©³µ·ò.lua		Xa phu	1260;2953	Xa phu	1268;2720	Xa phu	1469;2984			4;										
200	BiÖn Kinh	203	T©y BiÖn Kinh	3	\script\ÖĞÔ­Ò»Çø\ãê¾©\trap\ãê¾©toãê¾©¸®Î÷.lua			1196;2659																	
200	BiÖn Kinh	201	Nam BiÖn Kinh	3	\script\ÖĞÔ­Ò»Çø\ãê¾©\trap\ãê¾©toãê¾©¸®ÄÏ.lua			1194;3047																	
200	BiÖn Kinh	205	§«ng BiÖn Kinh	3	\script\ÖĞÔ­Ò»Çø\ãê¾©\trap\ãê¾©toãê¾©¸®¶«.lua			1583;3069																	
201	Nam BiÖn Kinh	200	BiÖn Kinh	3	\script\ÖĞÔ­Ò»Çø\ãê¾©¸®ÄÏ\trap\ãê¾©¸®ÄÏtoãê¾©.lua			1592;2782																	
201	Nam BiÖn Kinh	207	NhŞ Long s¬n	3	\script\ÖĞÔ­Ò»Çø\ãê¾©¸®ÄÏ\trap\ãê¾©¸®ÄÏto¶şÁúÉ½.lua			1567;3179																	
201	Nam BiÖn Kinh	202	H¹nh Hoa th«n	3	\script\ÖĞÔ­Ò»Çø\ãê¾©¸®ÄÏ\trap\ãê¾©¸®ÄÏtoĞÓ»¨´å.lua			1405;3168																	
202	H¹nh Hoa th«n	201	Nam BiÖn Kinh	3	\script\ÖĞÔ­Ò»Çø\ĞÓ»¨´å\trap\ĞÓ»¨´åtoãê¾©¸®ÄÏ.lua			1580;2719																	
202	H¹nh Hoa th«n	210	D­¬ng Trung ®éng-1	3	\script\ÖĞÔ­Ò»Çø\ĞÓ»¨´å\trap\ĞÓ»¨´åtoÑôÖĞ¶´.lua			1353;3109																	
202	H¹nh Hoa th«n	150	D­¬ng Ch©u	3	\script\ÖĞÔ­Ò»Çø\ĞÓ»¨´å\trap\ĞÓ»¨´åtoÑïÖİ.lua			1345;3163																	
203	T©y BiÖn Kinh	200	BiÖn Kinh	3	\script\ÖĞÔ­Ò»Çø\ãê¾©¸®Î÷\trap\ãê¾©¸®Î÷toãê¾©.lua			1583;3154																	
203	T©y BiÖn Kinh	204	ThiÕu L©m	3	\script\ÖĞÔ­Ò»Çø\ãê¾©¸®Î÷\trap\ãê¾©¸®Î÷toÉÙÁÖÅÉ.lua			1375;2750																	
204	ThiÕu L©m	200	BiÖn Kinh	2	\script\ÖĞÔ­Ò»Çø\ÉÙÁÖ\npc\Öª¿ÍÉ®.lua		TŞnh Viªn	1507;3298							1;										
204	ThiÕu L©m	203	T©y BiÖn Kinh	3	\script\ÖĞÔ­Ò»Çø\ÉÙÁÖ\trap\ÉÙÁÖtoãê¾©¸®Î÷.lua			1770;3524																	
204	ThiÕu L©m	218	Linh B¶o s¬n	3	\script\ÖĞÔ­Ò»Çø\ÉÙÁÖ\trap\ÉÙÁÖtoÏåÑô.lua			1379;3541																	
204	ThiÕu L©m	213	ThiÕu L©m mËt thÊt-1	3	\script\ÖĞÔ­Ò»Çø\ÉÙÁÖ\trap\ÉÙÁÖtoÉÙÁÖÃÜÊÒ.lua			1786;3137																	
205	§«ng BiÖn Kinh	604	Nh¹n M«n quan	3	\script\ÖĞÔ­Ò»Çø\ãê¾©¸®¶«\trap\ãê¾©¸®¶«toÑãÃÅ¹Ø.lua			1807;2855																	
205	§«ng BiÖn Kinh	219	Thiªn Ba D­¬ng phñ	3	\script\ÖĞÔ­Ò»Çø\ãê¾©¸®¶«\trap\ãê¾©¸®¶«toÌì²¨Ñî¸®.lua			1770;3425																	
205	§«ng BiÖn Kinh	207	NhŞ Long s¬n	3	\script\ÖĞÔ­Ò»Çø\ãê¾©¸®¶«\trap\ãê¾©¸®¶«to¶şÁúÉ½.lua			1567;3242																	
205	§«ng BiÖn Kinh	200	BiÖn Kinh	3	\script\ÖĞÔ­Ò»Çø\ãê¾©¸®¶«\trap\ãê¾©¸®¶«toãê¾©.lua			1567;2858																	
207	NhŞ Long s¬n	201	Nam BiÖn Kinh	3	\script\ÖĞÔ­Ò»Çø\¶şÁúÉ½\trap\¶şÁúÉ½toãê¾©¸®ÄÏ.lua			1291;2742																	
207	NhŞ Long s¬n	208	L­¬ng S¬n B¹c	3	\script\ÖĞÔ­Ò»Çø\¶şÁúÉ½\trap\¶şÁúÉ½toÁºÉ½²´.lua			1581;3192																	
207	NhŞ Long s¬n	205	§«ng BiÖn Kinh	3	\script\ÖĞÔ­Ò»Çø\¶şÁúÉ½\trap\¶şÁúÉ½toãê¾©¸®¶«.lua			1584;2783																	
208	L­¬ng S¬n B¹c	215	H¾c Phong ®éng	3	\script\ÖĞÔ­Ò»Çø\ÁºÉ½²´\trap\ÁºÉ½²´toºÚ·ç¶´2.lua			1457;2955																	
