Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	HiÖu øng	Gi÷ l¹i b	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh (1=nam; 2=n÷)	ThÓ h×nh (1=nam tiªu chuÈn; 2=nam kh«i ng«; 3=n÷ gîi c¶m; 4=kiÒu n÷)	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi trang bŞ lªn ng­êi sÏ hiÖn tªn lo¹i h×nh	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
Siªu Phong (Lam)	0	121	3	0	0		5;6							1	2	3		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Lam)	0	121	4	0	0		7;8							1	2	4		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Kim)	0	121	5	0	0		9;10							1	1	1		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Kim)	0	121	6	0	0		11;12							1	1	2		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Kim)	0	121	7	0	0		13;14							1	2	3		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Kim)	0	121	8	0	0		15;16							1	2	4		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Siªu Phong (§á)	0	121	9	0	0		17;18							1	1	1		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (§á)	0	121	10	0	0		19;20							1	1	2		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (§á)	0	121	11	0	0		21;22							1	2	3		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (§á)	0	121	12	0	0		23;24							1	2	4		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Tinh Th¸i (§á)	0	121	13	0	0		25;26							1	1	1		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (§á)	0	121	14	0	0		27;28							1	1	2		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (§á)	0	121	15	0	0		29;30							1	2	3		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (§á)	0	121	16	0	0		31;32							1	2	4		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Siªu Phong (Kim)	0	121	17	0	0		33;34							1	1	1		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Kim)	0	121	18	0	0		35;36							1	1	2		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Kim)	0	121	19	0	0		37;38							1	2	3		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Kim)	0	121	20	0	0		39;40							1	2	4		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Lam)	0	121	21	0	0		41;42							1	1	1		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Lam)	0	121	22	0	0		43;44							1	1	2		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Lam)	0	121	23	0	0		45;46							1	2	3		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Tinh Th¸i (Lam)	0	121	24	0	0		47;48							1	2	4		\image\item\ornament\effectfoot02a1.spr	\image\item\ornament\effectfoot02a0.spr	§¨ng l©u trİch nguyÖt hoa, l·m giang thu tinh th¸i.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Lam)	0	120	1	0	0		0;1							1	1	1		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Lam)	0	120	2	0	0		0;2							1	1	2		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Lam)	0	120	3	0	0		0;3							1	2	3		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Lam)	0	120	4	0	0		0;4							1	2	4		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Chø Phông T­êng Loan (Kim)	0	120	5	0	0		0;5							1	1	1		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Chø Phông T­êng Loan (Kim)	0	120	6	0	0		0;6							1	1	2		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Chø Phông T­êng Loan (Kim)	0	120	7	0	0		0;7							1	2	3		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Chø Phông T­êng Loan (Kim)	0	120	8	0	0		0;8							1	2	4		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò(®á)	0	120	9	0	0		0;9							1	1	1		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò(®á)	0	120	10	0	0		0;10							1	1	2		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò(®á)	0	120	11	0	0		0;11							1	2	3		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò(®á)	0	120	12	0	0		0;12							1	2	4		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Trî Phông T­êng Loan (§á)	0	120	13	0	0		0;13							1	1	1		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Trî Phông T­êng Loan (§á)	0	120	14	0	0		0;14							1	1	2		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Trî Phông T­êng Loan (§á)	0	120	15	0	0		0;15							1	2	3		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Trî Phông T­êng Loan (§á)	0	120	16	0	0		0;16							1	2	4		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Kim)	0	120	17	0	0		0;17							1	1	1		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Kim)	0	120	18	0	0		0;18							1	1	2		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Kim)	0	120	19	0	0		0;19							1	2	3		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Kim)	0	120	20	0	0		0;20							1	2	4		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Trî Ph­îng T­êng Loan (Lam)	0	120	21	0	0		0;21							1	1	1		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Trî Ph­îng T­êng Loan (Lam)	0	120	22	0	0		0;22							1	1	2		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Trî Ph­îng T­êng Loan (Lam)	0	120	23	0	0		0;23							1	2	3		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Trî Ph­îng T­êng Loan (Lam)	0	120	24	0	0		0;24							1	2	4		\image\item\ornament\effectcloth02a1.spr	\image\item\ornament\effectcloth02a0.spr	Trî ph­îng ®¨ng thiªn cùc, t­êng loan l¹c hång trÇn.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (§á)	0	120	25	0	0		0;25							1	1	1		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (§á)	0	120	26	0	0		0;26							1	1	2		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (§á)	0	120	27	0	0		0;27							1	2	3		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (§á)	0	120	28	0	0		0;28							1	2	4		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (Lam)	0	120	29	0	0		0;29							1	1	1		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (Lam)	0	120	30	0	0		0;30							1	1	2		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (Lam)	0	120	31	0	0		0;31							1	2	3		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (Lam)	0	120	32	0	0		0;32							1	2	4		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (Tİm)	0	120	33	0	0		0;33							1	1	1		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (Tİm)	0	120	34	0	0		0;34							1	1	2		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (Tİm)	0	120	35	0	0		0;35							1	2	3		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Chu«ng Gi¸ng Sinh (Tİm)	0	120	36	0	0		0;36							1	2	4		\image\item\ornament\Ê¥µ®¹Ò¼ş2a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş2a0.spr	Chu«ng mµu vµng gi¾t ngang h«ng, nghe nãi sÏ ®em l¹i may m¾n cho chñ cña nã.		ThÇn bİ		1	2	1			999
Tói Gi¸ng Sinh §ùng §Çy	0	120	37	0	0		0;37							1				\image\item\ornament\Ê¥µ®¹Ò¼ş1a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş1a0.spr	Tói Gi¸ng Sinh ®ùng ®Çy rÊt nhiÒu rÊt nhiÒu quµ.		ThÇn bİ	\script\item\2010dbegg_item.lua	1	2	1			999
Tói Gi¸ng Sinh §Çy §ñ	0	120	38	0	0		0;38							1				\image\item\ornament\Ê¥µ®¹Ò¼ş1a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş1a0.spr	Tói Gi¸ng Sinh ®Çy ®ñ, trong ®ã cã nhiÒu quµ l¾m		ThÇn bİ	\script\item\2010dbegg_item.lua	1	2	1			999
Tói Gi¸ng Sinh Ch­a §Çy	0	120	39	0	0		0;39							1				\image\item\ornament\Ê¥µ®¹Ò¼ş1a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş1a0.spr	Mét tói Gi¸ng Sinh, trong ®ã cã vµi quµ.		ThÇn bİ	\script\item\2010dbegg_item.lua	1	2	1			999
Tói Gi¸ng Sinh Trèng	0	120	40	0	0		0;40							1				\image\item\ornament\Ê¥µ®¹Ò¼ş1a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş1a0.spr	Mét Tói Gi¸ng Sinh s¾p trèng, trong tói chØ cßn l¹i vµi mãn quµ.		ThÇn bİ		1	2	1			999
Tói Gi¸ng Sinh H¹nh Phóc	0	120	41	0	0		0;41							1				\image\item\ornament\Ê¥µ®¹Ò¼ş1a1.spr	\image\item\ornament\Ê¥µ®¹Ò¼ş1a0.spr	Tuy quµ ®· ®­îc tÆng hÕt, nh­ng h¹nh phóc trµn ®Çy lu«n hiÖn diÖn.		ThÇn bİ		1	2	1			999
