Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u	L­u	L­u	L­u	L­u	L­u	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)	
ThÊt B¶o ChiÕu quyÕt	2	6	11	1	1	1	11		34									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng giíi h¹n tô khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
La H¸n QuyÒn quyÕt	2	6	12	1	1	1	12		35									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn tû lÖ phßng ngù môc tiªu gi¶m trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Ca DiÖp Thèi quyÕt	2	6	13	1	1	1	13		36									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>Cã tû lÖ héi phôc 1 « né khİ sau khi thi triÓn xong kü n¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
HuÖ Nh·n quyÕt	2	6	14	1	1	1	14		37									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> tÊt c¶ c«ng kİch cã tû lÖ nhÊt ®Şnh hoµn toµn bá qua nĞ tr¸nh cña ®èi thñ		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Vi §µ quyÕt	2	6	15	1	1	1	15		38									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> kĞo dµi thêi gian kÕt nèi		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
V¨n V©n quyÕt	2	6	16	1	1	1	16		39									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Më réng ph¹m vi s¸t th­¬ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
La H¸n TrËn quyÕt	2	6	17	1	1	1	17		40									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ cña vßng s¸ng, gi¶m tiªu hao néi lùc 		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
§¹i Tu Di Ch­ëng	2	6	18	1	1	1	18		41									\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Cã x¸c xuÊt khiÕn môc tiªu ®Şnh th©n 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
V« ¶nh quyÕt	2	6	19	1	1	1	19		42									\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Më réng ph¹m vi s¸t th­¬ng, n©ng cao lùc c«ng kİch có ®¸ cuèi cïng		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Long Tr¶o Thñ quyÕt	2	6	20	1	1	1	20		43									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		4		
Phôc Hæ quyÕt	2	6	21	1	1	1	21		46									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Tu T©m quyÕt	2	6	22	1	1	1	22		47									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Cã tû lÖ sö dông vâ c«ng bá qua tÊt c¶ tiªu hao		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Ngò ChuyÓn ChØ quyÕt	2	6	23	1	1	1	23		48									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Ph¸ Ma Chó quyÕt	2	6	24	1	1	1	24		49									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Kim Cang yÕu quyÕt	2	6	25	1	1	1	25		50									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Sau khi bŞ c«ng kİch cã tû lÖ t¨ng cao phßng ngù néi c«ng trong 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
La L«i quyÕt	2	6	26	1	1	1	26		51									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn tû lÖ phßng ngù môc tiªu gi¶m trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Phôc Ma ThÇn quyÕt	2	6	27	1	1	1	27		52									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
V« T­íng quyÕt	2	6	28	1	1	1	28		53									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
S­ Tö Hèng	2	6	29	1	1	1	29		54									\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Minh Chó quyÕt	2	6	30	1	1	1	30		55									\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Më réng ph¹m vi hiÖu qu¶		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
Kim Cang ChØ quyÕt	2	6	31	1	1	1	31		56									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		3		
ChÕ ¸m yÕu quyÕt	2	6	32	1	1	1	32		59									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng ®iÓm phßng ngù néi ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
T©m Nh·n quyÕt	2	6	33	1	1	1	33		60									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>TÊt c¶ c«ng kİch cã tû lÖ bá qua phßng ngù cña môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
§éc Thİch Cèt quyÕt	2	6	34	1	1	1	34		61									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>KĞo dµi thêi gian hiÖu qu¶ ®éc 		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Gi¶i §éc Bİ quyÕt	2	6	35	1	1	1	35		62									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Cã x¸c xuÊt khiÕn môc tiªu gi¶m kh¸ng ®éc trong 1 thêi gian nhÊt ®Şnh		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
C©u Hån TÜnh quyÕt	2	6	36	1	1	1	36		63									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>KhiÕn môc tiªu t¨ng c­êng hiÖu qu¶ ®éc khi bŞ hçn lo¹n		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Ph¸ Quan quyÕt	2	6	37	1	1	1	37		64									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>T¨ng tèc ®é ®Æt bÉy		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Truy T©m TiÔn quyÕt	2	6	38	1	1	1	38		65									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Thu Minh quyÕt	2	6	39	1	1	1	39		66									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>Cã x¸c xuÊt hoµn toµn bá qua nĞ tr¸ch cña môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Xuyªn T©m quyÕt	2	6	40	1	1	1	40		67									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>KhiÕn ®éc ph¸t t¸c nhanh h¬n trªn ng­êi môc tiªu 		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Thèi §éc quyÕt	2	6	41	1	1	1	41		68									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>Cã x¸c xuÊt khiÕn vâ c«ng xuÊt chiªu mang hiÖu qu¶ ®éc		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
§o¹n Ph¸ch quyÕt	2	6	42	1	1	1	42		69									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> KhiÕn môc tiªu khi ngñ cã x¸c xuÊt bŞ s¸t th­¬ng nh­ng kh«ng tØnh		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
B¹o Ch©m quyÕt	2	6	43	1	1	1	43		70									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Hµm Xa quyÕt	2	6	44	1	1	1	44		71									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tû lÖ khëi ®éng chiªu thøc 1 cña TruyT©m TiÔn, B¹o Vò Hoa Tr©m		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Táa MÖnh Ch©m quyÕt	2	6	45	1	1	1	45		72									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KhiÕn môc tiªu kh«ng thÓ sö dông thuèc håi phôc trong 1 thêi gian		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
M·n Thiªn Vò quyÕt	2	6	46	1	1	1	46		73									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		6		
Quan ¢m QuyÕt	2	6	47	1	1	1	47		76									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng s¸t th­¬ng ®èi víi thuéc tİnh ©m yªu ma		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Nga My PhËt quyÕt	2	6	48	1	1	1	48		77									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi hiÖu qu¶ thêi gian duy tr× c¸c kü n¨ng hç trî		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Ngäc N÷ KiÕm quyÕt	2	6	49	1	1	1	49		78									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Cã x¸c xuÊt ®¸nh lui môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
§é Nguyªn QuyÕt	2	6	50	1	1	1	50		79									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng hiÖu qu¶, rót ng¾ng thêi gian duy tr×		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
PhËt Phæ quyÕt	2	6	51	1	1	1	51		80									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp ®ång ®éi trong khu vùc vßng s¸ng t¨ng tÊt c¶ thuéc tİnh		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Liªn Hoa quyÕt	2	6	52	1	1	1	52		81									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KhiÕn môc tiªu trong khi sö dông vâ c«ng, tû lÖ phßng ngù néi ngo¹i c«ng t¨ng cao		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Thanh Ph¹n quyÕt	2	6	53	1	1	1	53		82									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
L­u Thñy yÕu quyÕt	2	6	54	1	1	1	54		83									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tû lÖ nĞ tr¸nh hoµn toµn cho môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Phæ TÕ quyÕt	2	6	55	1	1	1	55		84									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp môc tiªu mçi nöa gi©y håi phôc sinh mÖnh trong 1 kho¶n thêi gian		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
BÊt DiÖt quyÕt	2	6	56	1	1	1	56		85									\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> KhiÕn môc  tiªu gi¶m s¸t th­¬ng néi ngo¹i c«ng trong 3 phót		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
PhËt ChiÕn quyÕt	2	6	57	1	1	1	57		86									\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Gióp môc tiªu gia t¨ng kh¶ n¨ng héi phôc sinh mÖnh khi ngåi, trong 10 phót		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
PhËt ¢m quyÕt	2	6	58	1	1	1	58		87									\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Gióp môc tiªu gia t¨ng kh¶ n¨ng héi phôc néi lùc khi ngåi, trong 10 phót		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
§¹i Bi quyÕt	2	6	59	1	1	1	59		88									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gi¶m thêi gian gi¶n c¸ch, T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Tïy Khóc quyÕt	2	6	60	1	1	1	60		91									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Cã x¸c xuÊt ®¸nh lui môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
Khóc NghÖ quyÕt	2	6	61	1	1	1	61		92									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp môc tiªu khi thi triÓn vâ c«ng, tû lÖ néi ngo¹i phßng t¨ng cao		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
NguyÖt Thùc Khóc quyÕt	2	6	62	1	1	1	62		93									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ cña CÇm		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
§o¹n Thñy quyÕt	2	6	63	1	1	1	63		94									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi·n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
TÜnh D¹ T­ quyÕt	2	6	64	1	1	1	64		95									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ cña CÇm,cã x¸c xuÊt khi cÇm bŞ ng¾t qu¶ng khiÕn kÎ thï bŞ tæn thÊt 5% sinh lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
D­ NhiÔu quyÕt	2	6	65	1	1	1	65		96									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> gi¶m thêi gian ®éng t¸c thä th­¬ng, khi bŞ c«ng kİch cã tû lÖ gia tèc 30% trong 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
