Tªn Huy Ch­¬ng	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Huy Ch­¬ng Tèng Nguyªn So¸i	0	153	16	0	0	0	100	35;35					31156	80		3		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	Huy Ch­¬ng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9
Huy Ch­¬ng Tèng Nguyªn So¸i	0	153	17	0	0	0	100	35;35					31157	80		4		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	Huy Ch­¬ng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9
Huy Ch­¬ng Liªu T­íng Qu©n	0	153	18	0	0	0	100	35;35					31158	80		1		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	Huy Ch­¬ng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8
Huy Ch­¬ng Liªu T­íng Qu©n	0	153	19	0	0	0	100	35;35					31159	80		2		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	Huy Ch­¬ng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8
Huy Ch­¬ng Liªu T­íng Qu©n	0	153	20	0	0	0	100	35;35					31160	80		3		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	Huy Ch­¬ng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8
Huy Ch­¬ng Liªu T­íng Qu©n	0	153	21	0	0	0	100	35;35					31161	80		4		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	Huy Ch­¬ng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8
Huy Ch­¬ng Liªu Nguyªn So¸i	0	153	22	0	0	0	100	35;35					31162	80		1		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	Huy Ch­¬ng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9
Huy Ch­¬ng Liªu Nguyªn So¸i	0	153	23	0	0	0	100	35;35					31163	80		2		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	Huy Ch­¬ng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9
Huy Ch­¬ng Liªu Nguyªn So¸i	0	153	24	0	0	0	100	35;35					31164	80		3		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	Huy Ch­¬ng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9
Huy Ch­¬ng Liªu Nguyªn So¸i	0	153	25	0	0	0	100	35;35					31165	80		4		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	Huy Ch­¬ng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9
Huy Ch­¬ng Du HiÖp	0	153	26	0	0	0	100	35;35					31234	80				\image\item\banghui\ÓÎÏÀ»ÕÕÂa1.spr	\image\item\banghui\ÓÎÏÀ»ÕÕÂa0.spr	R­îu thŞt ®i qua ruét, vÉn l­u trong lßng hiÖp nghÜa 		Huy HiÖu		1;11	4	1		0		4	18	20	10
Huy Ch­¬ng ThiÕt HuyÕt	0	153	27	0	0	0	100	40;30					31235	80				\image\item\banghui\ÌúÑª»ÕÕÂa1.spr	\image\item\banghui\ÌúÑª»ÕÕÂa0.spr	ThiÕt huyÕt ®¬n t©m, chÕt mµ v« hèi		Huy HiÖu		1;11	4	1		0		4	19	21	10
Huy Ch­¬ng V©n Du	0	153	28	0	0	0	100	30;40					31236	80				\image\item\banghui\ÔÆÓÎ»ÕÕÂa1.spr	\image\item\banghui\ÔÆÓÎ»ÕÕÂa0.spr	V©n du thiªn h¹, tiªu dao bèn ph­¬ng		Huy HiÖu		1;11	4	1		0		4	20	22	10
Huy ch­¬ng HiÖp Cèt	0	153	29	0	0	0	100	35;35					31974	590				\image\item\banghui\ÏÀ¹Ç»ÕÕÂa1.spr	\image\item\banghui\ÏÀ¹Ç»ÕÕÂa0.spr	HiÖp Cèt Nhu T×nh, Lo¹n ThÕ Hµo KiÖt		Huy HiÖu		1;12	4	1		0		5	49	44	13
Huy ch­¬ng Qñy Phï	0	153	30	0	0	0	100	40;30					31975	590				\image\item\banghui\¹í¸«»ÕÕÂa1.spr	\image\item\banghui\¹í¸«»ÕÕÂa0.spr	Qñy Phï ThÇn C«ng, ChiÕn V« BÊt Th¾ng		Huy HiÖu		1;12	4	1		0		5	50	45	13
Huy ch­¬ng §»ng V©n	0	153	31	0	0	0	100	30;40					31976	590				\image\item\banghui\ÌÚÔÆ»ÕÕÂa1.spr	\image\item\banghui\ÌÚÔÆ»ÕÕÂa0.spr	§»ng V©n Gi¸ Vô, Di ThÕ §éc LËp		Huy HiÖu		1;12	4	1		0		5	51	46	13
Hoan L¨ng Ch­¬ng	0	153	32	0	0	0	100	40;40					32067	590				\image\item\banghui\»ÃÁè»ÕÕÂa1.spr	\image\item\banghui\»ÃÁè»ÕÕÂa0.spr	§éng t¾c v« th­êng, nh­îc nguy nh­îc an		Huy HiÖu		1;12	4	1		0		6	87	61	14
§»ng Giao Ch­¬ng	0	153	33	0	0	0	100	45;35					32068	590				\image\item\banghui\ÌÚòÔ»ÕÕÂa1.spr	\image\item\banghui\ÌÚòÔ»ÕÕÂa0.spr	T­íng t­íng bæn v« chñng, nam nhi ®­¬ng tù c­êng		Huy HiÖu		1;12	4	1		0		6	88	62	14
Khëi Ph­îng Ch­¬ng	0	153	34	0	0	0	100	35;45					32069	590				\image\item\banghui\Æğ·ï»ÕÕÂa1.spr	\image\item\banghui\Æğ·ï»ÕÕÂa0.spr	Cöu v¹n lı phong b»ng chİnh cö		Huy HiÖu		1;12	4	1		0		6	89	63	14
Huy Ch­¬ng S¸t Lang	0	153	35	0	0	0	100	40;40					32337	590				\image\item\other\¼²Ó°»ÕÕÂa1.spr	\image\item\other\¼²Ó°»ÕÕÂa0.spr	Giã v« h×nh, m©y kh«ng d¸ng		Huy HiÖu		1;12	4	1		0		7	109	75	15
Huy Ch­¬ng NhuÖ Nha	0	153	36	0	0	0	100	45;35					32338	590				\image\item\other\ÈñÑÀ»ÕÕÂa1.spr	\image\item\other\ÈñÑÀ»ÕÕÂa0.spr	NhiÖt HuyÕt Kiªu Tö		Huy HiÖu		1;12	4	1		0		7	110	76	15
Huy Ch­¬ng Méng S¸t	0	153	37	0	0	0	100	35;45					32339	590				\image\item\other\Ï¡Ğë»ÕÕÂa1.spr	\image\item\other\Ï¡Ğë»ÕÕÂa0.spr	KÌn hiÖu vµo m¬, s½n sµng tuèt kiÕm		Huy HiÖu		1;12	4	1		0		7	111	77	15
Huy Ch­¬ng Tinh Huy	0	153	38	0	0	0	100	50;50					32342	898				\image\item\other\ĞÇÒ«»ÕÕÂa1.spr	\image\item\other\ĞÇÒ«»ÕÕÂa0.spr	Sao sa ®ång b»ng, tr¨ng s¸ng s«ng xanh.		Huy HiÖu		1;12	4	1		0		8	129	92	16
Huy Ch­¬ng Háa S¸t	0	153	39	0	0	0	100	55;45					32343	898				\image\item\other\ÁÒÑô»ÕÕÂa1.spr	\image\item\other\ÁÒÑô»ÕÕÂa0.spr	Xu©n qua ®«ng tíi, sao l¹i kh«ng nhí giang hå.		Huy HiÖu		1;12	4	1		0		8	130	93	16
Huy Ch­¬ng NguyÖt KhuyÕt	0	153	40	0	0	0	100	45;55					32344	898				\image\item\other\ÔÂãÚ»ÕÕÂa1.spr	\image\item\other\ÔÂãÚ»ÕÕÂa0.spr	§ªm dµi l¾m méng, mong ­íc tr¨ng th©u.		Huy HiÖu		1;12	4	1		0		8	131	94	16
Huy Ch­¬ng C«n B»ng	0	153	41	0	0	0	100	50;50					2170492	898				\image\item\banghui\9¼¶½ğÉßÏÀ»ÕÕÂa1.spr	\image\item\banghui\9¼¶½ğÉßÏÀ»ÕÕÂa0.spr	B¾c Minh cã loµi c¸ tªn C«n, cã thÓ hãa thµnh chim gäi lµ B»ng.		Huy HiÖu		1;12	4	1		0		9	151	106	17
Huy Ch­¬ng Toan Nghª	0	153	42	0	0	0	100	55;45					2170493	898				\image\item\banghui\9¼¶½ğÉßÊ¿»ÕÕÂa1.spr	\image\item\banghui\9¼¶½ğÉßÊ¿»ÕÕÂa0.spr	Kú thó thiªn cæ, võa gièng rång võa gièng s­ tö, cã thÓ bay l­în trêi cao.		Huy HiÖu		1;12	4	1		0		9	152	107	17
Huy Ch­¬ng Chóc Long	0	153	43	0	0	0	100	45;55					2170494	898				\image\item\banghui\9¼¶½ğÉßÒş»ÕÕÂa1.spr	\image\item\banghui\9¼¶½ğÉßÒş»ÕÕÂa0.spr	Chóc Long sèng ë n¬i l¹nh gi¸, ¸nh m¾t s¸ng tùa mÆt trêi.		Huy HiÖu		1;12	4	1		0		9	153	108	17
