Tªn tr©n ch©u	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Dù L­u	Ö÷ÊôĞÔID£¬¶ÔÓ¦left_pearl_attr.txt	¸±ÊôĞÔ³ØID£¬¶ÔÓ¦left_pearl_attr_group.txt	Kı hiÖu Ch©u V¹n T­îng	Dù L­u	Dù L­u	Ph©n lo¹i: 1 NhËt 2 NguyÖt 3 Tinh 4 ThÇn 5 Thiªn 6 §Şa 7 S¬n 8 H¶i 9 Phong 10 Vô 11 Xu©n 12 H¹ 13 Thu 14 §«ng 15 Thñy 16 Th¹ch 17 V©n 18 Vò 19 TuyÕt 20 S­¬ng	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Gi¸ trŞ
NhËt-Ngu Uyªn	0	122	23	0	0			3	21				1	100				\image\item\canghaiyizhu\ÈÕ6a1.spr	\image\item\canghaiyizhu\ÈÕ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
NhËt-Ngù K×nh	0	122	24	0	0			4	21				1	100				\image\item\canghaiyizhu\ÈÕ6a1.spr	\image\item\canghaiyizhu\ÈÕ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
NhËt-U D­¬ng	0	122	25	0	0			1	21				1	100				\image\item\canghaiyizhu\ÈÕ7a1.spr	\image\item\canghaiyizhu\ÈÕ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
NhËt-D­¬ng Cèc	0	122	26	0	0			2	21				1	100				\image\item\canghaiyizhu\ÈÕ7a1.spr	\image\item\canghaiyizhu\ÈÕ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
NhËt-Ngu Uyªn	0	122	27	0	0			3	21				1	100				\image\item\canghaiyizhu\ÈÕ7a1.spr	\image\item\canghaiyizhu\ÈÕ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
NhËt-Ngù K×nh	0	122	28	0	0			4	21				1	100				\image\item\canghaiyizhu\ÈÕ7a1.spr	\image\item\canghaiyizhu\ÈÕ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
NguyÖt-Väng Th­	0	122	29	0	0			5	2				2	100				\image\item\canghaiyizhu\ÔÂ1a1.spr	\image\item\canghaiyizhu\ÔÂ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
NguyÖt-H¶i Kİnh	0	122	30	0	0			6	2				2	100				\image\item\canghaiyizhu\ÔÂ1a1.spr	\image\item\canghaiyizhu\ÔÂ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
NguyÖt-Hµn Bİch	0	122	31	0	0			7	2				2	100				\image\item\canghaiyizhu\ÔÂ1a1.spr	\image\item\canghaiyizhu\ÔÂ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
NguyÖt-Ngäc Bµn	0	122	32	0	0			8	2				2	100				\image\item\canghaiyizhu\ÔÂ1a1.spr	\image\item\canghaiyizhu\ÔÂ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
NguyÖt-Ng©n C©u	0	122	33	0	0			9	2				2	100				\image\item\canghaiyizhu\ÔÂ1a1.spr	\image\item\canghaiyizhu\ÔÂ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
NguyÖt-Hån Uyªn	0	122	34	0	0			10	2				2	100				\image\item\canghaiyizhu\ÔÂ1a1.spr	\image\item\canghaiyizhu\ÔÂ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
NguyÖt-Ngù K×nh	0	122	35	0	0			4	2				2	100				\image\item\canghaiyizhu\ÔÂ1a1.spr	\image\item\canghaiyizhu\ÔÂ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
NguyÖt-Väng Th­	0	122	36	0	0			5	2				2	100				\image\item\canghaiyizhu\ÔÂ2a1.spr	\image\item\canghaiyizhu\ÔÂ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
NguyÖt-H¶i Kİnh	0	122	37	0	0			6	2				2	100				\image\item\canghaiyizhu\ÔÂ2a1.spr	\image\item\canghaiyizhu\ÔÂ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
NguyÖt-Hµn Bİch	0	122	38	0	0			7	2				2	100				\image\item\canghaiyizhu\ÔÂ2a1.spr	\image\item\canghaiyizhu\ÔÂ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
NguyÖt-Ngäc Bµn	0	122	39	0	0			8	2				2	100				\image\item\canghaiyizhu\ÔÂ2a1.spr	\image\item\canghaiyizhu\ÔÂ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
NguyÖt-Ng©n C©u	0	122	40	0	0			9	2				2	100				\image\item\canghaiyizhu\ÔÂ2a1.spr	\image\item\canghaiyizhu\ÔÂ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
NguyÖt-Hån Uyªn	0	122	41	0	0			10	2				2	100				\image\item\canghaiyizhu\ÔÂ2a1.spr	\image\item\canghaiyizhu\ÔÂ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
NguyÖt-Ngù K×nh	0	122	42	0	0			4	2				2	100				\image\item\canghaiyizhu\ÔÂ2a1.spr	\image\item\canghaiyizhu\ÔÂ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
NguyÖt-Väng Th­	0	122	43	0	0			5	2				2	100				\image\item\canghaiyizhu\ÔÂ3a1.spr	\image\item\canghaiyizhu\ÔÂ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
NguyÖt-H¶i Kİnh	0	122	44	0	0			6	2				2	100				\image\item\canghaiyizhu\ÔÂ3a1.spr	\image\item\canghaiyizhu\ÔÂ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
NguyÖt-Hµn Bİch	0	122	45	0	0			7	2				2	100				\image\item\canghaiyizhu\ÔÂ3a1.spr	\image\item\canghaiyizhu\ÔÂ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
NguyÖt-Ngäc Bµn	0	122	46	0	0			8	2				2	100				\image\item\canghaiyizhu\ÔÂ3a1.spr	\image\item\canghaiyizhu\ÔÂ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
NguyÖt-Ng©n C©u	0	122	47	0	0			9	2				2	100				\image\item\canghaiyizhu\ÔÂ3a1.spr	\image\item\canghaiyizhu\ÔÂ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
NguyÖt-Hån Uyªn	0	122	48	0	0			10	2				2	100				\image\item\canghaiyizhu\ÔÂ3a1.spr	\image\item\canghaiyizhu\ÔÂ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
NguyÖt-Ngù K×nh	0	122	49	0	0			4	2				2	100				\image\item\canghaiyizhu\ÔÂ3a1.spr	\image\item\canghaiyizhu\ÔÂ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
NguyÖt-Väng Th­	0	122	50	0	0			5	2				2	100				\image\item\canghaiyizhu\ÔÂ4a1.spr	\image\item\canghaiyizhu\ÔÂ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
NguyÖt-H¶i Kİnh	0	122	51	0	0			6	2				2	100				\image\item\canghaiyizhu\ÔÂ4a1.spr	\image\item\canghaiyizhu\ÔÂ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
NguyÖt-Hµn Bİch	0	122	52	0	0			7	2				2	100				\image\item\canghaiyizhu\ÔÂ4a1.spr	\image\item\canghaiyizhu\ÔÂ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
NguyÖt-Ngäc Bµn	0	122	53	0	0			8	2				2	100				\image\item\canghaiyizhu\ÔÂ4a1.spr	\image\item\canghaiyizhu\ÔÂ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
NguyÖt-Ng©n C©u	0	122	54	0	0			9	2				2	100				\image\item\canghaiyizhu\ÔÂ4a1.spr	\image\item\canghaiyizhu\ÔÂ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
NguyÖt-Hån Uyªn	0	122	55	0	0			10	2				2	100				\image\item\canghaiyizhu\ÔÂ4a1.spr	\image\item\canghaiyizhu\ÔÂ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
NguyÖt-Ngù K×nh	0	122	56	0	0			4	2				2	100				\image\item\canghaiyizhu\ÔÂ4a1.spr	\image\item\canghaiyizhu\ÔÂ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
NguyÖt-Väng Th­	0	122	57	0	0			5	42				2	100				\image\item\canghaiyizhu\ÔÂ5a1.spr	\image\item\canghaiyizhu\ÔÂ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
NguyÖt-H¶i Kİnh	0	122	58	0	0			6	42				2	100				\image\item\canghaiyizhu\ÔÂ5a1.spr	\image\item\canghaiyizhu\ÔÂ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
NguyÖt-Hµn Bİch	0	122	59	0	0			7	42				2	100				\image\item\canghaiyizhu\ÔÂ5a1.spr	\image\item\canghaiyizhu\ÔÂ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
NguyÖt-Ngäc Bµn	0	122	60	0	0			8	42				2	100				\image\item\canghaiyizhu\ÔÂ5a1.spr	\image\item\canghaiyizhu\ÔÂ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
NguyÖt-Ng©n C©u	0	122	61	0	0			9	42				2	100				\image\item\canghaiyizhu\ÔÂ5a1.spr	\image\item\canghaiyizhu\ÔÂ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
NguyÖt-Hån Uyªn	0	122	62	0	0			10	42				2	100				\image\item\canghaiyizhu\ÔÂ5a1.spr	\image\item\canghaiyizhu\ÔÂ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
NguyÖt-Ngù K×nh	0	122	63	0	0			4	42				2	100				\image\item\canghaiyizhu\ÔÂ5a1.spr	\image\item\canghaiyizhu\ÔÂ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
NguyÖt-Väng Th­	0	122	64	0	0			5	22				2	100				\image\item\canghaiyizhu\ÔÂ6a1.spr	\image\item\canghaiyizhu\ÔÂ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
NguyÖt-H¶i Kİnh	0	122	65	0	0			6	22				2	100				\image\item\canghaiyizhu\ÔÂ6a1.spr	\image\item\canghaiyizhu\ÔÂ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
NguyÖt-Hµn Bİch	0	122	66	0	0			7	22				2	100				\image\item\canghaiyizhu\ÔÂ6a1.spr	\image\item\canghaiyizhu\ÔÂ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
NguyÖt-Ngäc Bµn	0	122	67	0	0			8	22				2	100				\image\item\canghaiyizhu\ÔÂ6a1.spr	\image\item\canghaiyizhu\ÔÂ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
NguyÖt-Ng©n C©u	0	122	68	0	0			9	22				2	100				\image\item\canghaiyizhu\ÔÂ6a1.spr	\image\item\canghaiyizhu\ÔÂ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
NguyÖt-Hån Uyªn	0	122	69	0	0			10	22				2	100				\image\item\canghaiyizhu\ÔÂ6a1.spr	\image\item\canghaiyizhu\ÔÂ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
NguyÖt-Ngù K×nh	0	122	70	0	0			4	22				2	100				\image\item\canghaiyizhu\ÔÂ6a1.spr	\image\item\canghaiyizhu\ÔÂ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
NguyÖt-Väng Th­	0	122	71	0	0			5	22				2	100				\image\item\canghaiyizhu\ÔÂ7a1.spr	\image\item\canghaiyizhu\ÔÂ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
NguyÖt-H¶i Kİnh	0	122	72	0	0			6	22				2	100				\image\item\canghaiyizhu\ÔÂ7a1.spr	\image\item\canghaiyizhu\ÔÂ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
NguyÖt-Hµn Bİch	0	122	73	0	0			7	22				2	100				\image\item\canghaiyizhu\ÔÂ7a1.spr	\image\item\canghaiyizhu\ÔÂ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
NguyÖt-Ngäc Bµn	0	122	74	0	0			8	22				2	100				\image\item\canghaiyizhu\ÔÂ7a1.spr	\image\item\canghaiyizhu\ÔÂ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
NguyÖt-Ng©n C©u	0	122	75	0	0			9	22				2	100				\image\item\canghaiyizhu\ÔÂ7a1.spr	\image\item\canghaiyizhu\ÔÂ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
NguyÖt-Hån Uyªn	0	122	76	0	0			10	22				2	100				\image\item\canghaiyizhu\ÔÂ7a1.spr	\image\item\canghaiyizhu\ÔÂ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
NguyÖt-Ngù K×nh	0	122	77	0	0			4	22				2	100				\image\item\canghaiyizhu\ÔÂ7a1.spr	\image\item\canghaiyizhu\ÔÂ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
Tinh-Thiªn Du	0	122	78	0	0			11	3				3	100				\image\item\canghaiyizhu\ĞÇ1a1.spr	\image\item\canghaiyizhu\ĞÇ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
Tinh-Quúnh TiÕt	0	122	79	0	0			12	3				3	100				\image\item\canghaiyizhu\ĞÇ1a1.spr	\image\item\canghaiyizhu\ĞÇ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
Tinh-TuyÒn C¬	0	122	80	0	0			13	3				3	100				\image\item\canghaiyizhu\ĞÇ1a1.spr	\image\item\canghaiyizhu\ĞÇ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
