Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
NhÉn kim c­¬ng	0	102	105	2	1		20							13	2			\image\item\ring\»é½äa1.spr	\image\item\ring\»é½äa0.spr	Lo¹i nhÉn ®eo trong ngµy thµnh h«n, t­îng tr­ng cho t×nh yªu		Bè phÈm		1	0	1		0					
NhÉn kim c­¬ng	0	102	106	2	1		20							15	1			\image\item\ring\»é½äa1.spr	\image\item\ring\»é½äa0.spr	NhÉn dµnh cho nh÷ng ng­êi ®· kÕt h«n, t­¬ng tr­ng cho sù vÜnh h»ng cña t×nh yªu		Bè phÈm		1	2	1		0					
NhÉn kim c­¬ng	0	102	107	2	1		20							13	2			\image\item\ring\»é½äa1.spr	\image\item\ring\»é½äa0.spr	NhÉn dµnh cho nh÷ng ng­êi ®· kÕt h«n, t­¬ng tr­ng cho sù vÜnh h»ng cña t×nh yªu		Bè phÈm		1	2	1		0					
T­íng Qu©n Giíi ChØ	0	102	21	10	1		20							1				\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	VËt may m¾n cña c¸c hoµng ®Õ tÆng cho ®¹i t­íng khi xuÊt chinh		§· khãa		7	0	1		0					
C¸t T­êng	0	102	22	1	1		20						500101	50				\image\item\ring\ring_015a1.spr	\image\item\ring\ring_015a0.spr	Trang søc may m¾n, cã thÓ mang ®Õn vËn may.		§· khãa		7	2	1		0					
Nh­ ı	0	102	23	1	1		20						500101	50				\image\item\ring\ring_014a1.spr	\image\item\ring\ring_014a0.spr	Trang søc may m¾n, cã thÓ mang ®Õn vËn may.		§· khãa		7	2	1		0					
§«ng Ph­¬ng Long Ch©u	0	102	24	1	1		20						500102	80				\image\item\ring\ring_021a1.spr	\image\item\ring\ring_021a0.spr	Lo¹i nhÉn thêi xa x­a, chøa ®ùng mét n¨ng lùc siªu phµm.		§· khãa		7	2	1		0					
Phi D­¬ng	0	102	25	1	1		20						500103	1	1			\image\item\ring\Ô§½äa1.spr	\image\item\ring\Ô§½äa0.spr	GÆp lµ c¶m thÊy vui mõng phÊn khëi		§· khãa		7	2	1		0					
TŞch Väng	0	102	26	1	1		20						500104	1	2			\image\item\ring\Ñì½äa1.spr	\image\item\ring\Ñì½äa0.spr	Nhí phu qu©n mong chê ngµy ®ªm		§· khãa		7	2	1		0					
KhuÊt Nguyªn Béi	0	102	27	1	1		20						500105	1				\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	Lo¹i ngäc béi KhuÊt Nguyªn th­êng ®eo		Bè phÈm		7	0	1		0					
§¹i Lùc ThÇn H¹ng Liªn	0	102	28	10	1		50						500106	10				\image\item\ring\ÊÀ½ç±­ÊÎÆ·a1.spr	\image\item\ring\ÊÀ½ç±­ÊÎÆ·a0.spr	§­îc lµm tõ minh ch©u, B¶o Th¹ch, do §¹i Tèng Hoµng §Õ tÆng cho Xóc Cóc V­¬ng (®Ó vµo « phİm t¾t sö dông)		Bè phÈm	\script\online\worldcup06\worldcup_ring_item.lua	7	0	1		0					
Th¸i H­ HuyÔn Ngäc	0	102	29	10	1		50						500107	70				\image\item\ring\ring_007a1.spr	\image\item\ring\ring_007a0.spr	Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, cã İch cho ng­êi luyÖn vâ.		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn §¸i 	0	102	30	10	1		50						500108	70				\image\item\ring\Æ®´ø1a1.spr	\image\item\ring\Æ®´ø1a0.spr	Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, cã İch cho ng­êi luyÖn vâ.		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn Hoµn	0	102	31	10	1		50						500109	70				\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, cã İch cho ng­êi luyÖn vâ.		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn Béi	0	102	32	10	1		50						500110	70				\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, cã İch cho ng­êi luyÖn vâ.		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn Giíi	0	102	33	10	1		50						500111	70				\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, cã İch cho ng­êi luyÖn vâ.		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn §¹i	0	102	34	10	1		50						500112	70				\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, ®Ö tö Ngò §éc ­a dïng		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn Th¹ch	0	102	35	10	1		50						500113	70				\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, dïng ®Ó chÕ ngù ®èi ph­¬ng		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn Ngäc	0	102	129	10	1		50						500117	70				\image\item\ring\Ì«Ğé»ÃÓña1.spr	\image\item\ring\Ì«Ğé»ÃÓña0.spr	Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp sÏ gióp ng­êi luyÖn vâ t¨ng thªm søc m¹nh.		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn §¸i	0	102	130	10	1		50						500118	70				\image\item\ring\Ì«Ğé»Ã´øa1.spr	\image\item\ring\Ì«Ğé»Ã´øa0.spr	Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp sÏ gióp ng­êi luyÖn vâ t¨ng thªm th©n ph¸p.		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn Hoµn	0	102	131	10	1		50						500119	70				\image\item\ring\Ì«Ğé»Ã»·a1.spr	\image\item\ring\Ì«Ğé»Ã»·a0.spr	Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp sÏ gióp ng­êi luyÖn vâ t¨ng thªm g©n cèt.		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn Béi	0	102	132	10	1		50						500120	70				\image\item\ring\Ì«Ğé»ÃÅåa1.spr	\image\item\ring\Ì«Ğé»ÃÅåa0.spr	Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp sÏ gióp ng­êi luyÖn vâ t¨ng thªm néi c«ng.		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn Giíi	0	102	133	10	1		50						500121	70				\image\item\ring\Ì«Ğé»Ã½äa1.spr	\image\item\ring\Ì«Ğé»Ã½äa0.spr	Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp sÏ gióp ng­êi luyÖn vâ t¨ng thªm Linh ho¹t.		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn §¹i	0	102	134	10	1		50						500122	70				\image\item\ring\Ì«Ğé»Ã´üa1.spr	\image\item\ring\Ì«Ğé»Ã´üa0.spr	Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp ®éc tİnh cña nã h¬n c¶ ma vËt.		Bè phÈm		7	0	1		0					
Cöu Thiªn HuyÒn Th¹ch	0	102	135	10	1		50						500123	70				\image\item\ring\Ì«Ğé»ÃÊ¯a1.spr	\image\item\ring\Ì«Ğé»ÃÊ¯a0.spr	Tiªn b¶o Cöu Thiªn HuyÒn N÷ ®¸nh r¬i trong Th¸i H­ HuyÔn c¶nh, sau khi ®­îc cao nh©n lµm phĞp cã thÓ xuyªn thñng tÊt c¶ b¶o gi¸p.		Bè phÈm		7	0	1		0					
TiÓu Th­ Giíi ChØ	0	102	36	1	1		50						501001	70				\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	Trang søc cña tiÓu th­ Tµng KiÕm S¬n Trang		Bè phÈm		7	0	1		0					
Tr­ëng L·o ChØ Hoµn	0	102	37	1	1		50						501002	70				\image\item\other\³¤ÀÏÖ¸»·a1.spr	\image\item\other\³¤ÀÏÖ¸»·a0_120.spr	NhÉn cña §¹i Tr­ëng L·o Tµng KiÕm S¬n Trang		Bè phÈm		7	0	1		0					
Tµng KiÕm B¶o Ch©u	0	102	38	1	1		100						501003	80				\image\item\ring\±¦Öéa1.spr	\image\item\ring\±¦Öé120a0.spr	TrÊn trang chi b¶o cña Tµng KiÕm S¬n Trang, lµm tõ h¹t ngäc trai.		Bè phÈm		9	0	1		0					
Tµng KiÕm Kú Th¹ch	0	102	39	1	1		100						501004	80				\image\item\other\¾øÇéÊ¯a1.spr	\image\item\other\¾øÇéÊ¯a0_120.spr	TrÊn trang chi b¶o cña Tµng KiÕm S¬n Trang, cã thÓ xua ®uæi tµ ma		Bè phÈm		9	0	1		0					
Tµng KiÕm Kim Ên	0	102	40	1	1		100						501005	80				\image\item\other\×¯Ö÷±¦Ó¡a1.spr	\image\item\other\×¯Ö÷±¦Ó¡a0_120.spr	TrÊn trang chi b¶o cña Tµng KiÕm S¬n Trang, ®­îc Cöu TuyÖt KiÕm Ma ®óc thµnh tõ ngäc tû Hßa ThŞ Bİch.		Bè phÈm		9	0	1		0					
Ngäc Thè D­îc Bao	0	102	41	1	1		50						500114	50				\image\item\ring\ring_002a1.spr	\image\item\ring\ring_002a0.spr	TruyÒn thuyÕt lµ bao thuèc treo tr­íc ngùc thá ngäc.		Bè phÈm	\script\online\3festival\item\yueliangtu.lua	7	0	1		0					
H»ng Nga NguyÖt Vò §¸i	0	102	42	1	1		100						500115	70	 			\image\item\ring\Æ®´ø2a1.spr	\image\item\ring\Æ®´ø2a0.spr	H»ng Nga rÊt thİch, cã thÓ xua tan mäi hiÓm häa.		Bè phÈm	\script\online\3festival\item\change.lua	8	2	1		0					
HËu NghÖ L¹c NhËt Hoµn	0	102	43	1	1		100						500116	70	 			\image\item\ring\ring_021a1.spr	\image\item\ring\ring_021a0.spr	TruyÒn thuyÕt,HËu NghÖ tõng ®eo khi b¾n r¬i mÆt trêi, cùc kú quı gi¸		Bè phÈm	\script\online\3festival\item\houyi.lua	8	2	1		0					
Thèi X¸n Chi Tinh	0	102	44	1	1		100						600016	70				\image\item\other\ĞÇĞÇÀñ»¨a1.spr	\image\item\other\ĞÇĞÇÀñ»¨a2.spr	VËt phÈm thÇn bİ chiÕt x¹ mét luång søc m¹nh cùc lín		§· khãa	\script\item\bright_star.lua	8	2	1		0					
Kim Cang D­¬ng Béi	0	102	251	3	1		50						250101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		5	2	1	2	0					
Kim Cang Dao Béi	0	102	271	5	1		70						270101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		7	2	1	2	0					
Kim Cang D­¬ng Béi	0	102	252	3	1		50						250201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		5	2	1	2	0					
Kim Cang Dao Béi	0	102	272	5	1		70						270201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		7	2	1	2	0					
Nh­ Lai D­¬ng Béi	0	102	351	3	1		50						350101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		5	2	1	3	0					
Nh­ Lai Dao Béi	0	102	371	5	1		70						370101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		7	2	1	3	0					
Nh­ Lai D­¬ng Béi	0	102	352	3	1		50						350201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		5	2	1	3	0					
Nh­ Lai Dao Béi	0	102	372	5	1		70						370201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		7	2	1	3	0					
La H¸n D­¬ng Béi	0	102	451	3	1		50						450101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		5	2	1	4	0					
La H¸n Dao Béi	0	102	471	5	1		70						470101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		7	2	1	4	0					
La H¸n D­¬ng Béi	0	102	452	3	1		50						450201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		5	2	1	4	0					
La H¸n Dao Béi	0	102	472	5	1		70						470201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		7	2	1	4	0					
HiÖp Kh¸ch D­¬ng Béi	0	102	651	3	1		50						650101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		5	2	1	6	0					
HiÖp Kh¸ch Dao Béi	0	102	671	5	1		70						670101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		7	2	1	6	0					
HiÖp Kh¸ch D­¬ng Béi	0	102	652	3	1		50						650201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		5	2	1	6	0					
HiÖp Kh¸ch Dao Béi	0	102	672	5	1		70						670201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		7	2	1	6	0					
HiÖp Kh¸ch D­¬ng Béi	0	102	653	3	1		50						650301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		5	2	1	6	0					
HiÖp Kh¸ch Dao Béi	0	102	673	5	1		70						670301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		7	2	1	6	0					
HiÖp Kh¸ch D­¬ng Béi	0	102	654	3	1		50						650401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		5	2	1	6	0					
HiÖp Kh¸ch Dao Béi	0	102	674	5	1		70						670401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		7	2	1	6	0					
Quan ¢m D­¬ng Béi	0	102	853	3	1		50						850301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		5	2	1	8	0					
Quan ¢m Dao Béi	0	102	873	5	1		70						870301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		7	2	1	8	0					
Quan ¢m D­¬ng Béi	0	102	854	3	1		50						850401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		5	2	1	8	0					
Quan ¢m Dao Béi	0	102	874	5	1		70						870401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		7	2	1	8	0					
Ngäc N÷ D­¬ng  Béi	0	102	953	3	1		50						950301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		5	2	1	9	0					
Ngäc N÷ Dao Béi	0	102	973	5	1		70						970301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		7	2	1	9	0					
Ngäc N÷ D­¬ng  Béi	0	102	954	3	1		50						950401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		5	2	1	9	0					
Ngäc N÷ Dao Béi	0	102	974	5	1		70						970401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ		§· khãa		7	2	1	9	0					
Gi¸ng Long D­¬ng Béi	0	102	1151	3	1		50						1150101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		5	2	1	11	0					
Gi¸ng Long Dao Béi	0	102	1171	5	1		70						1170101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		7	2	1	11	0					
Gi¸ng Long D­¬ng Béi	0	102	1152	3	1		50						1150201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		§· khãa		5	2	1	11	0					
