Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Thuéc tİnh Kim	Thuéc tİnh Méc	Thuéc tİnh Thñy	Thuéc tİnh Háa	Thuéc tİnh Thæ	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 3	L­u 4	Gi¸ trŞ
Thiªn Hµ Thñy Ng©n	2	95	1231	0	0	1000												\image\item\other\ÌìºÓË®Òøa1.spr	\image\item\other\ÌìºÓË®Òøa0.spr	Nguyªn liÖu trïng luyÖn hiÕm cã cña V¨n Søc, dïng ®Ó t¨ng cÊp V¨n Søc tõ cÊp 1 thµnh cÊp 2		ThÇn bİ		1	2	1			999
§iÕu V¨n Kh¾c B¶n	2	111	118	0	0	999												\image\item\other\µñÎÄ¿Ì°åa1.spr	\image\item\other\µñÎÄ¿Ì°åa0.spr	Kh¾c b¶n b×nh th­êng. Dïng ®Ó trïng luyÖn V¨n Søc tõ cÊp 2 lªn cÊp 3.		ThÇn bİ		1	2	1			999
Long V¨n Kh¾c B¶n [ PhÇn ®Çu cÊp 1]	2	95	586	0	0	999												\image\item\wenshi\1¼¶ÁúÎÆ¿Ì°æa1.spr	\image\item\wenshi\1¼¶ÁúÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - §Çu cÊp 1<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Long V¨n Kh¾c B¶n [§Çu cÊp 2]	2	95	587	0	0	999												\image\item\wenshi\2¼¶ÁúÎÆ¿Ì°æa1.spr	\image\item\wenshi\2¼¶ÁúÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - §Çu cÊp 2<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Long V¨n Kh¾c B¶n [§Çu cÊp 3]	2	95	588	0	0	999												\image\item\wenshi\3¼¶ÁúÎÆ¿Ì°æa1.spr	\image\item\wenshi\3¼¶ÁúÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - §Çu cÊp 3<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Ph­îng V¨n Kh¾c B¶n [ Y phôc cÊp 1]	2	95	589	0	0	999												\image\item\wenshi\1¼¶·ïÎÆ¿Ì°æa1.spr	\image\item\wenshi\1¼¶·ïÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - Y cÊp 1<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Ph­îng V¨n Kh¾c B¶n [Y phôc cÊp 2]	2	95	590	0	0	999												\image\item\wenshi\2¼¶·ïÎÆ¿Ì°æa1.spr	\image\item\wenshi\2¼¶·ïÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - Y cÊp 2<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Ph­îng V¨n Kh¾c B¶n [Y phôc cÊp 3]	2	95	591	0	0	999												\image\item\wenshi\3¼¶·ïÎÆ¿Ì°æa1.spr	\image\item\wenshi\3¼¶·ïÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - Y cÊp 3<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Hæ V¨n Kh¾c B¶n [ H¹ trang cÊp 1]	2	95	592	0	0	999												\image\item\wenshi\1¼¶»¢ÎÆ¿Ì°æa1.spr	\image\item\wenshi\1¼¶»¢ÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - QuÇn cÊp 1<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Hæ V¨n Kh¾c B¶n [H¹ trang cÊp 2]	2	95	593	0	0	999												\image\item\wenshi\2¼¶»¢ÎÆ¿Ì°æa1.spr	\image\item\wenshi\2¼¶»¢ÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - QuÇn cÊp 2<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Hæ V¨n Kh¾c B¶n [H¹ trang cÊp 3]	2	95	594	0	0	999												\image\item\wenshi\3¼¶»¢ÎÆ¿Ì°æa1.spr	\image\item\wenshi\3¼¶»¢ÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - QuÇn cÊp 3<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Hoa V¨n Kh¾c B¶n [Trang søc cÊp 1]	2	95	595	0	0	999												\image\item\wenshi\1¼¶»¨ÎÆ¿Ì°æa1.spr	\image\item\wenshi\1¼¶»¨ÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - Trang søc cÊp 1<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Hoa V¨n Kh¾c B¶n [Trang søc cÊp 2]	2	95	596	0	0	999												\image\item\wenshi\2¼¶»¨ÎÆ¿Ì°æa1.spr	\image\item\wenshi\2¼¶»¨ÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - Trang søc cÊp 2<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
Hoa V¨n Kh¾c B¶n [Trang søc cÊp 3]	2	95	597	0	0	999												\image\item\wenshi\3¼¶»¨ÎÆ¿Ì°æa1.spr	\image\item\wenshi\3¼¶»¨ÎÆ¿Ì°æa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - Trang søc cÊp 3<enter><color=yellow> Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box.lua	1	2	1			999
¶o BiÕn Kh¾c B¶n [CÊp 3]	2	95	938	0	0	999												\image\item\wenshi\»Ã±ä¿Ì°åa1.spr	\image\item\wenshi\»Ã±ä¿Ì°åa0.spr	Sö dông nhËn ®­îc mét V¨n Søc Hoµn Mü cÊp 3 t¨ng c­êng 15<enter><color=yellow>Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box_nb.lua	1	2	1			999
¶o BiÕn Kh¾c B¶n [CÊp 2]	2	95	881	0	0	999												\image\item\wenshi\»Ã±ä¿Ì°åa1.spr	\image\item\wenshi\»Ã±ä¿Ì°åa0.spr	Sö dông nhËn ®­îc mét V¨n Søc Hoµn Mü cÊp 2 t¨ng c­êng 15<enter><color=yellow>Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box_nb.lua	1	2	1			999
¶o BiÕn Kh¾c B¶n Vì [CÊp 3]	2	95	1238	0	0	999												\image\item\wenshi\»Ã±ä¿Ì°åa1.spr	\image\item\wenshi\»Ã±ä¿Ì°åa0.spr	Sö dông nhËn ®­îc mét V¨n Søc vì cÊp 3 chØ ®Şnh thuéc tİnh vµ bé vŞ, Tèc ®é xuÊt chiªu, kh¾n nĞ, gi¶m s¸t th­¬ng g¸nh chŞu xuèng mét nöa, toµn thuéc tİnh kh«ng thÓ chØ ®Şnh.<enter><color=yellow>Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box_nb.lua	1	2	1			999
Long V¨n Kh¾c b¶n [§Çu cÊp 4]	2	1	10027	0	0	999												\image\item\wenshi\4¼¶ÁúÎÆÊÎ¿Ì°åa1.spr	\image\item\wenshi\4¼¶ÁúÎÆÊÎ¿Ì°åa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - §Çu cÊp 4 <enter><color=yellow>Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box4.lua	1	2	1			999
Phông V¨n Kh¾c B¶n [Y phôc cÊp 4]	2	1	10028	0	0	999												\image\item\wenshi\4¼¶·ïÎÆÊÎ¿Ì°åa1.spr	\image\item\wenshi\4¼¶·ïÎÆÊÎ¿Ì°åa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - Y cÊp 4 <enter><color=yellow>Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box4.lua	1	2	1			999
Hæ V¨n Kh¾c B¶n [H¹ Y cÊp 4]	2	1	10029	0	0	999												\image\item\wenshi\4¼¶»¢ÎÆÊÎ¿Ì°åa1.spr	\image\item\wenshi\4¼¶»¢ÎÆÊÎ¿Ì°åa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - Trang cÊp 4 <enter><color=yellow>Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box4.lua	1	2	1			999
V¨n Søc Kh¾c B¶n [Trang søc cÊp 4]	2	1	10030	0	0	999												\image\item\wenshi\4¼¶»¨ÎÆÊÎ¿Ì°åa1.spr	\image\item\wenshi\4¼¶»¨ÎÆÊÎ¿Ì°åa0.spr	Sö dông nhËn ®­îc ngÉu nhiªn V¨n Søc - Trang søc cÊp 4 <enter><color=yellow>Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box4.lua	1	2	1			999
¶o BiÕn Kh¾c B¶n Vì [ CÊp 4]	2	1	10031	0	0	999												\image\item\wenshi\4¼¶»Ã±ä¿Ì°åa1.spr	\image\item\wenshi\4¼¶»Ã±ä¿Ì°åa0.spr	Sö dông nhËn ®­îc mét V¨n Søc vì cÊp 4 chØ ®Şnh thuéc tİnh vµ bé vŞ, còng cã thÓ chän m¶nh V¨n Søc thuéc tİnh l­u ph¸i, V¨n Søc l­u ph¶i ®æi ra kh«ng thÓ giao dŞch<enter><color=yellow>Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box4_nb.lua	1	2	1			999
Hoµn Mü ¶o BiÕn Kh¾c B¶n [ CÊp 4]	2	1	10032	0	0	999												\image\item\wenshi\4¼¶»Ã±ä¿Ì°åè­è²a1.spr	\image\item\wenshi\4¼¶»Ã±ä¿Ì°åè­è²a0.spr	Sö dông nhËn ®­îc mét V¨n Søc hoµn mü cÊp 4 chØ ®Şnh thuéc tİnh vµ bé vŞ, còng cã thÓ chän V¨n Søc hoµn mü thuéc tİnh l­u ph¸i, V¨n Søc l­u ph¶i ®æi ra kh«ng thÓ giao dŞch<enter><color=yellow>Chuét ph¶i sö dông		ThÇn bİ	\script\isolate\functions\armory\item\armory_box4_nb.lua	1	2	1			999
